m_A_GeV,Y_h,mY_GeV,eps_tau_h_1s
0.049999999999999996,1.2710944841070628e-17,7.626566904642375e-19,2.91565263964046e-08
0.056752784037469015,1.4282187590567723e-17,9.726646894921319e-19,2.736700043849923e-08
0.06441756992007197,1.6059873278184037e-17,1.2414456117658989e-18,2.5687309346053418e-08
0.0731175286778481,1.8071381285973793e-17,1.5856016873106194e-18,2.4110711837881925e-08
0.08299246628814723,2.0347221965016528e-17,2.0263993595868993e-18,2.2630880389140307e-08
0.09420107031976296,2.29219980048821e-17,2.591132095112838e-18,2.1241875836402772e-08
0.10692345999911879,2.5834894695984463e-17,3.314827595529049e-18,1.993812354139231e-08
0.12136408067737893,2.913029353791145e-17,4.242445554108979e-18,1.871439101769753e-08
0.13775498921178506,3.285853887858156e-17,5.4317132024808266e-18,1.7565766930683838e-08
0.15635958305640626,3.707664322153243e-17,6.956746170299932e-18,1.6487641386316838e-08
0.17747683298777853,4.184922080757216e-17,8.91272060632098e-18,1.547568742978904e-08
0.20144608748418705,4.7249370642683414e-17,1.1421841022470538e-17,1.4525843679696354e-08
0.22865252596366312,5.335965831353376e-17,1.4640984789536965e-17,1.3634298028068355e-08
0.25953334851275106,6.027308213498871e-17,1.8771449798013233e-17,1.2797472340833712e-08
0.29458480157330685,6.80937478957682e-17,2.407125985470919e-17,1.2012008097317995e-08
0.334370152488211,7.693693699923703e-17,3.0870498427692924e-17,1.1274752911138795e-08
0.37952874105478046,8.692805214937331e-17,3.959003303351515e-17,1.0582747878401423e-08
0.4307862535418892,9.820014955843837e-17,5.0763929430639444e-17,9.933215702418257e-09
0.48896638427146427,1.1089039337855097e-16,6.506600964090046e-17,9.30159798797741e-09
0.55500407216281,1.2513663076827286e-16,8.33416075837505e-17,8.627660029882269e-09
0.6299605249474366,1.4107573085811986e-16,1.0664656976246935e-16,7.970857379338964e-09
0.7150402724894498,1.5884565036511924e-16,1.3629724454500647e-16,7.332547781294979e-09
0.811610523253735,1.7859234159427545e-16,1.7393690857252758e-16,6.6893148081219e-09
0.921223134975129,2.0048073726631886e-16,2.216249919439241e-16,5.984536741397176e-09
1.045639552591273,2.247076483373319e-16,2.819558458455418e-16,5.080184606130341e-09
1.186859114184965,2.5151379873700985e-16,3.5821373324916367e-16,3.7225937114014444e-09
1.3471511798048221,2.8119188318226237e-16,4.545695726166293e-16,3.082895826446584e-09
1.5290915994656933,3.140894005221605e-16,5.763257565835814e-16,4.2378662645853755e-09
1.7356041063596916,3.5060506727381493e-16,7.30213913365139e-16,4.55250477124236e-09
1.9700073004555199,3.9118020714066236e-16,9.247534366329688e-16,3.97425834512216e-09
2.2360679774997894,4.362850304160829e-16,1.1706755826911096e-15,3.2386514391233027e-09
2.538061660402914,4.863862180708846e-16,1.4813738546808998e-15,2.857743447964458e-09
2.8808413057325324,5.418394881028255e-16,1.8731442940843087e-15,2.6827746033224843e-09
3.2699152894091736,6.024273337423436e-16,2.363863619234511e-15,2.5181152496469764e-09
3.711535924813137,6.653335498906109e-16,2.963291246882947e-15,2.3635621131390447e-09
4.212799935764557,7.188007618267806e-16,3.633796563901651e-15,2.2184949094166714e-09
4.781762498950186,7.473783285525731e-16,4.288542796800918e-15,2.0823314249910497e-09
5.427566688427759,7.69164855026573e-16,5.009632254061913e-15,1.9545251806078685e-09
6.160590402346034,8.026651877893536e-16,5.933869742630842e-15,1.8345632380045559e-09
6.9926131329529735,8.491374142097915e-16,7.125227321142141e-15,1.486783181523352e-09
7.9370052598409995,9.077220681784313e-16,8.645513795527152e-15,1.3954879915262204e-09
9.008942908320234,9.781873515967573e-16,1.057492080501139e-14,1.30983780292593e-09
10.225651825635733,1.0608153368807115e-15,1.3017033943483959e-14,1.2294445243471157e-09
11.606684194053106,1.1562680253584798e-15,1.6104525376820715e-14,1.1539855049753025e-09
13.17423282912403,1.2655220030712285e-15,2.0006737822607736e-14,1.0831578971832808e-09
14.953487812212204,1.3898128282630276e-15,2.4939059026424825e-14,1.0166774410699823e-09
16.973041288268096,1.530634674915927e-15,3.117543064152341e-14,9.54277323618644e-10
19.265346933842476,1.6897123291883885e-15,3.906347308824642e-14,8.684992190522963e-10
21.86724147886555,1.8690373865584726e-15,4.9044830237882274e-14,8.151937643563661e-10
24.820536662904843,2.0708900808684175e-15,6.168072381244863e-14,7.651600126602755e-10
28.172691138478395,2.297890095141035e-15,7.768529750469252e-14,7.181971582382338e-10
31.97757311872765,2.55305516266304e-15,9.796860976824297e-14,6.741167201199374e-10
36.296326024990485,2.8399013884005794e-15,1.2369358400665267e-13,6.32741785640042e-10
41.198351044997054,3.1624343727451685e-15,1.5634449773414461e-13,5.939063004159214e-10
46.762422391131054,3.525298244068984e-15,1.9782178265263973e-13,5.574544019041393e-10
53.07795318065536,3.933781959462582e-15,2.505565136007139e-13,5.232397938608752e-10
60.246432280252485,4.393911616571044e-15,3.1766099838379455e-13,4.911251591958022e-10
68.38305520458347,4.912531389194216e-15,4.0312068621782067e-13,4.6098160886294515e-10
77.61857527696091,5.497392912861031e-15,5.120397667607224e-13,4.326881645766962e-10
88.10140479978796,6.157244631225058e-15,6.50954282048256e-13,4.0613127327691807e-10
100.0,6.901987355029353e-15,8.282384826035224e-13,3.812043513944874e-10
