T_dec_GeV,gstar_s,dNeff_scalar_1dof,dNeff_vector_3dof,dNeff_darksector_7p5,dNeff_Majorana_pair_4f
0.002,10.725256790699055,0.5714285714285714,1.7142857142857142,4.285714285714286,2.0
0.005,10.746100836998423,0.5699511944637136,1.7098535833911406,4.274633958477851,1.9948291806229974
0.01,10.757513548564038,0.5691451174653056,1.707435352395917,4.268588380989792,1.9920079111285698
0.03,12.349644895774048,0.47347776638227984,1.4204332991468396,3.5510832478670986,1.6571721823379795
0.1,16.90945805234898,0.311410055475468,0.9342301664264041,2.3355754160660105,1.0899351941641382
0.15,25.562174512117533,0.17949064694271905,0.5384719408281572,1.346179852070393,0.6282172642995167
0.2,58.42358928614095,0.059619441594002426,0.17885832478200728,0.44714581195501824,0.2086680455790085
0.5,68.5782549657491,0.04814933687265943,0.1444480106179783,0.36112002654494574,0.168522679054308
1.0,75.5108819016862,0.04234734237584954,0.1270420271275486,0.31760506781887154,0.1482156983154734
5.0,85.37230046796729,0.035954195139363966,0.1078625854180919,0.26965646354522976,0.1258396829877739
50.0,96.55346664756789,0.03051277606926389,0.09153832820779167,0.2288458205194792,0.10679471624242362
1000.0,106.70130172974842,0.02670623050645102,0.08011869151935307,0.20029672879838264,0.09347180677257858
