m_A_GeV,Y_h,mY_GeV,eps_tau_h_1s
0.049999999999999996,9.764779245816646e-15,4.3941506606174904e-16,9.696149703940042e-05
0.056752784037469015,1.0755327703076343e-14,5.493553113464094e-16,9.39390261319457e-05
0.06441756992007197,1.1850113409956054e-14,6.870199582319639e-16,9.101072288885193e-05
0.0731175286778481,1.30599254212804e-14,8.594185243689243e-16,8.817366541941171e-05
0.08299246628814723,1.4397951480419822e-14,1.0754293525714096e-15,8.542501952991945e-05
0.09420107031976296,1.5875388771390156e-14,1.3459307526065696e-15,8.276203682681793e-05
0.10692345999911879,1.7505765151555892e-14,1.6845992819427186e-15,8.018205267299053e-05
0.12136408067737893,1.9304461215091365e-14,2.108581369507513e-15,7.768248405219902e-05
0.13775498921178506,2.128859146222501e-14,2.639348718491615e-15,7.526082738271865e-05
0.15635958305640626,2.3477078292667412e-14,3.3037795559016746e-15,7.291465631063845e-05
0.17747683298777853,2.589080121538907e-14,4.135515662901041e-15,7.064161950527533e-05
0.20144608748418705,2.85527801245985e-14,5.176661258606964e-15,6.843943847309513e-05
0.22865252596366312,3.148834752156046e-14,6.479901179303806e-15,6.63059054019729e-05
0.25953334851275106,3.4725189048488247e-14,8.11111013234322e-15,6.415524161238721e-05
0.29458480157330685,3.829293734969163e-14,1.0152465615736182e-14,6.205788982700912e-05
0.334370152488211,4.222171122422703e-14,1.2705912018322203e-14,6.007674142446527e-05
0.37952874105478046,4.6538809382844575e-14,1.5896534161733465e-14,5.8194848794343024e-05
0.4307862535418892,5.1263255349330904e-14,1.9875155144669524e-14,5.639275256232055e-05
0.48896638427146427,5.639923460993103e-14,2.4819596840606402e-14,5.4656397501547824e-05
0.55500407216281,6.19309784454086e-14,3.093475070720609e-14,5.2976804080821466e-05
0.6299605249474366,6.782305626869223e-14,3.845326331750841e-14,5.13271278152429e-05
0.7150402724894498,7.40299555618153e-14,4.764095963757205e-14,4.925031923477239e-05
0.811610523253735,8.051392937799292e-14,5.881135711651838e-14,4.702965908409755e-05
0.921223134975129,8.72648836870014e-14,7.235138675104148e-14,4.4733443388598095e-05
1.045639552591273,9.431536532824885e-14,8.875788876388132e-14,4.22585934608536e-05
1.186859114184965,1.0174435447779218e-13,1.0868059298595016e-13,3.931245610367844e-05
1.3471511798048221,1.0966817270083389e-13,1.3296564741687062e-13,3.5151327770800006e-05
1.5290915994656933,1.1822333813488009e-13,1.6269688188255355e-13,2.8031828342439826e-05
1.7356041063596916,1.2754646925626526e-13,1.9923315821356873e-13,2.0663458923339074e-05
1.9700073004555199,1.3775511211614623e-13,2.4424071888948907e-13,2.8742330514048754e-05
2.2360679774997894,1.4893259327245129e-13,2.99721062360276e-13,3.394505301062909e-05
2.538061660402914,1.6111464318727801e-13,3.680270089228133e-13,3.2156883318934167e-05
2.8808413057325324,1.742599287836362e-13,4.5181368069651775e-13,2.7090254544948897e-05
3.2699152894091736,1.881264778005907e-13,5.536418814925624e-13,2.3859099894616484e-05
3.711535924813137,2.0172158267612935e-13,6.738272108213557e-13,2.3071316609701143e-05
4.212799935764557,2.1103217718938982e-13,8.001327082569444e-13,2.2347976510429285e-05
4.781762498950186,2.0374216256319155e-13,8.768219691597136e-13,2.1639813921462526e-05
5.427566688427759,1.7445429019485e-13,8.521760647033896e-13,2.0958473999002796e-05
6.160590402346034,1.5559298370282942e-13,8.626901778648304e-13,2.030294617694031e-05
6.9926131329529735,1.5591279525200897e-13,9.812140737071453e-13,1.9670662256230564e-05
7.9370052598409995,1.6570552445530846e-13,1.183685057267845e-12,1.9059479436019858e-05
9.008942908320234,1.7970286856627e-13,1.4570395950374113e-12,1.6385716515365174e-05
10.225651825635733,1.9594042120172677e-13,1.8032566731995447e-12,1.5455297384208903e-05
11.606684194053106,2.1380691113915878e-13,2.233430366488372e-12,1.4974585805631552e-05
13.17423282912403,2.332182006332761e-13,2.7652237876189266e-12,1.4508633374158277e-05
14.953487812212204,2.542845654698797e-13,3.4221970355287704e-12,1.4057041989529486e-05
16.973041288268096,2.771786503575746e-13,4.2341082090709856e-12,1.36194123796964e-05
19.265346933842476,3.0208680009314243e-13,5.237826307135836e-12,1.3195320924625538e-05
21.86724147886555,3.29197639482349e-13,6.4787798491497455e-12,1.2784357034951693e-05
24.820536662904843,3.5871096032388223e-13,8.013058687894252e-12,1.2010019488923925e-05
28.172691138478395,3.908570074270749e-13,9.910344374597643e-12,1.1635825058277711e-05
31.97757311872765,4.25917048831262e-13,1.225781421436294e-11,1.1273249449779314e-05
36.296326024990485,4.642380731996821e-13,1.5165122812262154e-11,1.0921939863712935e-05
41.198351044997054,5.062377408417563e-13,1.8770544143482427e-11,1.0581552998362738e-05
46.762422391131054,5.524003095998819e-13,2.324841894585112e-11,1.02517548013099e-05
53.07795318065536,6.032681039939646e-13,2.8818212561256944e-11,9.932220339454823e-06
60.246432280252485,6.594323316106041e-13,3.575560077880853e-11,9.622633712512596e-06
68.38305520458347,7.215261850890547e-13,4.44061484518476e-11,9.322687969112778e-06
77.61857527696091,7.902230576181345e-13,5.520238909499105e-11,9.032085006377938e-06
88.10140479978796,8.66239511122643e-13,6.868522604068776e-11,8.750535446375832e-06
100.0,9.503411119294362e-13,8.553070007364926e-11,8.47775848943007e-06
