T_GeV,gstar,gstar_s,t_s
1e-10,3.3708646669666913,3.917721520869028,54753027279095.086
1.0592537251772898e-10,3.3708646669667104,3.9177215208690477,49931095697548.78
1.1220184543019652e-10,3.370864666966729,3.9177215208690663,45522804975495.33
1.1885022274370164e-10,3.3708646669667486,3.9177215208690868,41493371889808.38
1.2589254117941662e-10,3.3708646669667695,3.9177215208691085,37810905011390.49
1.333521432163324e-10,3.370864666966793,3.9177215208691325,34446165193757.56
1.4125375446227556e-10,3.370864666966817,3.917721520869158,31372345893203.785
1.496235656094436e-10,3.3708646669668427,3.917721520869183,28564871679551.125
1.584893192461111e-10,3.37086466696687,3.9177215208692107,26001213432164.523
1.6788040181225588e-10,3.3708646669668965,3.9177215208692386,23660718840379.35
1.778279410038923e-10,3.370864666966928,3.9177215208692706,21524456941640.727
1.8836490894898022e-10,3.37086466696696,3.9177215208693035,19575075535361.883
1.9952623149688828e-10,3.3708646669669946,3.917721520869338,17796670406552.96
2.1134890398366433e-10,3.37086466696703,3.9177215208693745,16174665381367.318
2.2387211385683377e-10,3.3708646669670674,3.917721520869413,14695702317514.129
2.371373705661655e-10,3.3708646669671074,3.9177215208694536,13347540206609.104
2.511886431509582e-10,3.370864666967151,3.917721520869499,12118962633524.145
2.660725059798814e-10,3.3708646669671958,3.917721520869545,10999692900165.879
2.8183829312644494e-10,3.370864666967244,3.917721520869594,9980316178328.027
2.985382618917957e-10,3.3708646669672944,3.9177215208696454,9052208108749.738
3.1622776601683795e-10,3.370864666967349,3.9177215208697014,8207469311671.993
3.349654391578279e-10,3.370864666967405,3.9177215208697587,7438865318363.924
3.5481338923357605e-10,3.370864666967467,3.917721520869822,6739771473638.019
3.7583740428844356e-10,3.3708646669675293,3.9177215208698857,6104122396575.627
3.9810717055349694e-10,3.3708646669675972,3.9177215208699554,5526365620831.38
4.2169650342858224e-10,3.3708646669676687,3.9177215208700287,5001419067224.399
4.4668359215096347e-10,3.370864666967745,3.9177215208701073,4524632030091.317
4.731512589614812e-10,3.370864666967825,3.917721520870189,4091749385288.082
5.011872336272714e-10,3.37086466696791,3.917721520870275,3698878751972.3477
5.30884444230988e-10,3.3708646669680005,3.917721520870368,3342460362561.874
5.623413251903491e-10,3.3708646669680964,3.9177215208704665,3019239415705.811
5.95662143529011e-10,3.370864666968198,3.91772152087057,2726240705875.847
6.309573444801942e-10,3.3708646669683047,3.91772152087068,2460745340418.9897
6.683439175686135e-10,3.370864666968419,3.9177215208707965,2220269370737.8423
7.079457843841373e-10,3.370864666968539,3.917721520870919,2002544178790.6304
7.498942093324559e-10,3.370864666968666,3.9177215208710496,1805498473437.6655
7.943282347242822e-10,3.370864666968801,3.9177215208711873,1627241763395.057
8.413951416451964e-10,3.3708646669689437,3.917721520871334,1466049184781.2295
8.912509381337441e-10,3.370864666969097,3.91772152087149,1320347571533.0664
9.440608762859226e-10,3.3708646669692564,3.9177215208716536,1188702666402.0808
1e-09,3.3708646669694264,3.9177215208718277,1069807378882.3737
1.0592537251772898e-09,3.3708646669696067,3.9177215208720124,962471004333.9862
1.1220184543019653e-09,3.3708646669697977,3.917721520872208,865609325804.8601
1.1885022274370164e-09,3.3708646669699984,3.917721520872413,778235526674.749
1.2589254117941663e-09,3.3708646669702125,3.917721520872632,699451848294.1517
1.333521432163324e-09,3.37086466697044,3.9177215208728646,628441932316.9612
1.4125375446227555e-09,3.3708646669706788,3.9177215208731098,564463792469.206
