r,m_A_GeV,m_h_GeV,eps,Y_h,mY_GeV,tau_h_s,excluded,reason
0.5,0.049999999999999996,0.024999999999999998,1e-10,7.745302585833638e-07,1.9363256464584093e-08,8.246572223134283e+26,True,overclosure (quasi-stable)
0.5,0.049999999999999996,0.024999999999999998,1e-09,7.745302585833638e-07,1.9363256464584093e-08,8.246572223134283e+22,True,overclosure (quasi-stable)
0.5,0.049999999999999996,0.024999999999999998,1e-08,7.745302585833638e-07,1.9363256464584093e-08,8.246572223134287e+18,True,overclosure (quasi-stable)
0.5,0.049999999999999996,0.024999999999999998,1e-07,7.745302585833638e-07,1.9363256464584093e-08,824657222313429.0,True,Planck (post-recombination injection)
0.5,0.049999999999999996,0.024999999999999998,1e-06,7.745302585833638e-07,1.9363256464584093e-08,82465722231.34288,True,FIRAS y
0.5,0.049999999999999996,0.024999999999999998,1e-05,7.745302585833638e-07,1.9363256464584093e-08,8246572.223134283,True,FIRAS mu
0.5,0.049999999999999996,0.024999999999999998,0.0001,7.745302585833638e-07,1.9363256464584093e-08,824.6572223134285,True,BBN envelope
0.5,0.049999999999999996,0.024999999999999998,0.001,7.745302585833638e-07,1.9363256464584093e-08,0.08246572223134285,False,decays before 1 s
0.5,0.049999999999999996,0.024999999999999998,0.01,7.745302585833638e-07,1.9363256464584093e-08,8.246572223134286e-06,False,decays before 1 s
0.5,0.17747683298777853,0.08873841649388926,1e-10,1.123015577912441e-06,9.965462408191993e-08,2.3713196351325565e+26,True,overclosure (quasi-stable)
0.5,0.17747683298777853,0.08873841649388926,1e-09,1.123015577912441e-06,9.965462408191993e-08,2.3713196351325563e+22,True,overclosure (quasi-stable)
0.5,0.17747683298777853,0.08873841649388926,1e-08,1.123015577912441e-06,9.965462408191993e-08,2.371319635132557e+18,True,overclosure (quasi-stable)
0.5,0.17747683298777853,0.08873841649388926,1e-07,1.123015577912441e-06,9.965462408191993e-08,237131963513255.78,True,Planck (post-recombination injection)
0.5,0.17747683298777853,0.08873841649388926,1e-06,1.123015577912441e-06,9.965462408191993e-08,23713196351.32558,True,FIRAS y
0.5,0.17747683298777853,0.08873841649388926,1e-05,1.123015577912441e-06,9.965462408191993e-08,2371319.635132556,True,FIRAS mu
0.5,0.17747683298777853,0.08873841649388926,0.0001,1.123015577912441e-06,9.965462408191993e-08,237.13196351325564,True,BBN envelope
0.5,0.17747683298777853,0.08873841649388926,0.001,1.123015577912441e-06,9.965462408191993e-08,0.023713196351325565,False,decays before 1 s
0.5,0.17747683298777853,0.08873841649388926,0.01,1.123015577912441e-06,9.965462408191993e-08,2.371319635132557e-06,False,decays before 1 s
0.5,0.6299605249474366,0.3149802624737183,1e-10,1.520398240190536e-06,4.788954367597944e-07,1.9242883704514862e+25,True,overclosure (quasi-stable)
0.5,0.6299605249474366,0.3149802624737183,1e-09,1.520398240190536e-06,4.788954367597944e-07,1.924288370451486e+21,True,overclosure (quasi-stable)
0.5,0.6299605249474366,0.3149802624737183,1e-08,1.520398240190536e-06,4.788954367597944e-07,1.9242883704514867e+17,True,Planck (post-recombination injection)
0.5,0.6299605249474366,0.3149802624737183,1e-07,1.520398240190536e-06,4.788954367597944e-07,19242883704514.87,True,Planck (post-recombination injection)
0.5,0.6299605249474366,0.3149802624737183,1e-06,1.520398240190536e-06,4.788954367597944e-07,1924288370.4514873,True,FIRAS y
0.5,0.6299605249474366,0.3149802624737183,1e-05,1.520398240190536e-06,4.788954367597944e-07,192428.8370451486,True,BBN envelope
0.5,0.6299605249474366,0.3149802624737183,0.0001,1.520398240190536e-06,4.788954367597944e-07,19.242883704514867,True,BBN envelope
0.5,0.6299605249474366,0.3149802624737183,0.001,1.520398240190536e-06,4.788954367597944e-07,0.0019242883704514865,False,decays before 1 s
0.5,0.6299605249474366,0.3149802624737183,0.01,1.520398240190536e-06,4.788954367597944e-07,1.9242883704514868e-07,False,decays before 1 s
0.5,2.2360679774997894,1.1180339887498947,1e-10,1.6505015675600607e-06,1.8453168510171285e-06,8.735658635476868e+24,True,overclosure (quasi-stable)
0.5,2.2360679774997894,1.1180339887498947,1e-09,1.6505015675600607e-06,1.8453168510171285e-06,8.735658635476867e+20,True,overclosure (quasi-stable)
0.5,2.2360679774997894,1.1180339887498947,1e-08,1.6505015675600607e-06,1.8453168510171285e-06,8.735658635476869e+16,True,Planck (post-recombination injection)
0.5,2.2360679774997894,1.1180339887498947,1e-07,1.6505015675600607e-06,1.8453168510171285e-06,8735658635476.869,True,FIRAS y
0.5,2.2360679774997894,1.1180339887498947,1e-06,1.6505015675600607e-06,1.8453168510171285e-06,873565863.5476873,True,FIRAS mu
0.5,2.2360679774997894,1.1180339887498947,1e-05,1.6505015675600607e-06,1.8453168510171285e-06,87356.58635476865,True,BBN envelope
0.5,2.2360679774997894,1.1180339887498947,0.0001,1.6505015675600607e-06,1.8453168510171285e-06,8.735658635476868,True,BBN envelope
0.5,2.2360679774997894,1.1180339887498947,0.001,1.6505015675600607e-06,1.8453168510171285e-06,0.0008735658635476869,False,decays before 1 s
0.5,2.2360679774997894,1.1180339887498947,0.01,1.6505015675600607e-06,1.8453168510171285e-06,8.735658635476869e-08,False,decays before 1 s
0.5,7.9370052598409995,3.9685026299204997,1e-10,7.358242490280603e-07,2.9201204674271338e-06,9.98702392639096e+23,True,overclosure (quasi-stable)
0.5,7.9370052598409995,3.9685026299204997,1e-09,7.358242490280603e-07,2.9201204674271338e-06,9.987023926390961e+19,True,overclosure (quasi-stable)
0.5,7.9370052598409995,3.9685026299204997,1e-08,7.358242490280603e-07,2.9201204674271338e-06,9987023926390962.0,True,Planck (post-recombination injection)
0.5,7.9370052598409995,3.9685026299204997,1e-07,7.358242490280603e-07,2.9201204674271338e-06,998702392639.0964,True,FIRAS y
0.5,7.9370052598409995,3.9685026299204997,1e-06,7.358242490280603e-07,2.9201204674271338e-06,99870239.26390964,True,FIRAS mu
0.5,7.9370052598409995,3.9685026299204997,1e-05,7.358242490280603e-07,2.9201204674271338e-06,9987.023926390959,True,BBN envelope
0.5,7.9370052598409995,3.9685026299204997,0.0001,7.358242490280603e-07,2.9201204674271338e-06,0.9987023926390959,False,decays before 1 s
0.5,7.9370052598409995,3.9685026299204997,0.001,7.358242490280603e-07,2.9201204674271338e-06,9.987023926390962e-05,False,decays before 1 s
0.5,7.9370052598409995,3.9685026299204997,0.01,7.358242490280603e-07,2.9201204674271338e-06,9.987023926390962e-09,False,decays before 1 s
0.5,28.172691138478395,14.086345569239198,1e-10,9.124064643875875e-07,1.2852472756971296e-05,1.7345752191508752e+23,True,overclosure (quasi-stable)
0.5,28.172691138478395,14.086345569239198,1e-09,9.124064643875875e-07,1.2852472756971296e-05,1.7345752191508752e+19,True,overclosure (quasi-stable)
0.5,28.172691138478395,14.086345569239198,1e-08,9.124064643875875e-07,1.2852472756971296e-05,1734575219150875.2,True,Planck (post-recombination injection)
0.5,28.172691138478395,14.086345569239198,1e-07,9.124064643875875e-07,1.2852472756971296e-05,173457521915.0876,True,FIRAS y
0.5,28.172691138478395,14.086345569239198,1e-06,9.124064643875875e-07,1.2852472756971296e-05,17345752.19150876,True,FIRAS mu
0.5,28.172691138478395,14.086345569239198,1e-05,9.124064643875875e-07,1.2852472756971296e-05,1734.575219150875,True,BBN envelope
0.5,28.172691138478395,14.086345569239198,0.0001,9.124064643875875e-07,1.2852472756971296e-05,0.17345752191508754,False,decays before 1 s
0.5,28.172691138478395,14.086345569239198,0.001,9.124064643875875e-07,1.2852472756971296e-05,1.7345752191508753e-05,False,decays before 1 s
0.5,28.172691138478395,14.086345569239198,0.01,9.124064643875875e-07,1.2852472756971296e-05,1.7345752191508753e-09,False,decays before 1 s
0.5,100.0,50.0,1e-10,1.212532058994749e-06,6.062660294973745e-05,4.870096502786457e+22,True,overclosure (quasi-stable)
0.5,100.0,50.0,1e-09,1.212532058994749e-06,6.062660294973745e-05,4.870096502786458e+18,True,overclosure (quasi-stable)
0.5,100.0,50.0,1e-08,1.212532058994749e-06,6.062660294973745e-05,487009650278645.75,True,Planck (post-recombination injection)
0.5,100.0,50.0,1e-07,1.212532058994749e-06,6.062660294973745e-05,48700965027.864586,True,FIRAS y
0.5,100.0,50.0,1e-06,1.212532058994749e-06,6.062660294973745e-05,4870096.502786459,True,FIRAS mu
0.5,100.0,50.0,1e-05,1.212532058994749e-06,6.062660294973745e-05,487.00965027864555,True,BBN envelope
0.5,100.0,50.0,0.0001,1.212532058994749e-06,6.062660294973745e-05,0.04870096502786457,False,decays before 1 s
0.5,100.0,50.0,0.001,1.212532058994749e-06,6.062660294973745e-05,4.870096502786456e-06,False,decays before 1 s
0.5,100.0,50.0,0.01,1.212532058994749e-06,6.062660294973745e-05,4.870096502786458e-10,False,decays before 1 s
0.7,0.049999999999999996,0.034999999999999996,1e-10,3.960958302711101e-10,1.3863354059488852e-11,3.6936830988157955e+25,False,Planck decaying DM (tau > t_U)
0.7,0.049999999999999996,0.034999999999999996,1e-09,3.960958302711101e-10,1.3863354059488852e-11,3.6936830988157945e+21,True,Planck decaying DM (tau > t_U)
0.7,0.049999999999999996,0.034999999999999996,1e-08,3.960958302711101e-10,1.3863354059488852e-11,3.6936830988157965e+17,True,Planck (post-recombination injection)
0.7,0.049999999999999996,0.034999999999999996,1e-07,3.960958302711101e-10,1.3863354059488852e-11,36936830988157.98,True,Planck (post-recombination injection)
0.7,0.049999999999999996,0.034999999999999996,1e-06,3.960958302711101e-10,1.3863354059488852e-11,3693683098.8157973,True,FIRAS y
0.7,0.049999999999999996,0.034999999999999996,1e-05,3.960958302711101e-10,1.3863354059488852e-11,369368.3098815795,True,BBN envelope
0.7,0.049999999999999996,0.034999999999999996,0.0001,3.960958302711101e-10,1.3863354059488852e-11,36.93683098815795,False,BBN envelope
0.7,0.049999999999999996,0.034999999999999996,0.001,3.960958302711101e-10,1.3863354059488852e-11,0.003693683098815796,False,decays before 1 s
0.7,0.049999999999999996,0.034999999999999996,0.01,3.960958302711101e-10,1.3863354059488852e-11,3.6936830988157954e-07,False,decays before 1 s
0.7,0.17747683298777853,0.12423378309144496,1e-10,7.404286312009051e-10,9.198624996330875e-11,1.041935276094654e+25,False,Planck decaying DM (tau > t_U)
0.7,0.17747683298777853,0.12423378309144496,1e-09,7.404286312009051e-10,9.198624996330875e-11,1.0419352760946541e+21,True,Planck decaying DM (tau > t_U)
0.7,0.17747683298777853,0.12423378309144496,1e-08,7.404286312009051e-10,9.198624996330875e-11,1.0419352760946542e+17,True,Planck (post-recombination injection)
0.7,0.17747683298777853,0.12423378309144496,1e-07,7.404286312009051e-10,9.198624996330875e-11,10419352760946.545,True,Planck (post-recombination injection)
0.7,0.17747683298777853,0.12423378309144496,1e-06,7.404286312009051e-10,9.198624996330875e-11,1041935276.0946544,True,FIRAS y
0.7,0.17747683298777853,0.12423378309144496,1e-05,7.404286312009051e-10,9.198624996330875e-11,104193.52760946535,True,BBN envelope
0.7,0.17747683298777853,0.12423378309144496,0.0001,7.404286312009051e-10,9.198624996330875e-11,10.419352760946541,False,BBN envelope
