m_A_GeV,eps_therm_YFI_eq_Yeq,eps_therm_GammaK1K2_eq_H_at_m_over_3,eps_tau_1s,eps_tau_1e-2s,eps_tau_1e4s
0.049999999999999996,1.6140990999006229e-09,1.256675744017377e-09,7.356578238791497e-11,7.356578238791497e-10,7.356578238791497e-13
0.051608863569718944,1.6376843421817982e-09,1.2779764756463871e-09,7.241002720215485e-11,7.241002720215485e-10,7.241002720215485e-13
0.053269495979157234,1.661899213998282e-09,1.2996855979369275e-09,7.127242954067074e-11,7.127242954067073e-10,7.127242954067073e-13
0.05498356300832036,1.686842803609657e-09,1.3219956300990557e-09,7.015270413477962e-11,7.015270413477961e-10,7.015270413477961e-13
0.056752784037469015,1.7124671794524342e-09,1.344728904354789e-09,6.905057019817211e-11,6.905057019817212e-10,6.905057019817212e-13
0.05857893377182923,1.7388364734884038e-09,1.3680772352597042e-09,6.796575135640426e-11,6.796575135640426e-10,6.796575135640426e-13
0.060463844021798704,1.7659385349915284e-09,1.3919091541264589e-09,6.689797557750877e-11,6.689797557750876e-10,6.689797557750877e-13
0.06240940554043552,1.7938001777180497e-09,1.4163370111614735e-09,6.584697510370644e-11,6.584697510370644e-10,6.584697510370643e-13
0.06441756992007197,1.822432820312286e-09,1.4413224167948612e-09,6.481248638419942e-11,6.481248638419943e-10,6.481248638419943e-13
0.0664903515499565,1.8518444710466868e-09,1.4668767864188278e-09,6.379425000902767e-11,6.379425000902767e-10,6.379425000902767e-13
0.06862982963688709,1.882044897148913e-09,1.4930602169574444e-09,6.279201064397127e-11,6.279201064397127e-10,6.279201064397127e-13
0.0708381502908632,1.913051497907268e-09,1.5197811950515203e-09,6.180551696648124e-11,6.180551696648124e-10,6.180551696648123e-13
0.0731175286778481,1.9448367628899032e-09,1.5471955401718538e-09,6.08345216026218e-11,6.08345216026218e-10,6.08345216026218e-13
0.07547025124180147,1.9774501999911546e-09,1.5751277632827962e-09,5.987878106500761e-11,5.987878106500761e-10,5.987878106500761e-13
0.07789867799821087,2.010837516810129e-09,1.6037817603337033e-09,5.893805569171977e-11,5.893805569171977e-10,5.893805569171978e-13
0.08040524490142265,2.045036075424761e-09,1.6329786101436586e-09,5.801210958618476e-11,5.801210958618475e-10,5.801210958618476e-13
0.08299246628814723,2.0800147655885144e-09,1.662853061692987e-09,5.710071055800067e-11,5.710071055800066e-10,5.710071055800067e-13
0.08566293739958979,2.115726346578673e-09,1.6933203179586393e-09,5.620363006469556e-11,5.620363006469555e-10,5.620363006469556e-13
0.08841933698473604,2.1522396094608066e-09,1.7244262677483543e-09,5.532064315440284e-11,5.532064315440284e-10,5.532064315440284e-13
0.09126442998740494,2.1892958555357977e-09,1.7561605237359438e-09,5.445152840943919e-11,5.445152840943919e-10,5.445152840943919e-13
0.09420107031976296,2.227203908917087e-09,1.788503870085175e-09,5.359606789077044e-11,5.359606789077044e-10,5.359606789077045e-13
0.0972322037250829,2.265246357424508e-09,1.821494960818953e-09,5.2754047083351277e-11,5.275404708335127e-10,5.275404708335127e-13
0.10036087073261844,2.304075891149677e-09,1.8550779837220107e-09,5.192525484232486e-11,5.192525484232486e-10,5.192525484232486e-13
0.10359020970755808,2.3425477774290908e-09,1.889311855461047e-09,5.110948334006881e-11,5.110948334006881e-10,5.110948334006881e-13
0.10692345999911879,2.381267470037412e-09,1.92414020100728e-09,5.0306528014073894e-11,5.03065280140739e-10,5.03065280140739e-13
0.11036396518993642,2.4191245995996603e-09,1.959596779438454e-09,4.9516187515642464e-11,4.951618751564246e-10,4.951618751564246e-13
0.1139151764500128,2.4557281029132776e-09,1.9956594585823144e-09,4.873826365939342e-11,4.873826365939342e-10,4.873826365939342e-13
0.11758065599858343,2.4908756182483035e-09,2.032337717542698e-09,4.797256137356114e-11,4.797256137356114e-10,4.797256137356113e-13
0.12136408067737893,2.521301651865946e-09,2.0696243750427978e-09,4.721888865107577e-11,4.721888865107577e-10,4.721888865107577e-13
0.1252692456388642,2.5499473290511694e-09,2.1075301467842424e-09,4.647705650141242e-11,4.647705650141242e-10,4.647705650141242e-13
0.12930006815315506,2.5664924904073493e-09,2.146037359310515e-09,4.5746878903197236e-11,4.5746878903197236e-10,4.574687890319724e-13
0.13346059153743084,2.581601230394592e-09,2.1851819470227357e-09,4.5028172757558484e-11,4.5028172757558483e-10,4.5028172757558487e-13
0.13775498921178506,2.572322700768342e-09,2.2249161121363474e-09,4.432075784221067e-11,4.432075784221067e-10,4.432075784221067e-13
0.1421875688855824,2.5577172587904063e-09,2.265312250361419e-09,4.3624456766260286e-11,4.3624456766260284e-10,4.362445676626028e-13
0.1467627768785207,2.51577381427715e-09,2.306297828829745e-09,4.2939094925721924e-11,4.293909492572192e-10,4.293909492572192e-13
0.15148520258073356,2.4611860623117958e-09,2.3479575393575073e-09,4.226450045973326e-11,4.2264500459733263e-10,4.2264500459733263e-13
