m_A_GeV,eps,tau_s,Y_FI,mY_GeV,excluded,reason,T_dec,drho_over_rhog,xi,xi_max,mu
0.049999999999999996,1e-14,54119243.38346061,1.5119388783845012e-12,7.559694391922506e-14,False,BBN envelope,1.5594347544754318e-07,1.2661330151452167e-06,7.559694391922506e-14,1.6596079818350003e-13,1.7725862212033032e-06
0.049999999999999996,1.584893192461111e-14,21545258.855885647,3.79781875388583e-12,1.8989093769429147e-13,True,BBN envelope,2.4723220150878523e-07,2.0060488583307256e-06,1.8989093769429147e-13,1.2589413983594694e-13,2.808468401663016e-06
0.049999999999999996,2.5118864315095823e-14,8577322.041959273,9.539689397218484e-12,4.769844698609242e-13,True,BBN envelope,3.919151754511772e-07,3.178736012836911e-06,4.769844698609242e-13,1.0797523100288134e-13,4.4502304179716746e-06
0.049999999999999996,3.9810717055349693e-14,3414693.4090505624,2.396261635768884e-11,1.198130817884442e-12,True,BBN envelope,6.212223542853331e-07,5.037319149874821e-06,1.198130817884442e-12,1.7112920857088252e-13,7.052246809824748e-06
0.049999999999999996,6.309573444801943e-14,1359413.9313847886,6.01913708923484e-11,3.00956854461742e-12,True,BBN envelope,9.846500519761564e-07,7.982972523306895e-06,3.00956854461742e-12,2.712215176952504e-13,1.1176161532629653e-05
0.049999999999999996,1e-13,541192.433834606,1.5119388783845017e-10,7.559694391922508e-12,True,BBN envelope,1.5606452728604322e-06,1.2651509373363962e-05,7.559694391922508e-12,5.843166796997021e-13,
0.049999999999999996,1.584893192461111e-13,215452.58855885649,3.79781875388583e-10,1.898909376942915e-11,True,BBN envelope,2.473540639544649e-06,2.0050605537961495e-05,1.898909376942915e-11,1.4677371394424062e-12,
0.049999999999999996,2.511886431509582e-13,85773.22041959273,9.539689397218481e-10,4.76984469860924e-11,True,BBN envelope,3.920400016337319e-06,3.177723906958364e-05,4.76984469860924e-11,3.980818945372564e-12,
0.049999999999999996,3.981071705534969e-13,34146.93409050563,2.396261635768883e-09,1.1981308178844414e-10,True,BBN envelope,6.2135881344749e-06,5.036212905891352e-05,1.1981308178844414e-10,1.584792566828021e-11,
0.049999999999999996,6.309573444801942e-13,13594.139313847889,6.019137089234839e-09,3.009568544617419e-10,True,BBN envelope,9.848327214593928e-06,7.981491875803334e-05,3.009568544617419e-10,6.309172846941222e-11,
0.049999999999999996,1e-12,5411.924338346062,1.5119388783845013e-08,7.559694391922506e-10,True,BBN envelope,1.5610118748852143e-05,0.00012648538320884182,7.559694391922506e-10,1.8477715826781302e-10,
0.049999999999999996,1.584893192461111e-12,2154.5258855885645,3.79781875388583e-08,1.8989093769429147e-09,True,BBN envelope,2.4746393402706658e-05,0.0002004171993725329,1.8989093769429147e-09,4.6413923670581627e-10,
