m_A_GeV,r,m_h_GeV,Gamma_SMlike_GeV,theta_tau1s,theta_tau0p1s,lambda_hphi_tau1s
0.3,0.5,0.15,2.5708998632673987e-14,5.059880999912659e-06,1.6000748649134242e-05,0.0024037015682543622
0.3,0.9,0.27,4.77225788933557e-10,3.713820689774763e-08,1.1744132201145855e-07,1.7642542613909667e-05
1.0,0.5,0.5,2.7276748838621917e-09,1.5534117336505398e-08,4.912319222366534e-08,2.2138494287029573e-06
1.0,0.9,0.9,6.057650272520351e-09,1.042391317718454e-08,3.296330777174546e-08,1.4855671379491905e-06
3.0,0.5,1.5,2.2039329230765906e-08,5.4649185980660254e-09,1.728158999730289e-08,2.596115087445827e-07
3.0,0.9,2.7,5.829400366246735e-08,3.3602449857196808e-09,1.0626027651034161e-08,1.5962877668531478e-07
10.0,0.5,5.0,8.370355564449841e-06,2.804212560575356e-10,8.867698734671016e-10,3.996432008790273e-09
10.0,0.9,9.0,3.619882262267245e-05,1.348452525643548e-10,4.264181297640221e-10,1.921751193750545e-09
30.0,0.5,15.0,0.0002549682871003252,5.080890091694627e-11,1.6067185230736786e-10,2.413681958477924e-10
30.0,0.9,27.0,0.0008612209755863773,2.764557226268453e-11,8.742297556885788e-11,1.3133056964037525e-10
