v_kms,m_A_GeV,beta,mv_over_mA,sigmaT_att_GeV2,sigmaT_rep_GeV2,sigma_over_m_classical_cm2_g,sigma_over_m_adopted_cm2_g,quantum_regime_unitarity_x4_cm2_g,classical_regime
30.0,0.3,5991.701191578783,0.33356409519815206,3244.290457220913,1785.2589549838945,0.0005492922910859442,0.0005492922910859442,0.001096410465447182,False
30.0,1.0,19972.337305262616,0.10006922855944561,369.9458483850766,213.03978201046735,6.366962253379524e-05,6.366962253379524e-05,0.001096410465447182,False
30.0,3.0,59917.01191578785,0.0333564095198152,49.891402953262194,29.768862170134447,8.699938295061423e-06,8.699938295061423e-06,0.001096410465447182,False
30.0,10.0,199723.37305262612,0.010006922855944561,5.443863038952288,3.359356942725405,9.614262583712331e-07,9.614262583712331e-07,0.001096410465447182,False
30.0,30.0,599170.1191578783,0.0033356409519815205,0.7103862099440227,0.4502812886846434,1.267600051733562e-07,1.267600051733562e-07,0.001096410465447182,False
300.0,0.3,59.91701191578783,3.335640951981521,779.3111950547905,731.6527283687577,0.000165016936354483,0.000165016936354483,1.0964104654471818e-05,True
300.0,1.0,199.72337305262613,1.0006922855944562,106.9676296598965,94.49626135675673,2.2002480381063636e-05,2.2002480381063636e-05,1.0964104654471818e-05,True
300.0,3.0,599.1701191578784,0.33356409519815206,17.459872940452733,14.598508800081758,3.5011927533775907e-06,3.5011927533775907e-06,1.0964104654471818e-05,False
300.0,10.0,1997.233730526261,0.10006922855944562,2.2878478121200714,1.1987991565589327,3.807872524298335e-07,3.807872524298335e-07,1.0964104654471818e-05,False
300.0,30.0,5991.701191578783,0.03335640951981521,0.3244290457220913,0.17852589549838943,5.492922910859443e-08,5.492922910859443e-08,1.0964104654471818e-05,False
1000.0,0.3,5.392531072420906,11.118803173271735,322.4317337420624,371.94443610172334,7.583491997979485e-05,7.583491997979485e-05,9.867694189024637e-07,True
1000.0,1.0,17.975103574736355,3.3356409519815204,45.7959878604675,45.43134816640928,9.963213065224361e-06,9.963213065224361e-06,9.867694189024637e-07,True
1000.0,3.0,53.92531072420907,1.1118803173271734,7.50985753570103,7.08883184875854,1.5943669863115188e-06,1.5943669863115188e-06,9.867694189024637e-07,True
1000.0,10.0,179.75103574736352,0.33356409519815206,1.0309282779619584,0.9155611943675046,2.1258199775033506e-07,2.1258199775033506e-07,9.867694189024637e-07,False
1000.0,30.0,539.2531072420906,0.11118803173271735,0.16827690708382184,0.14144293150414614,3.3825439575147783e-08,3.3825439575147783e-08,9.867694189024637e-07,False
4000.0,0.3,0.3370331920263066,44.47521269308694,25.39043794557768,23.43855655568653,5.332762055371611e-06,5.332762055371611e-06,6.167308868140398e-08,True
4000.0,1.0,1.1234439734210222,13.342563807926082,11.258008221385785,10.500752824546575,2.376340050881896e-06,2.376340050881896e-06,6.167308868140398e-08,True
4000.0,3.0,3.370331920263067,4.447521269308694,2.6136473530119555,3.3525747092468072,6.51589141912614e-07,6.51589141912614e-07,6.167308868140398e-08,True
4000.0,10.0,11.23443973421022,1.3342563807926082,0.3859447527102605,0.3542677316302349,8.084084240770403e-08,8.084084240770403e-08,6.167308868140398e-08,True
4000.0,30.0,33.70331920263066,0.4447521269308694,0.06363841659290716,0.0615512195068471,1.367233849350031e-08,1.367233849350031e-08,6.167308868140398e-08,False
