scale,layer,sd_Nq_cum,sd_Nq_marg,sd_ENq_cum,sd_ENq_marg,sd_ES1_cum,sd_ES1_marg,sd_S1c_cum_phd,sd_log10S2c_cum,hw68_ENq,hw68_ES1,pct_ENq_marg,pct_ENq_cum
contour,quanta,43.880075366274504,43.880075366274504,1.883155308556257,1.883155308556257,1.9514630335603194,1.9514630335603194,4.916080969103291,0.025147420103327513,1.8668297105494815,1.9430415686386624,0.7593368179662326,0.7593368179662326
contour,+S1 binomial (g1),203.4000688300143,198.61049062399655,8.729199426226069,8.523652310288233,8.891748532019864,8.674963053830545,22.39967623274045,0.025147420103327513,8.669100018567349,8.931962607563463,3.436956576729126,3.5198384783169634
contour,+double phe,239.210695102295,125.89745291811344,10.265787741678729,5.402543413465155,10.450535312603469,5.490946763837242,26.327196444550083,0.025147420103327513,10.204345367295005,10.320463526998623,2.1784449247843365,4.139430540999487
contour,+SPE resolution,247.7419411362345,64.453958347229,10.63229097819884,2.767528407783234,10.823231783548252,2.8157872647692974,27.264858144192637,0.025147420103327513,10.538298873555249,10.747600506406883,1.1159388741061427,4.287214104112436
contour,+extraction binomial,247.57267732275875,0.0,10.624506033467194,0.0,10.810212167796704,0.0,27.23367047853956,0.028148974631143967,10.546727378251589,10.728312874592078,0.0,4.284075013494836
contour,+SE Fano,248.79018941888953,24.58307943135102,10.677312808136882,1.0606037656085823,10.862584447642266,1.065389022554536,27.364057308767393,0.029416891542272134,10.598350049846118,10.783922918921562,0.42766280871313805,4.30536806779713
contour,+position residual,267.65178099147886,98.69608663378516,11.486097956108804,4.233844287940091,11.6817420209308,4.297366142350541,29.429464706564016,0.03061783183476322,11.451351125840702,11.63607019586641,1.707195277395198,4.631491111334195
contour,+e-lifetime corr.,266.70122337570484,0.0,11.444880293796613,0.0,11.637373042461206,0.0,29.319016154422265,0.031319903780437156,11.352064286427819,11.544376032170106,0.0,4.614871086208312
TableS5,quanta,43.880075366274504,43.880075366274504,2.0498752726329537,2.0498752726329537,2.1275145895438627,2.1275145895438627,4.916080969103292,0.025147420103327513,2.032102433528536,2.1183299831079125,0.8265626099326426,0.8265626099326426
TableS5,+S1 binomial (g1),196.86218357933723,191.90950552141692,9.196598483709185,8.965234801008284,9.379068789017792,9.13458335231584,21.67206667556189,0.025147420103327513,9.156439186337352,9.305119864948821,3.615014032664631,3.708305840205316
TableS5,+double phe,230.3766877638561,119.6607660907307,10.762181304138752,5.589912588993822,10.96999850312931,5.689809821912469,25.348327705502697,0.025147420103327513,10.749139974090298,10.81894789266778,2.253997011691057,4.339589235539819
TableS5,+SPE resolution,238.0234765360935,59.84778289362952,11.119149548485893,2.794805942894844,11.337192427480716,2.862003665103667,26.197517380827083,0.025147420103327513,11.05454742467549,11.270195207126193,1.126937880199534,4.483528043744312
TableS5,+extraction binomial,238.13652038665967,7.336685868817968,11.124949138936818,0.35917497454168407,11.336504361146092,0.0,26.194492255977497,0.028128307158708968,11.088290807856566,11.285013386787597,0.14482861876680808,4.485866588280975
TableS5,+SE Fano,238.84719634511745,18.41143286268378,11.157413396557754,0.8505176998483857,11.367679517056652,0.8413123511663034,26.268518964394378,0.029410604173010207,11.12263986112714,11.321551430941028,0.34295068542273616,4.49895701474103
TableS5,+position residual,255.7036763738606,91.30381650941514,11.945055541047548,4.265733017550943,12.165710382742022,4.333632600284392,28.111961526190502,0.030621236933836865,11.86314756094201,12.088637128245338,1.720053636109251,4.816554653648205
TableS5,+e-lifetime corr.,255.5274895038748,0.0,11.936597279169245,0.0,12.157611804590871,0.0,28.093902465719285,0.031230455847620468,11.858961537799857,12.07196839689071,0.0,4.813144064181148
