doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,3.909037608845795328e+18,3.890909285390737500e+13,4.995086861157430267e+10
1.100000000000000000e+01,3.906497351696535552e+18,3.980272880546298438e+13,5.150446443216622162e+10
2.100000000000000000e+01,3.903357006450962944e+18,4.090480242795075781e+13,5.342891620119877625e+10
3.100000000000000000e+01,3.899688348103459328e+18,4.218905144660706250e+13,5.568294366188880920e+10
4.100000000000000000e+01,3.895581121781178368e+18,4.362337262110848438e+13,5.821444865179251099e+10
5.100000000000000000e+01,3.891142648632808960e+18,4.517008059258434375e+13,6.096035341505168152e+10
6.100000000000000000e+01,3.886492294928925184e+18,4.678365785820534375e+13,6.383767638439894867e+10
7.100000000000000000e+01,3.881760771657409024e+18,4.841337300960112500e+13,6.675052416989372253e+10
8.100000000000000000e+01,3.877093981030559744e+18,5.001021121745110156e+13,6.961116082608636475e+10
9.100000000000000000e+01,3.872642508594589696e+18,5.152470626303045312e+13,7.233032576327389526e+10
1.010000000000000000e+02,3.868555441058323968e+18,5.290860663782869531e+13,7.482019125173165894e+10
1.110000000000000000e+02,3.864973713182839296e+18,5.411671548703444531e+13,7.699783524289930725e+10
1.210000000000000000e+02,3.862023757977490944e+18,5.510873663218116406e+13,7.878881170726156616e+10
1.310000000000000000e+02,3.859811591423976960e+18,5.585100987108147656e+13,8.013057347234172058e+10
1.410000000000000000e+02,3.858417751314890240e+18,5.631801903663472656e+13,8.097549310572608948e+10
1.510000000000000000e+02,3.857893414218580480e+18,5.649356784315938281e+13,8.129324556187364197e+10
1.525000000000000000e+02,3.857891383503913984e+18,5.649424759232689062e+13,8.129447610000296021e+10
1.530000000000000000e+02,3.857895165001529344e+18,5.649298179648714844e+13,8.129218465418960571e+10
1.600000000000000000e+02,3.858181594001795072e+18,5.639709361004467188e+13,8.111861224377380371e+10
1.610000000000000000e+02,3.858257915065843200e+18,5.637153995143151562e+13,8.107236022530418396e+10
1.678909999999999911e+02,3.859020683639069184e+18,5.611606821576328125e+13,8.061005103016719055e+10
1.710000000000000000e+02,3.859497807902967296e+18,5.595618866488778125e+13,8.032081483992427063e+10
1.810000000000000000e+02,3.861567519205724672e+18,5.526193531287114062e+13,7.906562202769305420e+10
1.910000000000000000e+02,3.864391558071186432e+18,5.431269091034743750e+13,7.735144274422859192e+10
2.010000000000000000e+02,3.867868160411706368e+18,5.314074987094967188e+13,7.523834084881033325e+10
2.110000000000000000e+02,3.871874157998923264e+18,5.178533461968585156e+13,7.279886085510746765e+10
2.210000000000000000e+02,3.876270772116309504e+18,5.029089284650854688e+13,7.011465890397628784e+10
2.310000000000000000e+02,3.880909896156131840e+18,4.870526269406785156e+13,6.727294033936112213e+10
2.410000000000000000e+02,3.885640741423939584e+18,4.707782344415173438e+13,6.436295245880056000e+10
2.510000000000000000e+02,3.890316073315396608e+18,4.545774184010694531e+13,6.147275594143920135e+10
2.610000000000000000e+02,3.894801653301758464e+18,4.389522407318082812e+13,5.869588419942186737e+10
2.710000000000000000e+02,3.898977051359750144e+18,4.243769143851368750e+13,5.612073071218654633e+10
2.810000000000000000e+02,3.902731968953895424e+18,4.112383416347633594e+13,5.381248429370046997e+10
2.910000000000000000e+02,3.905973430512224768e+18,3.998678926807380469e+13,5.182522759712020111e+10
3.010000000000000000e+02,3.908626437288641024e+18,3.905388040669406250e+13,5.020215743903886414e+10
3.110000000000000000e+02,3.910633557003281408e+18,3.834655142845236719e+13,4.897612504948752594e+10
3.210000000000000000e+02,3.911953898201247232e+18,3.788045680819785938e+13,4.817043384040501404e+10
3.310000000000000000e+02,3.912561847311630336e+18,3.766562021193228125e+13,4.779966508971210480e+10
3.350000000000000000e+02,3.912602535099052544e+18,3.765123680586080469e+13,4.777485552765008545e+10
3.410000000000000000e+02,3.912445962979496448e+18,3.770658251076377344e+13,4.787032923966525269e+10
3.510000000000000000e+02,3.911608408564944384e+18,3.800248184766693750e+13,4.838119536761375427e+10
3.610000000000000000e+02,3.910065063444483072e+18,3.854703778401061719e+13,4.932322692181606293e+10
