doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,1.100150533084183693e+10,8.465857823087915421e+09,5.519313265669500828e+07
1.100000000000000000e+01,1.412206367286430168e+10,1.054209587614258194e+10,6.609258406342744827e+07
2.100000000000000000e+01,1.875143706699195099e+10,1.346227726107195854e+10,8.073526138052675128e+07
3.100000000000000000e+01,2.534058258928226471e+10,1.734530687241986084e+10,9.939752340970575809e+07
4.100000000000000000e+01,3.435265946464932632e+10,2.226254836389579010e+10,1.221744058765532523e+08
5.100000000000000000e+01,4.616866511868675232e+10,2.821437294420238876e+10,1.489016834665935636e+08
6.100000000000000000e+01,5.993598708435417938e+10,3.483317609514742279e+10,1.781628906171202660e+08
7.100000000000000000e+01,7.390990704677879333e+10,4.154734527385189056e+10,2.078415561371790767e+08
8.100000000000000000e+01,8.765130942004704285e+10,4.815039960813235474e+10,2.370311547638865411e+08
9.100000000000000000e+01,1.007324722479472961e+11,5.443664838003598022e+10,2.648218022863046527e+08
1.010000000000000000e+02,1.127291358611464539e+11,6.020204636984187317e+10,2.903108490752418041e+08
1.110000000000000000e+02,1.232373697997926788e+11,6.525232573823728943e+10,3.126389257448416352e+08
1.210000000000000000e+02,1.318916161208194885e+11,6.941168359925720215e+10,3.310284058091706038e+08
1.310000000000000000e+02,1.383825571416650391e+11,7.253137666518957520e+10,3.448214191523910761e+08
1.410000000000000000e+02,1.424733023382725220e+11,7.449749998059507751e+10,3.535142280903425217e+08
1.510000000000000000e+02,1.440124068154388123e+11,7.523723861255279541e+10,3.567848364838373661e+08
1.525000000000000000e+02,1.440183680132934570e+11,7.524010373371968079e+10,3.567975040183221102e+08
1.530000000000000000e+02,1.440072675545906982e+11,7.523476851026007080e+10,3.567739153599029183e+08
1.600000000000000000e+02,1.431664854826811218e+11,7.483066382756941223e+10,3.549872457567741871e+08
1.610000000000000000e+02,1.429424600522191162e+11,7.472299071640959167e+10,3.545111905329456925e+08
1.678909999999999911e+02,1.407036646409582825e+11,7.364696238158460999e+10,3.497537480864604712e+08
1.710000000000000000e+02,1.393033979785918274e+11,7.297395663764561462e+10,3.467781928696790934e+08
1.810000000000000000e+02,1.332301955745290680e+11,7.005503189554426575e+10,3.338728159957975745e+08
1.910000000000000000e+02,1.249451809473544464e+11,6.607311779986119843e+10,3.162678176782506704e+08
2.010000000000000000e+02,1.147457307539783630e+11,6.117121336299848175e+10,2.945956505730557442e+08
2.110000000000000000e+02,1.029885526869545898e+11,5.552086250691027069e+10,2.696150892897265553e+08
2.210000000000000000e+02,9.007200209950627136e+10,4.931365069652105713e+10,2.421736278973492384e+08
2.310000000000000000e+02,7.641796892677989197e+10,4.275248440365655518e+10,2.131688778337039948e+08
2.410000000000000000e+02,6.245470795297185516e+10,3.604331614663256836e+10,1.835118964105319977e+08
2.510000000000000000e+02,4.860235668395431519e+10,2.938802037918427277e+10,1.540953817953894138e+08
2.610000000000000000e+02,3.626709533049658203e+10,2.326090583085524368e+10,1.267127042729670107e+08
2.710000000000000000e+02,2.677383776612925720e+10,1.815471901753828812e+10,1.032026069818096459e+08
2.810000000000000000e+02,1.978146670416360855e+10,1.408862687878052521e+10,8.379859430938233435e+07
2.910000000000000000e+02,1.483326096492772865e+10,1.100254014513414383e+10,6.844723817309966683e+07
3.010000000000000000e+02,1.147081409059767723e+10,8.784172586380624771e+09,5.689829221126440167e+07
3.110000000000000000e+02,9.305420921131713867e+09,7.295072384529439926e+09,4.879591905243145674e+07
3.210000000000000000e+02,8.046874457148053169e+09,6.403355149554044724e+09,4.377482484447417408e+07
3.310000000000000000e+02,7.509800528348062515e+09,6.016325223641841888e+09,4.154728702230144292e+07
3.350000000000000000e+02,7.474783721097486496e+09,5.990950831752669334e+09,4.140013007177900523e+07
3.410000000000000000e+02,7.610164959022219658e+09,6.088956770701472282e+09,4.196773683183772117e+07
3.510000000000000000e+02,8.363873582509370804e+09,6.629931324632049561e+09,4.506456917778651416e+07
3.610000000000000000e+02,9.887124973158445358e+09,7.700403053774480820e+09,5.103397589151985943e+07
