doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,2.836247418273714355e+12,5.177465714244974365e+11,1.838991601905141830e+09
1.100000000000000000e+01,2.993380969766120605e+12,5.409301330546742554e+11,1.919662965301089287e+09
2.100000000000000000e+01,3.190759240566849609e+12,5.698464086370170898e+11,2.020232986390318871e+09
3.100000000000000000e+01,3.425580149191814453e+12,6.039798096996231689e+11,2.138882857205207586e+09
4.100000000000000000e+01,3.693706882959643555e+12,6.426363695859997559e+11,2.273177442307572842e+09
5.100000000000000000e+01,3.989464587273720215e+12,6.849275179687659912e+11,2.420012199493169308e+09
6.100000000000000000e+01,4.302576557467491211e+12,7.294856985764564209e+11,2.574663302503663540e+09
7.100000000000000000e+01,4.620018355417558594e+12,7.746481171194881592e+11,2.731405820282471657e+09
8.100000000000000000e+01,4.932210195947702148e+12,8.190534132556613770e+11,2.885515228393904209e+09
9.100000000000000000e+01,5.229389387517010742e+12,8.613126475554572754e+11,3.032171290645954609e+09
1.010000000000000000e+02,5.501889066920899414e+12,9.000523163556379395e+11,3.166608163280804157e+09
1.110000000000000000e+02,5.740526687851046875e+12,9.339694759230513916e+11,3.284305602816074371e+09
1.210000000000000000e+02,5.937012601714343750e+12,9.618893694894803467e+11,3.381188720603788853e+09
1.310000000000000000e+02,6.084349060299165039e+12,9.828214258229655762e+11,3.453821982508011818e+09
1.410000000000000000e+02,6.177187540828220703e+12,9.960092107212474365e+11,3.499582181865874290e+09
1.510000000000000000e+02,6.212113657478767578e+12,1.000970138284278442e+12,3.516795906709567547e+09
1.525000000000000000e+02,6.212248926357846680e+12,1.000989351561232422e+12,3.516862573763828278e+09
1.530000000000000000e+02,6.211997035914192383e+12,1.000953573587609863e+12,3.516738429561905861e+09
1.600000000000000000e+02,6.192917829975372070e+12,9.982435751309808350e+11,3.507335124758880615e+09
1.610000000000000000e+02,6.187834104018546875e+12,9.975214760254575195e+11,3.504829540444888115e+09
1.678909999999999911e+02,6.137027661887151367e+12,9.903046343483360596e+11,3.479787990165560246e+09
1.710000000000000000e+02,6.105248470969623047e+12,9.857903243845649414e+11,3.464123796371513367e+09
1.810000000000000000e+02,5.967399231041076172e+12,9.662066674326473389e+11,3.396169670297695160e+09
1.910000000000000000e+02,5.779304575050474609e+12,9.394801251519512939e+11,3.303427983391166210e+09
2.010000000000000000e+02,5.547689480709361328e+12,9.065624857196788330e+11,3.189199689109688282e+09
2.110000000000000000e+02,5.280639290845023438e+12,8.685993069254284668e+11,3.057458288693910599e+09
2.210000000000000000e+02,4.987205827452820312e+12,8.268746799104393311e+11,2.912658489200252533e+09
2.310000000000000000e+02,4.676998242416949219e+12,7.827535771524733887e+11,2.759536384916308880e+09
2.410000000000000000e+02,4.359788927026338379e+12,7.376259991533234863e+11,2.602915746013026714e+09
2.510000000000000000e+02,4.045161460519936035e+12,6.928566430204345703e+11,2.447533292993129253e+09
2.610000000000000000e+02,3.745200901160231445e+12,6.500247525145582275e+11,2.298836173532092571e+09
2.710000000000000000e+02,3.471624067588652832e+12,6.106411589268669434e+11,2.162030389509200096e+09
2.810000000000000000e+02,3.230447549625279297e+12,5.756351276796560059e+11,2.040359757707330704e+09
2.910000000000000000e+02,3.026073206426480957e+12,5.457348381537315063e+11,1.936377294466394663e+09
3.010000000000000000e+02,2.861525087254057617e+12,5.214864197281043701e+11,1.852007568267401934e+09
3.110000000000000000e+02,2.738713687840458496e+12,5.032772740216857910e+11,1.788624066774692774e+09
3.210000000000000000e+02,2.658730419627032715e+12,4.913633510548057861e+11,1.747140248051430464e+09
3.310000000000000000e+02,2.622120653874343262e+12,4.858949904811633911e+11,1.728096026890408993e+09
3.350000000000000000e+02,2.619675454671001953e+12,4.855294066186127930e+11,1.726822754989921808e+09
3.410000000000000000e+02,2.629088327554664062e+12,4.869364936031616821e+11,1.731723364018810034e+09
3.510000000000000000e+02,2.679596894040211914e+12,4.944758468317302246e+11,1.757978866466439486e+09
3.610000000000000000e+02,2.773349761401318848e+12,5.084228329535365601e+11,1.806537454749817371e+09
