model,m_gev,delta_kev,mod_fraction_roi,mod_fraction_200_270,peak_doy,cosfit_phase_doy,A1_over_A0,frac_year_allowed,R_roi_event_over_avg_halo,R_roi_event_over_dec,LR_roi_uniform,pev_mod_roi_uniform,pev_flat_uniform,P30_mod_roi_uniform,P30_flat_uniform,ElnLR_model_roi_uniform,VarlnLR_model_roi_uniform,ElnLR_flat_roi_uniform,VarlnLR_flat_roi_uniform,N3sigma_roi_uniform,N3sigma_asimov_roi_uniform,LR_200_270_uniform,pev_mod_200_270_uniform,P30_mod_200_270_uniform,ElnLR_model_200_270_uniform,VarlnLR_model_200_270_uniform,ElnLR_flat_200_270_uniform,VarlnLR_flat_200_270_uniform,N3sigma_200_270_uniform,N3sigma_asimov_200_270_uniform,LR_roi_gaps,pev_mod_roi_gaps,pev_flat_gaps,P30_mod_roi_gaps,P30_flat_gaps,ElnLR_model_roi_gaps,VarlnLR_model_roi_gaps,ElnLR_flat_roi_gaps,VarlnLR_flat_roi_gaps,N3sigma_roi_gaps,N3sigma_asimov_roi_gaps,LR_200_270_gaps,pev_mod_200_270_gaps,P30_mod_200_270_gaps,ElnLR_model_200_270_gaps,VarlnLR_model_200_270_gaps,ElnLR_flat_200_270_gaps,VarlnLR_flat_200_270_gaps,N3sigma_200_270_gaps,N3sigma_asimov_200_270_gaps
O1 el m=100,100.0,0.0,0.007041252487748007,0.20015808050065984,334.5,334.5240538663348,0.007042635520904396,1.0,0.9920488423648909,0.986307348196353,0.9931152480260782,0.0026768605068088363,0.0026954177897574125,0.16279682143610208,0.1617250673854447,1.2295771921511794e-05,2.4589951912746145e-05,-1.2296530273588676e-05,2.4594502011908008e-05,366000.91327520326,365979.4625929198,1.1949929557336667,0.0032210052715193173,0.13097988550498046,0.01004135377868854,0.019842683675344842,-0.010137128436019736,0.020416045655258775,451.2707086053304,448.146743873387,0.9929757730220252,0.002837073637205787,0.002857142857142858,0.1725403954156236,0.17142857142857143,1.207185867560176e-05,2.414102649418321e-05,-1.2073168585233045e-05,2.414888592929308e-05,372807.1296839709,372767.783398167,1.1997669538134066,0.00342790558232402,0.13939333929835546,0.009932557100693629,0.019654372247958865,-0.010014428442417865,0.020144511633989892,455.66398800326,453.05553790229385
O1 el m=1000,1000.0,0.0,0.024435008670908562,0.03471164370395765,334.5,334.5236337580604,0.024441445070215614,1.0,0.9740807392400385,0.9531647940780041,0.9768695092481414,0.0026330714534990337,0.0026954177897574125,0.16556768628802618,0.1617250673854447,0.00014809392472958215,0.00029621534009024737,-0.00014807471659954424,0.00029610009541190276,30381.059182911646,30386.121565870777,1.0324918515243922,0.0027829969043784157,0.15622297264937215,0.0002985937543342875,0.0005966161275193658,-0.000298857397513258,0.0005981978802449466,15082.820885897625,15070.643423311769,0.9764069588779489,0.002789734168222712,0.002857142857142858,0.17541864691043227,0.17142857142857143,0.00014575070016782394,0.00029148599574268516,-0.00014575320035157407,0.00029150099688675255,30874.064930617635,30874.637273224052,1.0331800873843782,0.0029519431068125096,0.1657067338136598,0.00029470021375531397,0.0005889564334425671,-0.00029490101068089733,0.0005901611338210224,15279.050303722122,15269.754787949681
O11 el m=1000,1000.0,0.0,0.020504697879067287,0.034875116082740916,334.5,334.52367305557584,0.020508837205373456,1.0,0.9781169418408313,0.9605564403364117,0.9805325558556859,0.0026429448944897196,0.0026954177897574125,0.16493977757554873,0.1617250673854447,0.000104259634126142,0.00020853346367886554,-0.00010424982906440377,0.00020847463480067218,43156.29874444685,43161.47891479769,1.0326475124783137,0.0027834164756827865,0.15619749066842323,0.0003014116163518356,0.0006022436161289225,-0.000301678959313198,0.0006038475650370824,14941.862823917769,14929.749737140797,0.9801419133289699,0.0028004054666542007,0.002857142857142858,0.17476650979530717,0.17142857142857143,0.00010259428206058595,0.00020517718375568224,-0.00010259739540036377,0.0002051958635872285,43862.32288192816,43862.0935749867,1.0333391451090852,0.00295239755745453,0.16568023289323067,0.0002974807092017886,0.0005945110343655868,-0.0002976842993749323,0.000595732492322888,15136.275281805354,15127.031302549229
O1 d=100 m=1000,1000.0,100.0,0.10349357037930569,0.08933655604021896,152.0,151.89881101914747,0.10359143573919635,1.0,1.11412402136788,1.226452329643069,1.0991013787632138,0.0029625374090652664,0.0026954177897574125,0.1776474315436789,0.1617250673854447,0.0026599558755401563,0.0052995996166232675,-0.0026683733863110265,0.005350074520596037,1695.9780715613792,1691.7573864213769,1.085128645599332,0.0029248750555238064,0.17540350823003042,0.001979739488673811,0.003947126691711305,-0.0019849513766890016,0.003978384114960746,2277.8785300894788,2273.0263379322005,1.1013328779198914,0.003146665365485405,0.002857142857142858,0.16660214256286796,0.15142857142857144,0.0026259868777571554,0.0052353796767451045,-0.002632610050089832,0.00527509508723645,1716.8526977002532,1713.6414648969728,1.087021729924977,0.0031057763712142206,0.16446102477044638,0.0019543265294476864,0.003898643960765467,-0.0019584029918376517,0.003923091896135379,2306.2763028876743,2302.5834896033202
O1 d=200 m=1000,1000.0,200.0,0.24360751452705315,0.16186973959540663,152.0,151.89917742818125,0.2458636208035358,1.0,1.2877762884510975,1.6307864634964033,1.2394499300444382,0.003340835390955359,0.0026954177897574125,0.20018520922845232,0.1617250673854447,0.015020736134234387,0.029524058962709782,-0.015225828829065507,0.030750499882315017,302.5119741276904,299.5858498401994,1.1567386399386521,0.0031178939081904374,0.1869036685337258,0.00653729552279269,0.01296877904953933,-0.006579820064494091,0.013223553557306023,691.6939815409178,688.3580502534219,1.2455264304278468,0.0035586469440795636,0.002857142857142858,0.18817313549728404,0.15142857142857144,0.014871503584964578,0.02928061734221544,-0.015050538381926534,0.030351270553690447,305.09629242916014,302.5921336259234,1.1604529944584705,0.0033155799841670594,0.17544737713794528,0.006460831125527741,0.012830890678955199,-0.006496182617201203,0.01304269241710626,699.1975907654527,696.5048168833581
O1 d=250 m=1000,1000.0,250.0,0.2697308699620842,0.22105363132798558,152.0,151.89928178448275,0.2730826960291839,1.0,1.3236045155705376,1.7232460927187154,1.2667511572299042,0.0034144236043932726,0.0026954177897574125,0.20456862030619943,0.1617250673854447,0.018546138740809556,0.03631831074810964,-0.018852021041794162,0.03814602887450641,245.4660177656288,242.63810720330946,1.2159396453499765,0.0032774653513476457,0.19641016247456375,0.01228099747616769,0.024206723502313482,-0.01242263863154039,0.025054248090010223,369.4895160440381,366.4197479669407,1.2736661720130402,0.0036390462057515447,0.002857142857142858,0.1923815401486786,0.15142857142857144,0.018371596101904045,0.03604586267361094,-0.018641197725421402,0.03765686463767878,247.39044997371835,244.9433339944599,1.221319649539809,0.0034894847129708843,0.18455237668900148,0.012154420280875149,0.023993508985945503,-0.012277121031595783,0.024727721568759242,372.8420430312239,370.2356752531178
O1 d=300 m=1000,1000.0,300.0,0.4067907310038668,0.3467734977578943,152.0,151.89938382280107,0.4149452283980364,1.0,1.5079344368675485,2.34223310683857,1.4064923197129138,0.003791084419711358,0.0026954177897574125,0.22700910240999367,0.1617250673854447,0.04318954438589527,0.08205820149985983,-0.0449533004402575,0.09254065179265916,107.20151842031912,104.19188403083962,1.3435780920733762,0.0036215042913029013,0.21690672064891436,0.03089798686702487,0.05957850792389427,-0.03179371161185643,0.06491629106122018,148.65384124625143,145.64055643387292,1.418211572403779,0.004052033064010798,0.002857142857142858,0.21400562142182594,0.15142857142857144,0.04297050749115604,0.08188058563091188,-0.04460784860041833,0.09161234298873691,107.49862814437135,104.72298938815572,1.3530416875865052,0.003865833393104302,0.2042573870891162,0.03068869647334127,0.0593202314902321,-0.03150769716987942,0.06420107739763012,149.36691753426166,146.63379410425824
O1 d=350 m=1000,1000.0,350.0,0.9013355282501369,0.8525185023305493,152.0,151.90167601498817,1.0491961920563846,1.0,2.8317501803726453,18.806257698506876,2.0783370821591256,0.00560198674436422,0.0026954177897574125,0.3348247923642209,0.1617250673854447,0.3043884458239414,0.3880982575035161,-0.42822161629484573,1.0914719811305376,18.302454779494607,14.783741175914425,1.9564482102106613,0.005273445310540866,0.3152878570360036,0.2444680107506956,0.3433678373092546,-0.3210220430680377,0.7821806042484652,22.014032869351954,18.407316303600247,2.1241044600851238,0.0060688698859574985,0.002857142857142858,0.3194855993265121,0.15142857142857144,0.3076690808685234,0.3951777202656867,-0.4305749112059286,1.0926997853321085,18.04444482324996,14.62610408331213,1.9946464355345024,0.005698989815812866,0.30018006775711004,0.2467665766375066,0.34857632692699225,-0.32263020816153254,0.7831544144767275,21.740017470142924,18.23585698402899
O1 d=380 m=1000,1000.0,380.0,1.0,1.0,152.0,151.90580499439017,1.389201850905227,0.8576317590691307,6.063612475236036,inf,2.5451531569491843,0.0068602510968980715,0.0026954177897574125,0.40956959405824767,0.1617250673854447,0.604068384696652,0.27550254112185424,-inf,inf,,7.4494876970920885,2.5451531569491848,0.006860251096898072,0.4095695940582477,0.6040683846966524,0.2755025411218543,-inf,inf,,7.449487697092084,2.627488291685251,0.007507109404815006,0.002857142857142858,0.3944218958218342,0.15142857142857144,0.6151194654292035,0.28941821425124425,-inf,inf,,7.3156520853393845,2.627488291685251,0.007507109404815006,0.3944218958218342,0.6151194654292035,0.28941821425124425,-inf,inf,,7.3156520853393845
