doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,2.688108889041545625e+14,8.880581234063667969e+12,2.674697683922659302e+10
1.100000000000000000e+01,2.764381280359303438e+14,9.042186807290658203e+12,2.724927526071018600e+10
2.100000000000000000e+01,2.859124021276953125e+14,9.240834395645703125e+12,2.786697146900827408e+10
3.100000000000000000e+01,2.970440898663713125e+14,9.471435539577566406e+12,2.858438747108890152e+10
4.100000000000000000e+01,3.095938111950350000e+14,9.727894663697064453e+12,2.938269503298265076e+10
5.100000000000000000e+01,3.232667122269541875e+14,1.000320373150969141e+13,3.024019038422443008e+10
6.100000000000000000e+01,3.376259461604943125e+14,1.028930158410742383e+13,3.113177386173318863e+10
7.100000000000000000e+01,3.521477694165460000e+14,1.057743443247921680e+13,3.203010105713259506e+10
8.100000000000000000e+01,3.663946871451823125e+14,1.085895919057769922e+13,3.290821216028903580e+10
9.100000000000000000e+01,3.799240401083781250e+14,1.112524455049094141e+13,3.373913920566122437e+10
1.010000000000000000e+02,3.923017367249234375e+14,1.136795807546941602e+13,3.449680624174370575e+10
1.110000000000000000e+02,4.031191066123878750e+14,1.157936786582321094e+13,3.515698157425251770e+10
1.210000000000000000e+02,4.120101227120608125e+14,1.175263667672143359e+13,3.569821029977542114e+10
1.310000000000000000e+02,4.186678402826173125e+14,1.188209198525199609e+13,3.610267371234904480e+10
1.410000000000000000e+02,4.228588610771163750e+14,1.196345635226949414e+13,3.635692449983301544e+10
1.510000000000000000e+02,4.244347175140459375e+14,1.199402453202950000e+13,3.645245323461254883e+10
1.525000000000000000e+02,4.244408199284267500e+14,1.199414287850175000e+13,3.645282308805067444e+10
1.530000000000000000e+02,4.244294563172331250e+14,1.199392249930976367e+13,3.645213436446305847e+10
1.600000000000000000e+02,4.235686625948192500e+14,1.197722667527074805e+13,3.639995764780744934e+10
1.610000000000000000e+02,4.233392783717265000e+14,1.197277687399508594e+13,3.638605163478076172e+10
1.678909999999999911e+02,4.210463058083824375e+14,1.192827953158836523e+13,3.624699869207306671e+10
1.710000000000000000e+02,4.196115810257446875e+14,1.190042233120065820e+13,3.615995044139006042e+10
1.810000000000000000e+02,4.133838597369630625e+14,1.177936854024345508e+13,3.578172349415425110e+10
1.910000000000000000e+02,4.048749308554170000e+14,1.161362073699236719e+13,3.526396386451021576e+10
2.010000000000000000e+02,3.943794672385547500e+14,1.140861546514270703e+13,3.462375179533197021e+10
2.110000000000000000e+02,3.822540127741871875e+14,1.117099889703238477e+13,3.388194689796563339e+10
2.210000000000000000e+02,3.689008118818514375e+14,1.090836281564181641e+13,3.306234750724597549e+10
2.310000000000000000e+02,3.547506411581890625e+14,1.062895362362513477e+13,3.219076740435389709e+10
2.410000000000000000e+02,3.402458098220371875e+14,1.034137082708478906e+13,3.129408322787353516e+10
2.510000000000000000e+02,3.258244063026940625e+14,1.005427128754715039e+13,3.039930492058983231e+10
2.610000000000000000e+02,3.119864901210993750e+14,9.776375690785074219e+12,2.953365904929424286e+10
2.710000000000000000e+02,2.992106841221523750e+14,9.515974128942541016e+12,2.872299405378142166e+10
2.810000000000000000e+02,2.878040711939943750e+14,9.280230478451953125e+12,2.798950818149224091e+10
2.910000000000000000e+02,2.780152997493873750e+14,9.075413126622652344e+12,2.735257254142947769e+10
3.010000000000000000e+02,2.700432279890951562e+14,8.906797349883500000e+12,2.682844785912543106e+10
3.110000000000000000e+02,2.640357305702557188e+14,8.778602626140146484e+12,2.643011026536591339e+10
3.210000000000000000e+02,2.600948861231607500e+14,8.693960201677127930e+12,2.616717030925597000e+10
3.310000000000000000e+02,2.582831866313393125e+14,8.654900402409851562e+12,2.604585028047144699e+10
3.350000000000000000e+02,2.581619999802163750e+14,8.652284296202308594e+12,2.603772505263211060e+10
3.410000000000000000e+02,2.586283864363910625e+14,8.662350061330142578e+12,2.606898807500528717e+10
3.510000000000000000e+02,2.611252469783433438e+14,8.716132912599413086e+12,2.623604410585709000e+10
3.610000000000000000e+02,2.657352110845189375e+14,8.814969437700531250e+12,2.654309972955527115e+10
