doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,7.773268856323585000e+14,2.253013460455066895e+12,7.322467528816784859e+09
1.100000000000000000e+01,7.757002504268322500e+14,2.261783784378713379e+12,7.357887888032817841e+09
2.100000000000000000e+01,7.737226402128231250e+14,2.272388512008918945e+12,7.400789004245796204e+09
3.100000000000000000e+01,7.714563580992451250e+14,2.284462378564535645e+12,7.449731528950160027e+09
4.100000000000000000e+01,7.689719617960586250e+14,2.297600582674388672e+12,7.503109879059584618e+09
5.100000000000000000e+01,7.663457574679945000e+14,2.311376443343533203e+12,7.559218492879503250e+09
6.100000000000000000e+01,7.636565620170156250e+14,2.325354240018362305e+12,7.616301003113765717e+09
7.100000000000000000e+01,7.609835329642836250e+14,2.339107352153136719e+12,7.672621075995964050e+09
8.100000000000000000e+01,7.584050354593091250e+14,2.352240069435954590e+12,7.726548695785328865e+09
9.100000000000000000e+01,7.559955520112338750e+14,2.364392190449645996e+12,7.776582417355604172e+09
1.010000000000000000e+02,7.538236732402581250e+14,2.375246155046587402e+12,7.821382226829109192e+09
1.110000000000000000e+02,7.519503820430658750e+14,2.384531477273108398e+12,7.859792688989718437e+09
1.210000000000000000e+02,7.504276298807225000e+14,2.392026855094815430e+12,7.890857319972398758e+09
1.310000000000000000e+02,7.492972021396318750e+14,2.397560580280786621e+12,7.913826078163795471e+09
1.410000000000000000e+02,7.485898595754341250e+14,2.401009926227630371e+12,7.928158131554718018e+09
1.510000000000000000e+02,7.483247374214051250e+14,2.402300153454698730e+12,7.933521999043545723e+09
1.525000000000000000e+02,7.483237116447216250e+14,2.402305142642371582e+12,7.933542743760491371e+09
1.530000000000000000e+02,7.483256218020450000e+14,2.402295851975322754e+12,7.933504113789256096e+09
1.600000000000000000e+02,7.484703856311678750e+14,2.401591528926848633e+12,7.930575830555495262e+09
1.610000000000000000e+02,7.485089854213058750e+14,2.401403655953605957e+12,7.929794814206733704e+09
1.678909999999999911e+02,7.488953735187111250e+14,2.399521346916782227e+12,7.921971663272549629e+09
1.710000000000000000e+02,7.491376360042962500e+14,2.398339595680439453e+12,7.917061886384694099e+09
1.810000000000000000e+02,7.501936957402667500e+14,2.393174159123345703e+12,7.895617014819952011e+09
1.910000000000000000e+02,7.516484634284386250e+14,2.386021342663636719e+12,7.865963238287771225e+09
2.010000000000000000e+02,7.534620863900386250e+14,2.377043955824375977e+12,7.828812966878284454e+09
2.110000000000000000e+02,7.555843711473111250e+14,2.366454347210698242e+12,7.785085836580112457e+09
2.210000000000000000e+02,7.579558671327922500e+14,2.354514229077267090e+12,7.735902232097705841e+09
2.310000000000000000e+02,7.605092376206218750e+14,2.341532923170564453e+12,7.682570307623620033e+09
2.410000000000000000e+02,7.631709232982513750e+14,2.327863387395435059e+12,7.626564539654395103e+09
2.510000000000000000e+02,7.658630890942156250e+14,2.313895520163086914e+12,7.569494392652748108e+09
2.610000000000000000e+02,7.685064725461072500e+14,2.300050773141164062e+12,7.513078864696449280e+09
2.710000000000000000e+02,7.710222119882893750e+14,2.286765664721240234e+12,7.459080161408009529e+09
2.810000000000000000e+02,7.733332509662568750e+14,2.274469036512715820e+12,7.409215097229151726e+09
2.910000000000000000e+02,7.753678056232191250e+14,2.263570942670209473e+12,7.365112214662144661e+09
3.010000000000000000e+02,7.770619065435646250e+14,2.254445067768355957e+12,7.328245645832671165e+09
3.110000000000000000e+02,7.783617417114060000e+14,2.247411576249734375e+12,7.299871357260838509e+09
3.210000000000000000e+02,7.792256886649567500e+14,2.242721643753917480e+12,7.280970375744660378e+09
3.310000000000000000e+02,7.796259233002947500e+14,2.240544902056123535e+12,7.272203008599892616e+09
3.350000000000000000e+02,7.796527649936657500e+14,2.240398827036842773e+12,7.271614772038236618e+09
3.410000000000000000e+02,7.795495127815066250e+14,2.240960671950343750e+12,7.273877372839597702e+09
3.510000000000000000e+02,7.789989281832597500e+14,2.243953774867027344e+12,7.285934538141685486e+09
3.610000000000000000e+02,7.779919463152152500e+14,2.249415335287365723e+12,7.307951376422136307e+09
