doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,2.594228038555131641e+13,2.737085982919047852e+12,8.700694917074806213e+09
1.100000000000000000e+01,2.676365839992502734e+13,2.807487193497965332e+12,8.928107922735675812e+09
2.100000000000000000e+01,2.778905382690935547e+13,2.894443222936127930e+12,9.209061362120759964e+09
3.100000000000000000e+01,2.900113736784726562e+13,2.995954656474858398e+12,9.537129915194911957e+09
4.100000000000000000e+01,3.037633775782041797e+13,3.109551744063569336e+12,9.904363990221305847e+09
5.100000000000000000e+01,3.188470436939950781e+13,3.232305018708833008e+12,1.030131936366215134e+10
6.100000000000000000e+01,3.347562839243189062e+13,3.360580453557030762e+12,1.071622958195101357e+10
7.100000000000000000e+01,3.508593611283535547e+13,3.490276876232803711e+12,1.113579050552905273e+10
8.100000000000000000e+01,3.666701410877875781e+13,3.617490510507007324e+12,1.154737258453798866e+10
9.100000000000000000e+01,3.816960698140847656e+13,3.738266514280221680e+12,1.193817521532676697e+10
1.010000000000000000e+02,3.954527144516220312e+13,3.848732101679607910e+12,1.229565731887340355e+10
1.110000000000000000e+02,4.074828133952989844e+13,3.945246828778588867e+12,1.260802499864181900e+10
1.210000000000000000e+02,4.173758889746959375e+13,4.024554978047393066e+12,1.286472667788487816e+10
1.310000000000000000e+02,4.247870774555598438e+13,4.083930027566580566e+12,1.305692302851540756e+10
1.410000000000000000e+02,4.294537704945403906e+13,4.121301043304955078e+12,1.317789845047280121e+10
1.510000000000000000e+02,4.312087554064035156e+13,4.135351719650234375e+12,1.322338370998263931e+10
1.525000000000000000e+02,4.312155517747177344e+13,4.135406128873921387e+12,1.322355984648443413e+10
1.530000000000000000e+02,4.312028959177538281e+13,4.135304810677444824e+12,1.322323185386782455e+10
1.600000000000000000e+02,4.302442371683291406e+13,4.127629863014471680e+12,1.319838621095620728e+10
1.610000000000000000e+02,4.299887813540435156e+13,4.125584612842374512e+12,1.319176527887662315e+10
1.678909999999999911e+02,4.274353648201085156e+13,4.105139151422414062e+12,1.312557949536026382e+10
1.710000000000000000e+02,4.258378390330848438e+13,4.092345665817065430e+12,1.308416527987150192e+10
1.810000000000000000e+02,4.189048772777700000e+13,4.036807137630992676e+12,1.290438583854662323e+10
1.910000000000000000e+02,4.094361495774207031e+13,3.960910251663711914e+12,1.265872216369641304e+10
2.010000000000000000e+02,3.977628283036141406e+13,3.867271947222037598e+12,1.235565874673042107e+10
2.110000000000000000e+02,3.842849032854709375e+13,3.759062776987557129e+12,1.200547179827366066e+10
2.210000000000000000e+02,3.694526426991312500e+13,3.639864958490642090e+12,1.161976743760481453e+10
2.310000000000000000e+02,3.537470190090268750e+13,3.513520660490039551e+12,1.121098863280278397e+10
2.410000000000000000e+02,3.376604651215848828e+13,3.383980638638164062e+12,1.079192390850883484e+10
2.510000000000000000e+02,3.216792271746606250e+13,3.255162518628315430e+12,1.037524812594226074e+10
2.610000000000000000e+02,3.063954058349223438e+13,3.131108096952866699e+12,9.974063216243091583e+09
2.710000000000000000e+02,2.923791797555683594e+13,3.015630065173447266e+12,9.600728187805715561e+09
2.810000000000000000e+02,2.799448404505141797e+13,2.911742589668493164e+12,9.264963599048078537e+09
2.910000000000000000e+02,2.693394992368116016e+13,2.821999775655676758e+12,8.974992940803424835e+09
3.010000000000000000e+02,2.607474604225278906e+13,2.748485723658520508e+12,8.737515619387796402e+09
3.110000000000000000e+02,2.542990017308773828e+13,2.692819677536745117e+12,8.557728561386532784e+09
3.210000000000000000e+02,2.500808466824750781e+13,2.656173187142635254e+12,8.439386497134040833e+09
3.310000000000000000e+02,2.481445830358635156e+13,2.639291146744577637e+12,8.384874065075790405e+09
3.350000000000000000e+02,2.480151289896048438e+13,2.638161099764976562e+12,8.381225224642943382e+09
3.410000000000000000e+02,2.485133772286007812e+13,2.642509538389934570e+12,8.395266091096953392e+09
3.510000000000000000e+02,2.511828563175951953e+13,2.665764665999740234e+12,8.470358845763466835e+09
3.610000000000000000e+02,2.561209273661486719e+13,2.708591342530392578e+12,8.608663912955259323e+09
