z0,N_up_mean,z,p_global_GV,p_global_direct_asymptoticZ,N_eff_GV,N_eff_direct
0.5,0.40604,2.0,0.08501838268589396,0.04306,3.8609331399789997,1.9126041297187755
0.5,0.40604,2.5,0.026425206565863613,0.016486666666666667,4.299328645918477,2.6688097935098543
0.5,0.40604,3.0,0.006461187307747994,0.0053,4.7987143248813835,3.9340062351104566
0.5,0.40604,3.4,0.0017580583378440635,0.0012333333333333332,5.221597727826784,3.6621532397277736
1.0,0.24154666666666666,2.0,0.07664647836483192,0.04306,3.465146582779163,1.9126041297187755
1.0,0.24154666666666666,2.5,0.02370724717154279,0.016486666666666667,3.851771987691398,2.6688097935098543
1.0,0.24154666666666666,3.0,0.005773979553074205,0.0053,4.286845351469707,3.9340062351104566
1.0,0.24154666666666666,3.4,0.0015669889488840625,0.0012333333333333332,4.653658544270791,3.6621532397277736
1.5,0.10308666666666666,2.0,0.06572304801677104,0.04306,2.954096818860153,1.9126041297187755
1.5,0.10308666666666666,2.5,0.02016092855702775,0.016486666666666667,3.269682177645054,2.6688097935098543
1.5,0.10308666666666666,3.0,0.004877329787985372,0.0053,3.6195045232648355,3.9340062351104566
1.5,0.10308666666666666,3.4,0.0013176868687467724,0.0012333333333333332,3.912790526926092,3.6621532397277736
