cls,heavy,n_models,P_q0_gt0,wilks_gt0,P_q0_gt_2.71,wilks_gt_2.71,P_q0_gt_11.56,wilks_gt_11.56_3.4sigma
elastic,False,224,0.4453411607142857,0.5,0.042391875,0.05,0.00034610119047619046,0.00033692926567688086
elastic,True,140,0.277729380952381,0.5,0.031308809523809523,0.05,0.0002260952380952381,0.00033692926567688086
inelastic,True,92,0.18446297101449274,0.5,0.024404492753623188,0.05,0.00015949275362318841,0.00033692926567688086
