name,cls,op,tau,mass,delta,physical,frac_above_200keV,frac_in_ROI_of_true_rate,distinct_rep_1pct
O1s_m10,elastic,1,s,10,0.0,True,0.0,0.06722226318075905,True
O1s_m12,elastic,1,s,12,0.0,True,2.1372365092310068e-259,0.10496633047291334,True
O1s_m14,elastic,1,s,14,0.0,True,2.9862127899006348e-189,0.14699991637909357,True
O1s_m17,elastic,1,s,17,0.0,True,1.8898867640561037e-122,0.21124008955233148,True
O1s_m21,elastic,1,s,21,0.0,True,3.6831026538566935e-78,0.2885454650970007,True
O1s_m30,elastic,1,s,30,0.0,True,4.334816673118858e-34,0.4127296333348766,True
O1s_m40,elastic,1,s,40,0.0,True,2.1777942859978376e-19,0.49095434768501306,True
O1s_m50,elastic,1,s,50,0.0,True,5.310381639375831e-11,0.5358125173432848,True
O1s_m100,elastic,1,s,100,0.0,True,2.7467118918522195e-05,0.6102345893018625,True
O1s_m200,elastic,1,s,200,0.0,True,0.00018989240238169984,0.6364750247828149,True
O1s_m400,elastic,1,s,400,0.0,True,0.00036394166760777034,0.6464598990680531,True
O1s_m1000,elastic,1,s,1000,0.0,True,0.0004946867027595013,0.6514188243495214,False
O1s_m4000,elastic,1,s,4000,0.0,True,0.0005637666495691723,0.6535953475676273,True
O1v_m10,elastic,1,v,10,0.0,True,0.0,0.06560523492197803,False
O1v_m12,elastic,1,v,12,0.0,True,1.694143523378615e-259,0.10152715992652375,False
O1v_m14,elastic,1,v,14,0.0,True,2.2463903358180847e-189,0.14103676902161616,True
O1v_m17,elastic,1,v,17,0.0,True,1.206303782536227e-122,0.20059269695097723,True
O1v_m21,elastic,1,v,21,0.0,True,1.7758277148229484e-78,0.2709799832179904,True
O1v_m30,elastic,1,v,30,0.0,True,1.3027870076482503e-35,0.3809940856451596,True
O1v_m40,elastic,1,v,40,0.0,True,6.746690827367595e-18,0.44802121578521803,True
O1v_m50,elastic,1,v,50,0.0,True,1.2316766727861124e-10,0.4855945262592966,True
O1v_m100,elastic,1,v,100,0.0,True,3.947751782436276e-05,0.5471687021393138,False
O1v_m200,elastic,1,v,200,0.0,True,0.0005303899138694553,0.5693324011403925,True
O1v_m400,elastic,1,v,400,0.0,True,0.00123334946431686,0.5779065926019711,True
O1v_m1000,elastic,1,v,1000,0.0,True,0.0018305208290810275,0.5821564171741764,False
O1v_m4000,elastic,1,v,4000,0.0,True,0.002165397860783459,0.5840111846600221,False
O3s_m10,elastic,3,s,10,0.0,True,0.0,0.16189293190653553,True
O3s_m12,elastic,3,s,12,0.0,True,1.3751848000274798e-258,0.2811332127742355,True
O3s_m14,elastic,3,s,14,0.0,True,2.3887951791911322e-188,0.40188499676313016,True
O3s_m17,elastic,3,s,17,0.0,True,2.0769971052806805e-121,0.5543797160202156,True
O3s_m21,elastic,3,s,21,0.0,True,6.050502201209519e-77,0.6930723607397157,True
O3s_m30,elastic,3,s,30,0.0,True,2.104358943395109e-32,0.8377324302583634,True
O3s_m40,elastic,3,s,40,0.0,True,3.1734208999901034e-16,0.8924301243556018,True
O3s_m50,elastic,3,s,50,0.0,True,2.4327139246414966e-10,0.9141964842923886,True
O3s_m100,elastic,3,s,100,0.0,True,0.002109085840103118,0.9381558102106973,True
O3s_m200,elastic,3,s,200,0.0,True,0.01624748889341227,0.9402324616468087,True
O3s_m400,elastic,3,s,400,0.0,True,0.031110795759658416,0.9366692601136796,True
O3s_m1000,elastic,3,s,1000,0.0,True,0.04187626328930594,0.9329708449368537,True
O3s_m4000,elastic,3,s,4000,0.0,True,0.04743358404125925,0.9308106969148978,True
O3v_m10,elastic,3,v,10,0.0,True,0.0,0.15510720499734773,False
O3v_m12,elastic,3,v,12,0.0,True,5.856809275886508e-259,0.2701705464939648,True
O3v_m14,elastic,3,v,14,0.0,True,1.1786805852805136e-188,0.38737912884370385,True
O3v_m17,elastic,3,v,17,0.0,True,8.605026855480072e-122,0.536978774564313,True
O3v_m21,elastic,3,v,21,0.0,True,2.757227436666916e-77,0.6743516249333014,True
O3v_m30,elastic,3,v,30,0.0,True,2.721441111743465e-32,0.8205816391647838,True
O3v_m40,elastic,3,v,40,0.0,True,1.4530181641501651e-15,0.878329005318301,True
O3v_m50,elastic,3,v,50,0.0,True,2.4977323962992724e-08,0.9030701360798474,True
O3v_m100,elastic,3,v,100,0.0,True,0.0075922339568923565,0.936465427312751,True
O3v_m200,elastic,3,v,200,0.0,True,0.03609915024987184,0.9406089866661517,True
O3v_m400,elastic,3,v,400,0.0,True,0.05670694492746903,0.9335613560592202,True
O3v_m1000,elastic,3,v,1000,0.0,True,0.06903743412317889,0.9258113771273285,True
O3v_m4000,elastic,3,v,4000,0.0,True,0.0748394697337304,0.9211655566737874,True
O4s_m10,elastic,4,s,10,0.0,True,0.0,0.06745769396249873,False
O4s_m12,elastic,4,s,12,0.0,True,3.1179640850461394e-259,0.10466821653410353,False
O4s_m14,elastic,4,s,14,0.0,True,3.987574954655492e-189,0.14583568820593426,False
O4s_m17,elastic,4,s,17,0.0,True,2.750980822555252e-122,0.2082895226663991,False
O4s_m21,elastic,4,s,21,0.0,True,5.595203098754991e-78,0.2831863095170155,False
O4s_m30,elastic,4,s,30,0.0,True,2.1399017230464202e-33,0.4048638502473002,False
O4s_m40,elastic,4,s,40,0.0,True,9.285259642610712e-17,0.4852480373448232,True
O4s_m50,elastic,4,s,50,0.0,True,1.873385355445217e-09,0.5349491165489496,True
O4s_m100,elastic,4,s,100,0.0,True,0.0012382948453403245,0.633728479700371,True
