component,expected,frac_above_100keV,frac_above_200keV,density_at_248_per_keV
accidentals,2.7,0.0017760823283363063,2.2390743056073804e-06,1.6863986850891067e-08
atm_nu,0.11,0.016043634511393543,0.0021988031259955036,1.5174764097032874e-06
B8_hep,0.057,5.521082277028534e-42,2.053884554040826e-85,2.1647307529951944e-107
MSSI,0.0049,0.7722936372628554,0.31812703789631624,2.226889355381229e-05
neutrons,0.05,0.09991382607546423,0.007076898245469312,3.30165257000559e-06
TOTAL,2.9219000000000004,0.005250060648592532,0.00073944393800269,2.7104886520372056e-05
