n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O4s_m4000,elastic,4,s,4000,0.0,3.238109588623047,0.9211497242358746,0.025366666666666666,1.953728505207628,1.799474835395813
0,O4v_m10,elastic,4,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m12,elastic,4,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m14,elastic,4,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m17,elastic,4,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m21,elastic,4,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m30,elastic,4,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m40,elastic,4,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m50,elastic,4,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m100,elastic,4,v,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O4v_m200,elastic,4,v,200,0.0,1.0851436853408813,0.7159170121449279,0.10864,1.2337931301266674,1.0417022705078125
0,O4v_m400,elastic,4,v,400,0.0,2.292776107788086,0.8663819652429083,0.04594666666666666,1.685493834629135,1.5141916275024414
0,O4v_m1000,elastic,4,v,1000,0.0,2.9083261489868164,0.9055529670586111,0.030886666666666666,1.8679192063762196,1.7053815126419067
0,O4v_m4000,elastic,4,v,4000,0.0,3.173096179962158,0.9183130603778409,0.026426666666666668,1.9361173230209419,1.7813186645507812
0,O5s_m10,elastic,5,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m12,elastic,5,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m14,elastic,5,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m17,elastic,5,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m21,elastic,5,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m30,elastic,5,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m40,elastic,5,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m50,elastic,5,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m100,elastic,5,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O5s_m200,elastic,5,s,200,0.0,2.497213125228882,0.8811315793573158,0.04234,1.724154253871069,1.5802572965621948
0,O5s_m400,elastic,5,s,400,0.0,3.862765073776245,0.9435818531055702,0.0181,2.0946737978604073,1.9653918743133545
0,O5s_m1000,elastic,5,s,1000,0.0,4.507782459259033,0.9597917449573288,0.0123,2.247626755795138,2.1231539249420166
0,O5s_m4000,elastic,5,s,4000,0.0,4.777946949005127,0.9650567592616426,0.01062,2.3036909183927703,2.185851573944092
0,O5v_m10,elastic,5,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m12,elastic,5,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m14,elastic,5,v,14,0.0,0.0,0.0,1.0,0.0,0.0
