variant,B_total,B_above_200,N_eff_at_3p4,N_eff_err_at_3p4,Z_global_at_3p4,N_eff_at_3p0,Z_global_at_3p0,data_maxZ_local,n_toys
nominal,2.9219000000000004,0.00216058124245006,12.549271600085705,0.8657568318495388,2.6339416133290015,8.338102747717164,2.2835158551371935,3.6727012566570614,100000
accidentals tau=10 keV,2.9219000000000004,0.0021545449087812213,13.204956756029985,0.8882334982748024,2.616639772184736,8.547763343250326,2.2740995792171446,3.6727012566570614,100000
accidentals tau=20 keV,2.9219000000000004,0.002307178667559856,11.11918848923612,0.8146408936870104,2.6746827328053877,8.502831073824371,2.2761004192786722,3.540083799206145,100000
"high-E bkg up: neutrons 0.118 tau=60, MSSI x2",2.9948,0.006651670695837665,8.73724708999868,0.7216979455952606,2.7543991969398465,11.744945331773659,2.150951854660907,3.056416314396825,100000
"high-E bkg down: neutrons 0.02, MSSI x0.5",2.88945,0.0011688630522400062,11.357487819582806,0.8233736477063642,2.667578671732723,7.859101383789545,2.3058323832897,3.7750119393563577,100000
atm-nu flux flat below 100 MeV,2.9219000000000004,0.002152690446232226,12.549271600085705,0.8657568318495388,2.6339416133290015,8.338102747717164,2.2835158551371935,3.6727012566570614,100000
