variant,v0,pecU,pecV,pecW,vsun_speed,vE_U,vE_V,vE_W,vE_speed,vE_speed_norot,apex_l,apex_b,wind_l,wind_b,vmax_544
"Baxter (v0=238, pec 11.1/12.2/7.3)",238.0,11.1,12.2,7.3,250.55246955478208,12.279226255347607,264.8615631576216,-17.762529358541975,265.74035163095175,265.81385531320325,87.34561547015099,-3.832603198654938,267.34561547015096,3.832603198654938,809.7403516309517
"Schoenrich pec (11.1/12.24/7.25), v0=238",238.0,11.1,12.24,7.25,250.59096172847097,12.279226255347607,264.90156315762164,-17.812529358541976,265.78356563740044,265.85711965697993,87.34601570773152,-3.8427819945676873,267.3460157077315,3.8427819945676873,809.7835656374004
v0=220,220.0,11.1,12.2,7.3,232.5797497633876,12.279226255347607,246.86156315762167,-17.762529358541975,247.8041932883048,247.8784811370261,87.15237782952859,-4.110469139436103,267.1523778295286,4.110469139436103,791.8041932883048
v0=230,230.0,11.1,12.2,7.3,242.5640946224317,12.279226255347607,256.8615631576216,-17.762529358541975,257.76762689371975,257.84146594059143,87.26306799200336,-3.9513306471657246,267.26306799200336,3.9513306471657246,801.7676268937198
v0=233 (SHM++),233.0,11.1,12.2,7.3,245.55964652198045,12.279226255347607,259.8615631576216,-17.762529358541975,260.7572028791643,260.83091381711534,87.2946175839894,-3.905958002999315,267.2946175839894,3.905958002999315,804.7572028791643
v0=250,250.0,11.1,12.2,7.3,262.5363593866571,12.279226255347607,276.8615631576216,-17.762529358541975,277.7023802575786,277.7754162152971,87.46051033649856,-3.667282912600614,267.46051033649854,3.667282912600614,821.7023802575786
