isot,doy,vE,r_AU,angle_pos_downstream_deg,density_ratio,edge_unfoc,edge_foc,eta_ratio_600,eta_ratio_700,eta_ratio_750,eta_ratio_790,eta_unfoc_600,eta_foc_600,eta_unfoc_700,eta_foc_700,eta_unfoc_750,eta_foc_750,eta_unfoc_790,eta_foc_790
2023-10-05T18:30:00.000,278.77083333333337,244.66587260958352,1.0000457999317995,115.06210781978577,1.0063028334820916,788.6658726092719,789.78405863636,1.023060535827845,1.0368678563534381,1.0653246180370863,,5.953916017029577e-05,6.091216510656268e-05,6.901435828845109e-06,7.155876973615442e-06,9.59444053802143e-07,1.0221193701447218e-06,0.0,0.0
2023-10-15T22:00:00.000,288.9166666666667,242.52511952105922,0.997173613270939,111.96044820676167,1.0065786372951953,786.5251195209567,787.6471315808885,1.0235716376428738,1.0383960420802405,1.074433897428636,,5.790670501668216e-05,5.927166088442818e-05,6.528385628832764e-06,6.779049798153464e-06,8.48357286727072e-07,9.115038259901509e-07,0.0,0.0
2023-10-26T01:30:00.000,299.0625,240.6662759588696,0.994290944963789,108.21173208897875,1.0070211601939203,784.6662759588071,785.7917851168168,1.0229722306609492,1.0348913359852054,1.0743878735379762,,5.6563083969005726e-05,5.786246418083636e-05,6.248271897450764e-06,6.4662824515516355e-06,7.662494885856998e-07,8.232491586411518e-07,0.0,0.0
2023-11-05T05:00:00.000,309.20833333333337,239.15243853011512,0.9916538090674598,103.94783566838146,1.0075403907159397,783.1524385299417,784.2807717071992,1.0237793063214051,1.0388378599605945,1.0752159744474303,,5.5427974409704044e-05,5.67460131919674e-05,5.9879378457689355e-06,6.220496537275653e-06,6.97755190134454e-07,7.502375266861689e-07,0.0,0.0
2023-11-15T08:30:00.000,319.3541666666667,238.03058727813757,0.9892758784291142,99.29763559827059,1.0081899873121956,782.0305872781319,783.1609420652967,1.0235141233901224,1.0385328901911033,1.077435273203145,,5.464181362150754e-05,5.5926667969263736e-05,5.821314109510292e-06,6.045626166859973e-06,6.503908312278527e-07,7.00754022932802e-07,0.0,0.0
2023-11-25T12:00:00.000,329.5,237.37589014772422,0.9871430263135409,94.3936246741316,1.0091036832401652,781.3758901476831,782.5075316181028,1.023470876690901,1.0374644163368945,1.083234732904668,,5.417493169452873e-05,5.5446464836069e-05,5.725461551041813e-06,5.939962626310925e-06,6.236608481006082e-07,6.755710922153611e-07,0.0,0.0
2023-12-05T15:30:00.000,339.64583333333337,237.19436601807564,0.9854936894049006,89.3641120514854,1.0100093814146276,781.1943660177349,782.3263652426249,1.023294870346988,1.0367586194309073,1.08256881684015,,5.405248906973526e-05,5.531163479454673e-05,5.699212410617466e-06,5.908707590675257e-06,6.143001427103768e-07,6.650221786787078e-07,0.0,0.0
2023-12-15T19:00:00.000,349.7916666666667,237.50724621207374,0.9842877665218585,84.33306800285554,1.0110941031713148,781.5072462119133,782.6387854922359,1.023404845762623,1.037574351589337,1.0822697459422692,,5.427656358548784e-05,5.5546898184731384e-05,5.748221208278832e-06,5.964206892971985e-06,6.293139268207861e-07,6.810874236982639e-07,0.0,0.0
2023-12-25T22:30:00.000,359.9375,238.3174407367118,0.9834989619744499,79.43526451923945,1.0125922576836917,782.3174407363695,783.4481203055475,1.023757192638805,1.040188462660839,1.085217673453992,,5.483403985813142e-05,5.613674270620496e-05,5.8555819294081076e-06,6.090908765135609e-06,6.586651372862453e-07,7.147950478710333e-07,0.0,0.0
2024-01-05T02:00:00.000,370.08333333333337,239.56973429801232,0.9833180145562799,74.80771662704863,1.0139520880350255,783.5697342979984,784.6993261227908,1.0232696384884197,1.0350064667508183,1.079455971446637,,5.57510836260259e-05,5.704839118734117e-05,6.072058218959701e-06,6.284619523110747e-06,7.152171189395563e-07,7.720453899201636e-07,0.0,0.0
2024-01-15T05:30:00.000,380.2291666666667,241.2414390005707,0.9836373365733113,70.59188981766432,1.0153068187916783,785.2414390003105,786.3700028363382,1.023212821462879,1.0369657083875015,1.0714468245902735,,5.698265063754084e-05,5.8305378733271685e-05,6.334702700452142e-06,6.568869473198574e-06,7.919487636617905e-07,8.485309880636185e-07,0.0,0.0
2024-01-25T09:00:00.000,390.375,243.2561613393705,0.9844068791746231,66.94250656352953,1.0169166359358712,787.2561613392463,788.3842902931065,1.022874891121965,1.0326684624866787,1.068900766566581,,5.84849743595422e-05,5.982281178028764e-05,6.6767407772908575e-06,6.894859632907062e-06,8.885162290516675e-07,9.497356783401752e-07,0.0,0.0
2024-02-04T12:30:00.000,400.52083333333337,245.52871016982866,0.985755273107305,64.00879311710761,1.0180029553628689,789.528710169543,790.6569891987601,1.023442372916371,1.037803642855755,1.0651841590824327,inf,6.0197146891035244e-05,6.160831085695647e-05,7.0380746757080816e-06,7.304139537140684e-06,1.00489860034042e-06,1.0704020705667237e-06,0.0,6.812548649085268e-10
2024-02-14T16:00:00.000,410.6666666666667,248.00226674437934,0.9875073665487353,61.925268231888865,1.019086565550509,792.0022667440207,793.1313045563002,1.0236058147161493,1.036013671716588,1.064901907949442,2.4765740571092443,6.211865165483127e-05,6.358501303621224e-05,7.489232992265516e-06,7.758947770658005e-06,1.1367883090240726e-06,1.2105680392143547e-06,2.232978599594572e-09,5.530136869836048e-09
2024-02-24T19:30:00.000,420.8125,250.55920834918157,0.989596283015911,60.79913599679211,1.0194487195591087,794.5592083491647,795.6893682308873,1.0239433454539988,1.0338861676909432,1.0586601370376707,1.5157035250395998,6.417393598152549e-05,6.571047469987395e-05,7.975313972284324e-06,8.245566798937073e-06,1.292185974339122e-06,1.367985780672011e-06,1.1084835003328558e-08,1.680132348902744e-08
2024-03-05T23:00:00.000,430.95833333333337,253.12798703633754,0.9920942144282916,60.68347442163404,1.0195408199373464,797.1279870362196,798.2587817761669,1.0232229190860167,1.0327087250867089,1.0577454044119272,1.2998074221749316,6.626279040265028e-05,6.780160582258471e-05,8.466796073125146e-06,8.743734178246222e-06,1.4499132806068616e-06,1.533639109357729e-06,2.7138806066181646e-08,3.527522155378896e-08
2024-03-16T02:30:00.000,441.1041666666667,255.64021050257514,0.9947746877085794,61.57038715319329,1.0190385315006387,799.6402105025481,800.7706569664151,1.0231418176638307,1.0315041735150696,1.0564586076191786,1.2823116717543315,6.835092714668307e-05,6.993269183986539e-05,8.96216584150546e-06,9.244511469247079e-06,1.6161116318893594e-06,1.7073550443829912e-06,4.696848925273096e-08,6.02282419734448e-08
2023-06-16T21:22:39.000,167.89072916666666,265.81385531320325,1.0158860902957274,96.60811516533266,1.0084019378471394,809.8138553130411,810.9105393370555,1.0216110246339063,1.0308469117505865,1.048572856306318,1.118165050780634,7.730936416879484e-05,7.89800987422783e-05,1.1175912174476045e-05,1.1520654551054413e-05,2.40666394131994e-06,2.52356248311927e-06,2.0920032687468813e-07,2.339204941231609e-07
