isot,doy,vE,r_AU,angle_pos_downstream_deg,density_ratio,edge_unfoc,edge_foc,eta_ratio_600,eta_ratio_700,eta_ratio_750,eta_ratio_790,eta_unfoc_600,eta_foc_600,eta_unfoc_700,eta_foc_700,eta_unfoc_750,eta_foc_750,eta_unfoc_790,eta_foc_790
2023-03-27T00:00:00.000,86.0,257.99885191455166,0.9975822841790521,63.39402040622294,1.018189887846164,801.9988519143226,803.1276769612305,1.0231081505118182,1.0350347273464473,1.054186234836896,1.2173762657552427,7.033166659285032e-05,7.195690133022492e-05,9.422978256151436e-06,9.753109730147203e-06,1.7853660575355394e-06,1.8821083219989832e-06,7.45384527341729e-08,9.074134324470107e-08
2023-04-06T03:30:00.000,96.14583333333333,260.13575130497026,1.000443746525855,66.03948843743458,1.016863499493671,804.1357513047842,805.2616211341956,1.0225992489824938,1.0325240956856052,1.0519577673180562,1.1817584517097512,7.221035322307453e-05,7.384225297467661e-05,9.898112835624139e-06,1.0220040004596897e-05,1.944595130566319e-06,2.045631951888109e-06,1.0398858268292494e-07,1.2288938646686482e-07
2023-04-16T07:00:00.000,106.29166666666667,262.0187963592876,1.0033782355731808,69.37051643547576,1.0156713498581513,806.0187963590579,807.1405289891118,1.0219831632992187,1.0301863716500357,1.048835850547239,1.1607259621615431,7.38870405475834e-05,7.551131142563692e-05,1.0320576381756897e-05,1.0632117136059191e-05,2.0906703134241487e-06,2.19276997639408e-06,1.33097558747911e-07,1.544897919390215e-07
2023-04-26T10:30:00.000,116.4375,263.5907966665345,1.0061439838719082,73.24450275599034,1.0141975605276097,807.590796666409,808.7077735242929,1.0223841380769003,1.0329099467494154,1.0509342835023356,1.1382789909326951,7.526405176744446e-05,7.694877269443392e-05,1.065161180226736e-05,1.1002155779475424e-05,2.2177420730115637e-06,2.330701176493392e-06,1.6427735051526357e-07,1.8699345677761087e-07
2023-05-06T14:00:00.000,126.58333333333334,264.79944599744215,1.0086899540703478,77.52033800009728,1.0126963611492459,808.7994459972833,809.9116678615246,1.0216076650174948,1.029384870423106,1.0437048691418132,1.121559545246444,7.639216774669571e-05,7.804282411732658e-05,1.0948574311276081e-05,1.1270296748730674e-05,2.3265980903516067e-06,2.4282817554360162e-06,1.8801599372040066e-07,2.1087113241611082e-07
2023-05-16T17:30:00.000,136.72916666666669,265.65595660164655,1.0110639433539528,82.07282828152282,1.0113846408873806,809.6559566016367,810.7634484611481,1.021754237759266,1.030652461395085,1.0472010137252743,1.1284006673587805,7.716997057690343e-05,7.884874446470896e-05,1.1142064774694456e-05,1.1483596485062313e-05,2.396021864371025e-06,2.5091165252772592e-06,2.0421846407223672e-07,2.3044025114609704e-07
2023-05-26T21:00:00.000,146.875,266.11266373655604,1.0130310578503794,86.78767516518514,1.010228435564365,810.1126637364359,811.2159042884741,1.021709163973462,1.0311795851128123,1.0482269014715246,1.1273068403720126,7.758381789698261e-05,7.926809772139542e-05,1.1241017429657647e-05,1.1591507689360263e-05,2.430975972586846e-06,2.5482144112964356e-06,2.1177523827688278e-07,2.387356747309428e-07
2023-06-06T00:30:00.000,157.02083333333334,266.1683810736483,1.014597978354344,91.55465992944123,1.009241894403024,810.1683810735267,811.268085170741,1.0216861099611876,1.031231471550872,1.0469026674582294,1.1094776781311522,7.763920627487655e-05,7.932289863945285e-05,1.1259047255025529e-05,1.161068386906078e-05,2.4381392885753905e-06,2.5524945248442858e-06,2.1580118726265775e-07,2.3942660018211946e-07
2023-06-16T04:00:00.000,167.16666666666669,265.8518410850702,1.0158187267843317,96.27552848298018,1.0084140085721482,809.8518410850374,810.9486946057586,1.0216091214285499,1.0310490283333684,1.0492617859495479,1.1199430101978487,7.734547331036682e-05,7.90168410350792e-05,1.118204114575293e-05,1.1529232658112305e-05,2.408172757043436e-06,2.5268036479304423e-06,2.093455611367774e-07,2.3445509791108026e-07
2023-06-26T07:30:00.000,177.3125,265.1335077889146,1.0164887767154058,100.85039827130265,1.0077398932152226,809.133507788647,810.2284792737919,1.021223334259019,1.0289347515332912,1.044279747077347,1.1291168353177932,7.66958135288867e-05,7.832355441567764e-05,1.1025734494654642e-05,1.1344761382729511e-05,2.351087936140434e-06,2.455193515309334e-06,1.9207798850421327e-07,2.1687849051408473e-07
2023-07-06T11:00:00.000,187.45833333333334,264.0569877777034,1.0166803103236834,105.17184878090872,1.0072165350208946,808.0569877776725,809.1510447578912,1.021504085742644,1.0308972540035841,1.0481232647887533,1.1383547687332976,7.570447816903783e-05,7.733243375868694e-05,1.076645061426164e-05,1.1099104373607527e-05,2.2569271712738054e-06,2.3655378751459466e-06,1.6927905027244692e-07,1.9269961412428356e-07
2023-07-16T14:30:00.000,197.60416666666669,262.65328694325825,1.0164556277010528,109.13321210779822,1.0067965920442357,806.6532869430375,807.7472595799918,1.0214597808913037,1.0302904953736278,1.0467356166537387,1.1298048424717515,7.444684265866906e-05,7.604445559017346e-05,1.0457701934505768e-05,1.0774470906571694e-05,2.1460099014587587e-06,2.246304997548463e-06,1.4745383253329395e-07,1.665940540371342e-07
2023-07-26T18:00:00.000,207.75,260.92463085849687,1.015656076974837,112.61642101869379,1.0064480984260349,804.9246308582951,806.0195227324584,1.02197275369773,1.0331239541813535,1.0521607100371384,1.1581970735438412,7.28802149687136e-05,7.448159398165876e-05,1.0052202954947485e-05,1.0385171665048832e-05,2.0012651788870768e-06,2.1056525915904274e-06,1.1544715668013633e-07,1.337105590158912e-07
2023-08-05T21:30:00.000,217.89583333333334,258.9478550113057,1.0144192082265036,115.49563872629487,1.006114770548036,802.947855011007,804.0445144044497,1.0215853125693362,1.0298889465572825,1.0526513301096474,1.2062118809817592,7.117047285554039e-05,7.270670975783469e-05,9.648035102762224e-06,9.93640470833147e-06,1.8515151450042298e-06,1.948999880106859e-06,8.583413041688439e-08,1.0353414790258375e-07
2023-08-16T01:00:00.000,228.04166666666669,256.7521180365731,1.012811962866925,117.65219643319566,1.0059329027277844,800.7521180363256,801.8512132788601,1.0217955702802795,1.0315134402955306,1.0538985143898176,1.2195789184192776,6.929135662319504e-05,7.08016012562918e-05,9.186832912659595e-06,9.47634162315771e-06,1.6917231596755326e-06,1.7829045247408919e-06,6.013848587479386e-08,7.33436295585541e-08
2023-08-26T04:30:00.000,238.1875,254.38213525095958,1.0107280956902998,118.97723124875898,1.0058978733979498,798.3821352507221,799.484413862956,1.02222950220127,1.034550116666926,1.055415018764484,1.3096118816536861,6.728772940279391e-05,6.878350213167177e-05,8.695879545445172e-06,8.99632319826184e-06,1.5301513722168809e-06,1.6149447392207802e-06,3.577522000410793e-08,4.6851653186154376e-08
2023-09-05T08:00:00.000,248.33333333333334,251.9331031759426,1.008364360889981,119.39068766288162,1.005846874185773,795.9331031757756,797.039042335382,1.0227110164615343,1.0362749204014947,1.060206932361453,1.4577043159633665,6.524783733438502e-05,6.672968204216575e-05,8.206471498969131e-06,8.504160599371372e-06,1.3719801680890086e-06,1.4545828852703984e-06,1.8220949387807555e-08,2.6560756563557133e-08
2023-09-15T11:30:00.000,258.4791666666667,249.43925207375378,1.0057850433678934,118.85802143756656,1.0059218724567236,793.4392520735855,794.5491241924174,1.0223179899075643,1.0330242273659493,1.0640679119763923,1.6672348937058545,6.327217813609955e-05,6.468428596917063e-05,7.76234411381965e-06,8.018689530727168e-06,1.2209657088617456e-06,1.2991904324232933e-06,6.648857192418404e-09,1.1085206714467104e-08
2023-09-25T15:00:00.000,268.625,246.98581066846094,1.002932258162894,117.39401902700033,1.0059966079206513,790.9858106682805,792.099880897149,1.0222700681230517,1.0317014717749855,1.065740188178865,2.619729183544349,6.134634137612696e-05,6.271252857767328e-05,7.320801751166988e-06,7.552881941251873e-06,1.0804087932195711e-06,1.1514350705959263e-06,9.206580627075137e-10,2.411874794940277e-09
