m_GeV,v_esc,v_max,delta_max_248,delta_max_248_norot,delta_max_248_annualmean,delta_max_248_sunframe,delta_max_248_vEmax,Emax_elastic,Emax_d300,Emax_d350,Emax_d366,Emin_d366
400.0,500.0,765.7403516309517,305.43644391832595,305.49685220439625,294.23304150727216,292.9544308115638,305.80698355166436,936.3146579597982,302.3636222018109,,,
400.0,528.0,793.7403516309517,328.44797147934855,328.50837976541885,317.24456906829477,315.9659583725864,328.8185111126871,1006.040985571492,421.3835721951271,,,
400.0,544.0,809.7403516309517,341.59741579993295,341.65782408600325,330.39401338887916,329.1154026931708,341.9679554332714,1047.0087698568307,476.9380827825035,,,
400.0,560.0,825.7403516309517,354.7468601205173,354.8072684065875,343.54345770946355,342.2648470137552,355.1173997538558,1088.7941312383355,529.7542906913075,344.0028661265717,,
400.0,580.0,845.7403516309517,371.18366552124775,371.244073807318,359.9802631101939,358.7016524144857,371.55420515458627,1142.1755507566995,593.8933719260925,444.64085891924384,368.57975531567376,213.09158225876635
400.0,600.0,865.7403516309517,387.6204709219782,387.6808792080485,376.4170685109244,375.13845781521616,387.99101055531673,1196.8344344878226,657.098862425604,523.680019750255,468.78979119329244,167.5404301122709
1000.0,500.0,765.7403516309517,350.96433198467656,351.02474027074686,339.7609295736228,338.4823188779144,351.334871618015,1267.6551461070699,617.3566505591037,402.2265838604738,,
1000.0,528.0,793.7403516309517,373.97585954569917,374.03626783176946,362.7724571346454,361.493846438937,374.3463991790377,1362.0560371587042,729.5546082829135,566.8331302386159,495.0986656810063,214.77578604854133
1000.0,544.0,809.7403516309517,387.12530386628356,387.18571215235386,375.9219014552298,374.6432907595214,387.495843499622,1417.521389679271,792.8361124500101,642.5027026256074,582.9223650292089,182.4174392209053
1000.0,560.0,825.7403516309517,400.2747481868679,400.33515647293814,389.07134577581417,387.7927350801058,400.6452878202064,1474.0936412582719,856.0637769848191,714.2846250391461,661.055311772166,160.85674405694917
1000.0,580.0,845.7403516309517,416.71155358759836,416.77196187366866,405.5081511765445,404.2295404808363,417.0820932209369,1546.3655325329462,935.4151477116117,801.3472892382304,752.9612719806616,141.22267512312789
1000.0,600.0,865.7403516309517,433.1483589883288,433.2087672743991,421.94495657727504,420.66634588156677,433.51889862166735,1620.3669535864244,1015.4352282218723,887.0759392395488,841.8782646785711,126.30710347869692
4000.0,500.0,765.7403516309517,373.7282760178519,373.7886843039222,362.5248736067981,361.24626291108973,374.0988156511903,1503.518330949906,817.7054812058245,645.6738735502447,573.235568285882,220.0146231172369
4000.0,528.0,793.7403516309517,396.7398035788745,396.8002118649448,385.5364011678207,384.25779047211233,397.110343212213,1615.4836951816612,943.485658266356,790.3344960631732,733.2028473162171,172.01270831865725
4000.0,544.0,809.7403516309517,409.8892478994589,409.9496561855292,398.6858454884051,397.4072347926967,410.25978753279736,1681.269074196899,1015.6525325568083,869.3896436126288,816.5450206091035,154.4559140410088
4000.0,560.0,825.7403516309517,423.03869222004323,423.0991005061135,411.8352898089895,410.5566791132811,423.40923185338175,1748.3673047632697,1088.3214861037443,947.4130858420549,897.5892260961805,140.50993912030225
4000.0,580.0,845.7403516309517,439.4754976207737,439.53590590684394,428.27209520971985,426.99348451401164,439.8460372541122,1834.0862904650112,1180.095414115546,1044.441306980786,997.3647007178758,126.45345020034863
4000.0,600.0,865.7403516309517,455.91230302150416,455.97271130757446,444.70890061045037,443.4302899147421,456.2828426548427,1921.856606715397,1273.1118861547145,1141.6107194082588,1096.5756981183504,115.01276905026
