delta,annual_WimPyDD_24d,annual_num_focused,annual_num_unfocused,june16_WimPyDD,june16_num_focused,june16_num_focused_earth,june16_num_unfocused,march_num_focused,march_num_unfocused,sun_frame_WimPyDD
300.0,796.7345608537854,820.6861292998515,787.1740414093898,1160.752465122042,1186.7758815665993,1190.2029741789286,1143.0386666625839,820.8430499492025,787.5654408340318,733.085559801999
350.0,11.388202794249738,12.278115216374086,11.012984556360019,27.919190389707534,29.5770547398219,29.768668568174313,26.79765406986854,9.195060674765461,8.138428191964579,6.288058044594151
352.5,8.06766294139146,8.732570249285471,7.78525771288891,20.44124487715708,21.74278307626575,21.895584643328547,19.566759469489366,6.206926674327565,5.45377141071357,4.137531709728256
355.0,5.676283215346099,6.171137086172051,5.467706212573986,14.826146917382303,15.845809599494697,15.96675373297099,14.157816747806704,4.151835547504829,3.6225088108874544,2.7005449760599816
357.5,3.9309714560601177,4.289881210269397,3.7770568526081316,10.55359244699291,11.328795375300032,11.423171243303456,10.044856944253228,2.727557357076541,2.3657843200686703,1.7405896373548702
360.0,2.682932794559343,2.9406923768683018,2.5727766272141572,7.382272108635382,7.964427591175132,8.03663063699281,7.005383952538702,1.7680862239062172,1.5276223083957619,1.114821675276799
362.5,1.7933842173610703,1.973588624507307,1.7159952011562178,5.032454507858804,5.457729879453551,5.511580820773127,4.759661544386978,1.134830855783794,0.9798036429594177,0.7160896364642422
365.0,1.1846781991992128,1.3079015035173882,1.13199402566335,3.3600259470151705,3.6598624831883613,3.698593406436039,3.169050962454397,0.7415614019268711,0.6420070102696371,0.47317437947631164
366.0,1.0086293033577436,1.1148742505466618,0.9630603592474724,2.8761152642861187,3.1371048500025447,3.171080945473778,2.709322685337263,0.6284670853241769,0.5443166678393585,0.4015300912608103
367.5,0.7850304999535759,0.8692900016349837,0.7494535128403534,2.247312574181322,2.4570876484390474,2.484481314774149,2.1157731970083677,0.49225008969913864,0.4269884198344228,0.316037763820272
370.0,0.5164040833517921,0.5726826210001539,0.4928075270622439,1.4841675398684464,1.6258481497500217,1.6443731953521399,1.3966129453077356,0.3306466658626785,0.2865174768190008,0.21053393580279336
372.5,0.3418279883192192,0.3793497735773419,0.32629584606725826,0.9870133010788399,1.0814504530313773,1.0937513055693424,0.9298386180740952,0.22167411209663695,0.1906196672980202,0.13616897445407178
375.0,0.22960530761566977,0.25481822169566815,0.21916435530358527,0.6700976779265604,0.7329912527913355,0.7411199136320161,0.6323593290079571,0.14637771768370683,0.12424546620302152,0.08492124049684739
377.5,0.15397410299155445,0.17097874446706485,0.14687241590557598,0.459234274817167,0.5012427844042129,0.5065743833791851,0.43395812977851494,0.09153118785990964,0.07592172608152863,0.04863862219013881
380.0,0.10266405347473222,0.11439101250306327,0.09773146176196007,0.3174420699396552,0.3464699644815962,0.3501442463084183,0.29977237670169643,0.05327047222625239,0.04288475332280604,0.025019043836857983
382.5,0.06739289760233666,0.07558068363703258,0.06386257329324035,0.21835889048231263,0.23927205423652662,0.2419789276376181,0.20535555759790872,0.02857791498269102,0.022138884073518023,0.011195349245070612
385.0,0.042496263028171374,0.04819809719022716,0.03999194131257034,0.1457765321704687,0.16131789322120701,0.16332972033537618,0.13605797617468413,0.01324962436531785,0.009659673767724862,0.003729501623129016
387.5,0.02536931465410544,0.02923851655141114,0.023657303207334845,0.09257822243726453,0.104010219324443,0.10550380093124252,0.08541029024088881,0.004855175969356754,0.0031808740935100736,0.0007330139128447887
390.0,0.014188506361631624,0.0167003683664721,0.013084249124773246,0.05524877108873286,0.06326539833174324,0.0643935661667147,0.05024070992325088,0.0012256100361371792,0.0006655260502657715,4.3714108511530994e-05
392.5,0.007141374797697804,0.008649353328151258,0.006484750729784446,0.02991806207849252,0.035147817930097025,0.03592692940894678,0.0267298501442303,0.00015074720541892624,5.489191850446658e-05,1.388621284933018e-07
