delta_keV,Z_P021,Z_600_here,S_tot_P021,S_acc_600_here,kappa_P021,kappa_600_here
250.0,2.4880760698292357,2.4403318932544025,104109.82648620348,103610.98076686866,1.077725794164734e-05,9.651486672537769e-06
300.0,2.674021695590583,2.6698134335283994,13469.27487079685,13410.723981417572,7.424304645888034e-05,7.45671897643736e-05
310.0,2.72958524830328,2.728232466140287,7889.039900557867,7856.284908340559,0.0001267581369349,0.00012728662614289337
320.0,2.8012985245581183,2.802304192107549,4212.021238431644,4195.88911255277,0.0002374157069474,0.00023832850992375302
330.0,2.8897186783599556,2.8919833127938777,1993.2997564877735,1986.8198317599263,0.0005016806913988,0.0005033169007147465
340.0,2.99727226855284,2.999563846325739,801.0387525803064,799.5451778372167,0.0012483790537958,0.0012507110638888686
350.0,3.1213293475899477,3.1227475571324104,258.70163627786974,259.03614097878096,0.0038654568033961,0.0038604651699235873
355.0,3.1902611593535912,3.190596443785995,131.34505093363293,132.01791288275348,0.0076135339161373,0.0075747296572406106
360.0,3.26156854308436,3.2602708932257634,60.94959356866762,61.62290388128272,0.0164070003005577,0.016227732499047957
365.0,3.3404037256998405,3.334057862649104,24.875409868818416,25.6037607741642,0.040200342638515,0.039056762356921515
370.0,3.4218606768763364,3.405670002322494,8.63153737048974,9.206140460121253,0.1158542165870576,0.10862315259383183
375.0,3.498587091919899,3.4633289828405043,2.4219368161930803,2.771556729740757,0.4128926870899337,0.3608080575329003
380.0,3.585577826369484,3.474807207674015,0.4557701610395266,0.6940174915971543,2.1940883486518437,1.4408858740702384
385.0,3.4734718075432687,3.413287674500829,0.07988511445241,0.1668664137622493,12.517976682573696,5.992817712405545
390.0,3.162829729474149,3.262671001938669,0.0232004898383615,0.043087528264764086,43.10253822083189,23.20857195277491
