delta_keV,edge,extra_signal_per_ROI_event,NR_band_bkg,P_zero_extra_if_signal,extra_signal_6p8tyr,bkg_6p8tyr
300.0,800,0.0785823388864646,0.0008846730692921874,0.9244259405952379,0.18702596654978573,0.002105521904915406
300.0,1000,0.15548044826556806,0.0027006723911236303,0.8560038131245448,0.370043466872052,0.00642760029087424
300.0,1200,0.16954134258484954,0.006922605780254671,0.8440518584734455,0.4035083953519419,0.016475801757006116
330.0,800,0.186561437350929,0.0008846730692921874,0.8298075792057923,0.44401622089521103,0.002105521904915406
330.0,1000,0.3685310990061512,0.0027006723911236303,0.6917496965355331,0.8771040156346399,0.00642760029087424
330.0,1200,0.3994798731135434,0.006922605780254671,0.6706687882013396,0.9507620980102333,0.016475801757006116
350.0,800,0.541793449690049,0.0008846730692921874,0.5817040593351178,1.2894684102623164,0.002105521904915406
350.0,1000,1.062059762362216,0.0027006723911236303,0.34574292812777374,2.5277022344220743,0.00642760029087424
350.0,1200,1.1416289381351463,0.006922605780254671,0.3192984804952286,2.7170768727616483,0.016475801757006116
360.0,800,1.1957211137681654,0.0008846730692921874,0.30248574887798424,2.8458162507682334,0.002105521904915406
360.0,1000,2.330968907949781,0.0027006723911236303,0.09720152212172942,5.547706000920479,0.00642760029087424
360.0,1200,2.4904992321907216,0.006922605780254671,0.08286858558114832,5.9273881726139175,0.016475801757006116
370.0,800,3.521486870405333,0.0008846730692921874,0.029555457346488977,8.381138751564693,0.002105521904915406
370.0,1000,6.8391191796009725,0.0027006723911236303,0.0010710463837819424,16.277103647450314,0.00642760029087424
370.0,1200,7.255106230878662,0.006922605780254671,0.0007065573171098607,17.267152829491213,0.016475801757006116
380.0,800,15.802615091314184,0.0008846730692921874,1.3709179605313707e-07,37.61022391732776,0.002105521904915406
380.0,1000,30.594317209073925,0.0027006723911236303,5.164839837233614e-14,72.81447495759593,0.00642760029087424
380.0,1200,32.126887196746694,0.006922605780254671,1.1155015285478249e-14,76.46199152825713,0.016475801757006116
