halo,delta_keV,S_full_unit,E_median_true,E_peak_true,frac_true_gt_270,frac_true_gt_300,frac_true_gt_400,S_acc_600,A_600,kappa_hat_600,ftil_600,q0_600,Z_600,pct_obs_600,ftil_600_E262,q0_600_E262,Z_600_E262,P_obs_245_295_600,P_obs_gt_270_600,S_acc_700,A_700,kappa_hat_700,ftil_700,q0_700,Z_700,pct_obs_700,ftil_700_E262,q0_700_E262,Z_700_E262,P_obs_245_295_700,P_obs_gt_270_700,S_acc_800,A_800,kappa_hat_800,ftil_800,q0_800,Z_800,pct_obs_800,ftil_800_E262,q0_800_E262,Z_800_E262,P_obs_245_295_800,P_obs_gt_270_800,S_acc_1000,A_1000,kappa_hat_1000,ftil_1000,q0_1000,Z_1000,pct_obs_1000,ftil_1000_E262,q0_1000_E262,Z_1000_E262,P_obs_245_295_1000,P_obs_gt_270_1000,S_acc_1200,A_1200,kappa_hat_1200,ftil_1200,q0_1200,Z_1200,pct_obs_1200,ftil_1200_E262,q0_1200_E262,Z_1200_E262,P_obs_245_295_1200,P_obs_gt_270_1200,S_acc_none,A_none,kappa_hat_none,ftil_none,q0_none,Z_none,pct_obs_none,ftil_none_E262,q0_none_E262,Z_none_E262,P_obs_245_295_none,P_obs_gt_270_none,gain_1000_over_600,gain_800_over_600,extra_events_600_1000_per_ROI_event
annual,250.0,117021.0983246273,160.06205024028753,157.5,0.07327842917335162,0.06767296541924114,0.01408002798736475,103610.98076686866,0.8854042753849589,9.651486672537769e-06,0.0004265201522547687,5.955219749234616,2.4403318932544025,0.9952039344997695,0.00011453631582814013,3.4296898603375974,1.8519421860138068,0.006140123735946924,0.0007720753451690842,104815.62712448693,0.8956985417596982,9.540562103514628e-06,0.0004270089786078562,5.957466886971639,2.440792266247097,0.9838099072128781,0.00013827618631804755,3.7820005428777157,1.9447366255813963,0.010227177943709578,0.011720665254650322,107311.11967558665,0.9170236924105406,9.318698779987668e-06,0.0004170912426951471,5.911373700184721,2.4313316721880462,0.9609317008791289,0.0001354875852002993,3.743678576789227,1.9348588002201161,0.010649992004235427,0.03469216072249207,110891.02168258265,0.947615628892499,9.017862626087313e-06,0.00040362625950843246,5.847044961953308,2.4180663683929993,0.9299098807868514,0.00013111370262654153,3.6820581938279386,1.918868988187557,0.010308984736449573,0.06585525285635115,111570.5791894552,0.9534227655251375,8.96293635172338e-06,0.0004011678403031859,5.835073312955757,2.415589640844603,0.9242459571539859,0.00013031511126382732,3.670600465001948,1.9158811197467205,0.010246194455923294,0.07154497034315441,111755.14890001906,0.955,8.9481335745402e-06,0.00040050784629646756,5.831847137340124,2.414921766298056,0.9227220853176633,0.0001301055569096227,3.667583044562848,1.9150934819383747,0.010231157027464886,0.07307566166107397,1.0702632178735432,1.0357118413640303,0.07026321787354317
annual,275.0,46233.89679470971,169.58160880717503,160.5,0.10414625308542357,0.09625146833680813,0.019740787970568444,39580.45371051125,0.8560916655210473,2.526499588190505e-05,0.0005781034333333702,6.5533943036470195,2.559959824615812,0.993395962541354,0.0001576193546643449,4.029406781340481,2.007338232919525,0.008412130867036967,0.001106050249721152,40252.71439762095,0.8706320943777087,2.4843045120432993e-05,0.0005759796850352189,6.546137351266207,2.558542036251546,0.9768658436884904,0.0001909322220646752,4.394850563719054,2.096389888288687,0.014290980953142367,0.01702296591746596,41657.60611889823,0.901018711528224,2.4005220010622355e-05,0.0005565724784302931,6.478573291538713,2.5453041648374195,0.9439213603012528,0.0001851059148567142,4.335554628493892,2.082199468949575,0.014760729144611878,0.05015826009926145,43681.759544591754,0.9447994344614711,2.2892850709897977e-05,0.0005307816659406435,6.3851017962737915,2.5268758964923053,0.9001813261333232,0.00017652846043673116,4.244937446858359,2.0603245974502076,0.014080743554395602,0.09417263218040699,44061.43534669641,0.9530115002492742,2.269558383950778e-05,0.0005262079394341699,6.368059875015247,2.5235015108010628,0.8924244960539117,0.00017500732104843748,4.228430709140518,2.0563148370666684,0.01395941029411661,0.10197811399776315,44153.37143894778,0.9550000000000002,2.2648327124526168e-05,0.0005251156805093695,6.363968501248799,2.5226907264365166,0.8905674650775972,0.0001746506783634904,4.224540830938946,2.055368782223508,0.013932979719296383,0.10384662776652301,1.1036194750084771,1.0524792470439863,0.10361947500847712
annual,300.0,16464.386709917544,178.0243248369148,169.5,0.14792529552846656,0.13677569811206586,0.02734203440416282,13410.723981417572,0.8145292149472803,7.45671897643736e-05,0.0007732186638585271,7.127903769848702,2.6698134335283994,0.9909597812862195,0.00021531101526576693,4.625522984930509,2.1507029048500654,0.011431027065670197,0.0016048895140970583,13749.629850609494,0.8351133930987675,7.272923059493648e-05,0.0007646897466974399,7.105955298502739,2.6656997765132404,0.9666175161329681,0.00026224060077800965,5.006344759252006,2.2374862590085343,0.019998143342774888,0.025106639287865825,14464.570038038166,0.8785368257491935,6.913444349678231e-05,0.0007269188624271905,7.005751251030611,2.6468379721907063,0.9188406041786438,0.0002501673403634248,4.915077155421192,2.2169973286905855,0.02039454186459411,0.07327042839913263,15495.82935761418,0.9411725824126848,6.453349329822288e-05,0.0006785418556587831,6.869611140212864,2.620994303735295,0.8576910577830177,0.00023351865835312993,4.781982251810333,2.1867743943558358,0.019043008974497583,0.13494498527841853,15684.396130261946,0.9526255916240257,6.375763476609532e-05,0.0006703840377380069,6.84571235175978,2.6164312243511736,0.8473794057849569,0.00023071116360529417,4.758640061271902,2.181430737216266,0.018814063039061458,0.14534517097470323,15723.489307971253,0.9549999999999998,6.359911470115195e-05,0.0006687217392469763,6.8408073380523655,2.615493708280019,0.8452727501407175,0.0002301480923879996,4.753925617033354,2.18034988408589,0.018770986882533272,0.14746968993248785,1.155480448265568,1.0785823388864646,0.15548044826556806
annual,310.0,9994.596683950229,183.10956011410937,172.5,0.17792119333566564,0.16453724307816436,0.03240644571368867,7856.284908340559,0.7860532202321414,0.00012728662614289337,0.0009066770509909407,7.443252389301914,2.728232466140287,0.9892516853438509,0.0002556686016815941,4.957180455545098,2.22647264873052,0.01353190236005101,0.001971332957157355,8103.661265264565,0.8108042296772002,0.00012340101187180514,0.0008916495432028978,7.410128798850739,2.722155175380481,0.9591523778304426,0.0003119629007618128,5.343690317953406,2.3116423421354364,0.024053387475200177,0.031082696422693595,8627.582164919271,0.8632246440493021,0.00011590732848260936,0.0008375340556936268,7.286086453518447,2.699275171878267,0.9009067327474714,0.00029410513298393194,5.228966144249101,2.286693277256288,0.024289627587009345,0.08989420549007837,9382.915599888265,0.9387988226634268,0.00010657668070806353,0.0007701117857890771,7.1199363319804,2.6683208824990294,0.8283829026253192,0.0002704295728917135,5.0659628202570515,2.250769384067824,0.02234123573710063,0.16315856097242787,9518.645145929533,0.9523791151287775,0.0001050569681576617,0.0007591305041587938,7.0915182875172675,2.6629904783001512,0.8165707136427555,0.0002665734271270589,5.038110011171507,2.244573458626718,0.02202266458142808,0.17509136305574807,9544.83983317247,0.9550000000000001,0.0001047686516985403,0.0007570522974911313,7.086094441880715,2.661971908544625,0.8143298050910172,0.00026585423191831094,5.032872138207817,2.243406369387369,0.021966667743066257,0.17735489016859582,1.1943196700932996,1.098175825543174,0.19431967009329965
annual,320.0,5641.1125739757135,190.0566299724579,175.5,0.22243517567217067,0.20569778894067406,0.03981963031308805,4195.88911255277,0.743805243651717,0.00023832850992375302,0.0011146437951598499,7.852908785103543,2.802304192107549,0.9865587080640696,0.0003188258468266248,5.386088082811706,2.3207947093208623,0.016832452880638785,0.0025700178454010868,4370.669786060959,0.774788612839297,0.000228797884294353,0.0010860540529267061,7.801325613253064,2.793085321513302,0.9472303779780159,0.00038937827676911334,5.776645289828699,2.403465267031895,0.030463373718158087,0.0407018717910674,4742.129677185889,0.840637306027693,0.0002108757178891463,0.0010010213529258185,7.639539081600467,2.76397161374723,0.8730321823757801,0.00036027378023291667,5.624649966349123,2.3716344504052733,0.030260254225917906,0.11581050416173204,5276.483876701623,0.9353622725140708,0.00018952014700841064,0.0008996470341184623,7.427825104163797,2.725403658940047,0.7846194393721686,0.0003237887576275812,5.416197746756872,2.327272598291157,0.027204523506525646,0.20535314853353595,5370.4346582916505,0.9520169271337027,0.00018620466752277787,0.0008839085422852022,7.39284961901844,2.7189795179475773,0.7708932487991335,0.00031812437312525636,5.381795511908587,2.319869718736073,0.026728605557824664,0.21925475939627329,5387.262508146806,0.955,0.00018562303182511808,0.0008811536041111135,7.386663952767922,2.7178417821440455,0.7684853113996816,0.00031714574852890673,5.375791531132729,2.318575323584017,0.026650666562162275,0.22169314972600696,1.2575365399710055,1.1301846998289207,0.25753653997100545
annual,330.0,2922.2691676122718,199.9408380523392,184.5,0.28978410342913175,0.267981174400113,0.050481197046929764,1986.8198317599263,0.6798894002578542,0.0005033169007147465,0.0014412629441587187,8.36356748147825,2.8919833127938777,0.9821764498126815,0.00042158248779796266,5.932378639367028,2.4356474784678976,0.02214918729228828,0.003597044715980034,2104.9552795390427,0.720315329904726,0.000475069475214213,0.0013818099719025232,8.27980253201517,2.8774646013487586,0.9272171988717127,0.0005134627295348557,6.319790075849141,2.513919265976762,0.04091893086719153,0.05709387610481116,2357.483795330389,0.8067305440096205,0.0004241810705043914,0.0012338476858708078,8.054702422295405,2.838080763878189,0.827895896948902,0.0004603577741331442,6.105101888661349,2.4708504383433145,0.03950966120697111,0.1580483890927932,2719.024727885628,0.9304497881375142,0.00036777892813708295,0.0010697864932726559,7.771369830910533,2.7877176741755134,0.7178129500878005,0.0003991456120100039,5.825171784189911,2.4135392651021674,0.0342677151249748,0.27000027127574794,2780.5143660508534,0.9514915316041049,0.00035964568721876216,0.0010461287178665864,7.726988751836728,2.7797461667995385,0.7019388876804551,0.00039031871308892717,5.781369143555554,2.4044477834953195,0.03350990231540967,0.2861438379942038,2790.7670550697194,0.955,0.00035832442488648264,0.0010422928359260274,7.719699086460351,2.7784346467859113,0.699360172782086,0.0003889037584732988,5.774257523259013,2.4029684815367456,0.0333940245621142,0.28876592973810333,1.3685310990061512,1.186561437350929,0.3685310990061512
annual,340.0,1372.8317588058544,215.87698607504157,190.5,0.3925314299432926,0.36285267656237175,0.0660851787284491,799.5451778372167,0.58240579933312,0.0012507110638888686,0.001981726635744165,8.99738326818446,2.999563846325739,0.9745003454869047,0.0006000364952277,6.626839926201928,2.5742649292957256,0.03131467812499784,0.0055731867415312495,875.0742657658227,0.6374228015579989,0.0011427601509054186,0.001841657906853893,8.851403688781037,2.9751308691855956,0.8906192523798528,0.0007234307205252773,6.996239114855943,2.645040475088414,0.05931474620716238,0.08774939727099643,1037.2210029939438,0.7555339511493829,0.0009641146844438117,0.001553833769489256,8.5131598627404,2.917731972395751,0.7513907415734847,0.0006130940031074392,6.669317469660027,2.5825021722469135,0.05437002777296919,0.23029065247182223,1267.6428598551165,0.9233781573918165,0.0007888657220964378,0.0012713904476609845,8.114259977753667,2.848554015242412,0.6148090154582051,0.000501651141157915,6.2739918653409426,2.504793777008587,0.04450298200022056,0.3702021689941092,1305.2014326498613,0.9507366247013248,0.0007661652638319346,0.0012348048222666948,8.056243055828316,2.838352172622051,0.5971172258353026,0.00048721559088082543,6.2165572904837205,2.493302486760024,0.04322236090433476,0.3883252778799026,1311.0543296595906,0.9549999999999997,0.0007627448972764122,0.0012293013581905227,8.047368276453886,2.836788373575633,0.5944516082753434,0.0004850651895117329,6.207858628557445,2.49155747045045,0.04303922042611308,0.39105535817481296,1.5854549498805208,1.2972637841424348,0.5854549498805208
annual,350.0,584.0952504446997,297.74546009019247,199.5,0.5390131171814225,0.4980448083863912,0.08668861172427507,259.03614097878096,0.44348270385962624,0.0038604651699235873,0.0028931546094893854,9.751552305576435,3.1227475571324104,0.9602357469558452,0.0009257271520438897,7.484469188535892,2.735775792811957,0.04791049739060036,0.00978638037464944,303.40906985351177,0.5194513559603711,0.0032958803785358417,0.0025181388071708276,9.474735802158293,3.0781058789713995,0.8201461849904584,0.001082087422967908,7.794062545781698,2.791784831569528,0.09276516788033866,0.1485639590423479,399.38022539407257,0.6837587278616035,0.0025038796024847996,0.0019131495126736254,8.927242522659897,2.987849146570137,0.6230652749805707,0.0008262636704913886,7.259255704344851,2.694300596508276,0.07708692437566456,0.35305884943758953,534.1480033099306,0.9144878389325339,0.0018721402940820627,0.0014304538819577366,8.348596905959543,2.8893938648027104,0.4658632970972322,0.0006177944507087526,6.684390414926438,2.585418808418945,0.057659918553819786,0.5162847861897553,554.7592955430127,0.9497753921481948,0.001802583585410992,0.0013773074034329946,8.27331350623306,2.8763368207205953,0.44855480919214985,0.0005948411769811431,6.609684899823969,2.5709307458241595,0.055517646326941165,0.5342565366579866,557.8109641746881,0.955,0.001792722022736779,0.0013697831581151645,8.262422482043155,2.874442986396348,0.4461009445400598,0.000591618855146125,6.598970341329745,2.568846110869576,0.05522742093062047,0.536803755103717,2.062059762362216,1.541793449690049,1.062059762362216
annual,355.0,367.2713748491948,317.6830048941934,202.5,0.62762008326826,0.579877109426153,0.09824031447122004,132.01791288275348,0.3594560369344366,0.0075747296572406106,0.003586109849186778,10.179905667099836,3.190596443785995,0.9481530255514194,0.0011971620639592757,7.994739539147099,2.8274970449404715,0.06159799429460449,0.013806830151900274,164.54371015194505,0.44801670214431577,0.00607741249468951,0.0029388495457224107,9.782806235046158,3.127747789551798,0.7611565812264434,0.0013507842856672896,8.234655560442397,2.8696089560151563,0.11941953516486754,0.20070857078769017,235.27546680584734,0.6406038774528882,0.00425033690752472,0.0020554813849885966,9.07017152845346,3.0116725466845597,0.532327683770088,0.0009499239193539072,7.535625785572172,2.7451094305277106,0.09175379406325108,0.4408713984302304,334.1254196628885,0.9097507797880617,0.0029928881226963726,0.0014473736951784888,8.371981566338352,2.8934376727931004,0.3748402154531627,0.0006688925819411066,6.841312005651546,2.615590183046944,0.06463501102286198,0.606287805087413,348.63661537762033,0.9492616066819091,0.002868316051418941,0.001387130100453533,8.287442775771355,2.8787918951830047,0.3592383552690237,0.0006410514696179895,6.757341952132157,2.5994887866909826,0.06194472763436076,0.622675167927845,350.74416298098106,0.9550000000000001,0.0028510809460119925,0.001378806399138991,8.275476172190274,2.876712737168985,0.35707985760897404,0.0006372353196706658,6.74555260371509,2.597220168509996,0.061588228662142835,0.624941578581857,2.530909725558446,1.7821480560353806,1.530909725558446
annual,360.0,226.7035516108186,329.3011469922425,343.5,0.7200728430129232,0.6652808613424865,0.10907725832934946,61.62290388128272,0.2718215195281572,0.016227732499047957,0.00449181192010511,10.629366297215117,3.2602708932257634,0.9304385346057421,0.0015823294943281962,8.549316809470268,2.923921477993256,0.08113387620789711,0.02046481639051606,84.74805450886024,0.373827643663682,0.011799680898815819,0.0033453163307268414,10.041219048630733,3.1687882618803567,0.6770803214775118,0.0016803979119852943,8.668981137967158,2.944313355940084,0.1551308257531877,0.27689094362135297,135.3067111438387,0.5968442496045204,0.0073906164117531715,0.0020954905639152793,9.108575481905282,3.0180416633812865,0.42408334333846254,0.0010589490326025016,7.751161325100329,2.784090753747142,0.10737317388334097,0.5469258288696577,205.26397684613062,0.9054290300599558,0.0048717754345645225,0.0013813136697000646,8.27908830117931,2.8773404910054197,0.279548917063769,0.0006980429379879554,6.925609529361967,2.6316552831558253,0.07080932762319074,0.701340762082799,215.09469868297995,0.9487928052059478,0.004649115046177231,0.0013181818931411594,8.186089866493925,2.861134367081337,0.26677236952320504,0.0006661394740924984,6.833163805349248,2.61403209723011,0.0675730470101486,0.7149907307242706,216.50189178833176,0.955,0.004618897284175576,0.0013096254905387052,8.173146140977169,2.8588714803182684,0.2650385237429974,0.0006618489548876302,6.820398883783323,2.611589340570857,0.06715189627854011,0.7168422724202933,3.330968907949781,2.1957211137681654,2.330968907949781
