family,s,z_b,edge,M,b_wall,b_rfr,b_uni,b_leak_lowE,b_total,P_ge1_bkg,d_reco,d_reco_min,feasible,s_L10,Z_L10,Zlo_L10,P5_L10,N5_L10,Zmed_L10,P5lo_L10,s_inel300,Z_inel300,Zlo_inel300,s_inel350,Z_inel350,Zlo_inel350,s_inel366,Z_inel366,Zlo_inel366,P5_inel366,N5_inel366,Zmed_inel366,P5lo_inel366,b_total_220d,FoM_M_sqrtb,reach_MA_L10,reach_MA_inel366
A,0.0,0.0,600,6.3811756891766205,0.0029845258294869223,0.00029916365588824375,0.0006510896528642857,1441.2937920534657,0.003934779138239452,0.00392704803818722,-0.4891850117666975,-1.7925737333449803,False,3.2281830304462793,6.076624521704765,2.962875922957321,0.6267588987403676,3,5.609878343804499,0.07529351605427849,3.2281830304462793,6.076624521704765,2.962875922957321,3.2281830304462793,6.076624521704765,2.962875922957321,3.2281830304462793,6.076624521704765,2.962875922957321,0.6267588987403676,3,5.609878343804499,0.07529351605427849,0.0016513609279262857,101.72800366748116,1.3548143713750787,1.3548143713750787
A,0.0,1.0,600,6.3393676927576434,0.0029781253205391684,0.00020661531159016014,0.0006468238631099693,1490.9183124444367,0.003831564495239298,0.003824233418152523,-0.5060784579330161,-1.7925737333449803,False,3.2070327172202044,6.067184868772343,2.9595208229784444,0.6223590402833146,3,5.623649742257644,0.07414454854852727,3.2070327172202044,6.067184868772343,2.9595208229784444,3.2070327172202044,6.067184868772343,2.9595208229784444,3.2070327172202044,6.067184868772343,2.9595208229784444,0.6223590402833146,3,5.623649742257644,0.07414454854852727,0.0016080434702870807,102.41365648985207,1.3459379390143618,1.3459379390143618
A,0.0,2.0,600,6.297559696338666,0.0029717248115914154,0.00014271266497016294,0.0006425580733556527,1547.325470080293,0.003756995549917231,0.0037499468721827744,-0.5246111004066328,-1.7925737333449803,False,3.185882403994129,6.05395485076903,2.953874403174192,0.6179297775331984,3,5.633811682250771,0.07300853661464676,3.185882403994129,6.05395485076903,2.953874403174192,3.185882403994129,6.05395485076903,2.953874403174192,3.185882403994129,6.05395485076903,2.953874403174192,0.6179297775331984,3,5.633811682250771,0.07300853661464676,0.0015767481323747654,102.74293141599638,1.3370615066536446,1.3370615066536446
A,0.0,3.0,600,6.255751699919689,0.002965324302643662,9.858925816033636e-05,0.0006382922836013364,1610.9630155217462,0.003702205844405335,0.003695361129800956,-0.5447249987618159,-1.7925737333449803,False,3.1647320907680547,6.038002833763667,2.9465852480982626,0.6134694899537796,3,5.641396391596553,0.07188386906185884,3.1647320907680547,6.038002833763667,2.9465852480982626,3.1647320907680547,6.038002833763667,2.9465852480982626,3.1647320907680547,6.038002833763667,2.9465852480982626,0.6134694899537796,3,5.641396391596553,0.07188386906185884,0.0015537538102651347,102.81328168537102,1.3281850742929278,1.3281850742929278
A,0.0,4.0,600,6.213943703500713,0.0029589237936959076,6.81229921841755e-05,0.0006340264938470199,1682.4027211219081,0.003661073279727103,0.0036543797219740215,-0.5663792748022298,-1.7925737333449803,False,3.14358177754198,6.020107219734412,2.9381256741652617,0.6089770938896581,3,5.647158257023181,0.0707694543792476,3.14358177754198,6.020107219734412,2.9381256741652617,3.14358177754198,6.020107219734412,2.9381256741652617,3.14358177754198,6.020107219734412,2.9381256741652617,0.6089770938896581,3,5.647158257023181,0.0707694543792476,0.0015364911615144289,102.69826425495373,1.3193086419322109,1.3193086419322109
A,0.0,5.0,600,6.172135707081736,0.0029525232847481546,4.7086689014505853e-05,0.0006297607040927033,1762.2976078279873,0.003629370677855364,0.003622792472751324,-0.5895330213686872,-1.7925737333449803,False,3.122431464315905,6.000825940907116,2.928834121031797,0.6044518837276626,3,5.651639714905301,0.06966455747107468,3.122431464315905,6.000825940907116,2.928834121031797,3.122431464315905,6.000825940907116,2.928834121031797,3.122431464315905,6.000825940907116,2.928834121031797,0.6044518837276626,3,5.651639714905301,0.06966455747107468,0.0015231861102764028,102.45184959473939,1.310432209571494,1.310432209571494
A,0.0,6.0,600,6.130327710662759,0.0029461227758004016,3.256157289451536e-05,0.0006254949143383869,1851.3594414634633,0.003604179263033304,0.0035976920050404537,-0.6141371788511035,-1.7925737333449803,False,3.1012811510898297,5.980554285380276,2.9189503353265778,0.5998934212964449,3,5.655226360688515,0.0685686876487798,3.1012811510898297,5.980554285380276,2.9189503353265778,3.1012811510898297,5.980554285380276,2.9189503353265778,3.1012811510898297,5.980554285380276,2.9189503353265778,0.5998934212964449,3,5.655226360688515,0.0685686876487798,0.0015126136952323026,102.11287395894924,1.3015557772107769,1.3015557772107769
A,0.0,7.0,600,6.08851971424378,0.0029397222668526477,2.2532291770472627e-05,0.0006212291245840702,1950.4399048962084,0.0035834836832071906,0.003577070668151938,-0.6401551264243129,-1.7925737333449803,False,3.080130837863754,5.959569999843301,2.908642772477441,0.5953014588960623,3,5.658190109764627,0.06748152177865431,3.080130837863754,5.959569999843301,2.908642772477441,3.080130837863754,5.959569999843301,2.908642772477441,3.080130837863754,5.959569999843301,2.908642772477441,0.5953014588960623,3,5.658190109764627,0.06748152177865431,0.001503928106866366,101.70891020312139,1.2926793448500595,1.2926793448500595
A,0.0,8.0,600,6.046711717824804,0.0029333217579048934,1.5607288277616166e-05,0.0006169633348297539,2060.5213316767527,0.0035658923810122636,0.003559542137113625,-0.6675551228528768,-1.7925737333449803,False,3.058980524637679,5.938067075004896,2.898029104011242,0.5906758857681842,3,5.660721643552091,0.06640285154725468,3.058980524637679,5.938067075004896,2.898029104011242,3.058980524637679,5.938067075004896,2.898029104011242,3.058980524637679,5.938067075004896,2.898029104011242,0.5906758857681842,3,5.660721643552091,0.06640285154725468,0.0014965453318501693,101.25935291214265,1.2838029124893426,1.2838029124893426
A,0.0,9.0,600,6.004903721405828,0.0029269212489571395,1.0825721903819726e-05,0.0006126975450754375,2182.675083249513,0.0035504445159363963,0.0035441491404702985,-0.6962966298402385,-1.7925737333449803,False,3.037830211411605,5.916180396277387,2.8871911714859864,0.5860166909020983,3,5.66295415987298,0.06533254727441686,3.037830211411605,5.916180396277387,2.8871911714859864,3.037830211411605,5.916180396277387,2.8871911714859864,3.037830211411605,5.916180396277387,2.8871911714859864,0.5860166909020983,3,5.66295415987298,0.06533254727441686,0.0014900621215072432,100.7777559434169,1.274926480128626,1.274926480128626
