m_chi_GeV,C_SD_H_at_1e-40,C_SI_all_at_1e-43,Gamma_A_SD_1e-40,Gamma_A_SI_1e-43
1000.0,2.5396748338753005e+20,2.5404221844364145e+20,1.2698374169376503e+20,1.2702110922182073e+20
500.0,1.0174222980671224e+21,8.893089277154428e+20,5.087111490335612e+20,4.446544638577214e+20
300.0,2.813094405559795e+21,2.0773937391513441e+21,1.4065472027798974e+21,1.0386968695756721e+21
