model,delta_keV,C_total,sigv,sigv_case,t_eq_thermal_yr,Gamma_A_thermal,r_apo_Rsun,t_eq_orbit_yr,Gamma_A_orbit
Higgsino,240.0,9.013474913954926e+23,9.6e-27,sigv_lo,4795703.616859356,4.506737456977463e+23,0.3442836578528677,2587808850.7572694,4.0208639828946e+23
Higgsino,240.0,9.013474913954926e+23,2.9e-26,sigv_hi,2759236.666901741,4.506737456977463e+23,0.3442836578528677,1488911250.2366138,4.4696804432693756e+23
Higgsino,250.0,8.084616862653159e+23,9.6e-27,sigv_lo,5063709.01042634,4.0423084313265795e+23,0.35918630199257523,2911746993.484758,3.4119899733142975e+23
Higgsino,250.0,8.084616862653159e+23,2.9e-26,sigv_hi,2913435.167880361,4.0423084313265795e+23,0.35918630199257523,1675290991.9036124,3.976450196555821e+23
Higgsino,260.0,7.219343783671988e+23,9.6e-27,sigv_lo,5358578.54119282,3.609671891835994e+23,0.38154026820213655,3373381179.7403126,2.779052630930004e+23
Higgsino,260.0,7.219343783671988e+23,2.9e-26,sigv_hi,3083090.1103548515,3.609671891835994e+23,0.38154026820213655,1940894973.1283407,3.486059925164123e+23
Higgsino,270.0,6.43434393303915e+23,9.6e-27,sigv_lo,5676051.490900504,3.217171966519575e+23,0.3964429123418441,3784622434.5438833,2.2621567386000905e+23
Higgsino,270.0,6.43434393303915e+23,2.9e-26,sigv_hi,3265750.064673831,3.217171966519575e+23,0.3964429123418441,2177505080.810475,3.0348418100835913e+23
Higgsino,280.0,5.72043044826926e+23,9.6e-27,sigv_lo,6019828.343460494,2.86021522413463e+23,0.4187968785514054,4358073070.112711,1.758969809323358e+23
Higgsino,280.0,5.72043044826926e+23,2.9e-26,sigv_hi,3463544.126317032,2.86021522413463e+23,0.4187968785514054,2507443322.7729416,2.5834316418894773e+23
Higgsino,290.0,5.051198384127786e+23,9.6e-27,sigv_lo,6406211.156563178,2.525599192063893e+23,0.4411508447609668,5014032773.27814,1.3273754467115122e+23
Higgsino,290.0,5.051198384127786e+23,2.9e-26,sigv_hi,3685851.7813659385,2.525599192063893e+23,0.4411508447609668,2884853648.678225,2.1423155275047425e+23
Higgsino,300.0,4.427614754596673e+23,9.6e-27,sigv_lo,6842480.197931799,2.2138073772983366e+23,0.4635048109705281,5767666821.860666,9.729926113428102e+22
Higgsino,300.0,4.427614754596673e+23,2.9e-26,sigv_hi,3936861.775258494,2.2138073772983366e+23,0.4635048109705281,3318461491.5324335,1.7242391565421487e+23
Higgsino,310.0,3.856298333851823e+23,9.6e-27,sigv_lo,7331842.8856633045,1.9281491669259116e+23,0.4858587771800894,6632594938.309785,6.953918357676823e+22
Higgsino,310.0,3.856298333851823e+23,2.9e-26,sigv_hi,4218419.515118705,1.9281491669259116e+23,0.4858587771800894,3816103039.8447084,1.34608443501989e+23
Higgsino,320.0,3.333268566614589e+23,9.6e-27,sigv_lo,7886118.684402691,1.6666342833072943e+23,0.5156640654595045,7800435628.251694,4.680941639406797e+22
Higgsino,320.0,3.333268566614589e+23,2.9e-26,sigv_hi,4537325.400395147,1.6666342833072943e+23,0.5156640654595045,4488027143.214928,9.936599414367185e+22
Higgsino,330.0,2.852097542743818e+23,9.6e-27,sigv_lo,8525429.649524834,1.426048771371909e+23,0.5454693537389196,9174386968.378641,3.063229913530469e+22
Higgsino,330.0,2.852097542743818e+23,2.9e-26,sigv_hi,4905156.775611069,1.426048771371909e+23,0.5454693537389196,5278538237.955969,7.035633549130487e+22
Higgsino,340.0,2.413022532817634e+23,9.6e-27,sigv_lo,9268677.548002005,1.206511266408817e+23,0.5752746420183347,10802788312.708506,1.9502709690873714e+22
Higgsino,340.0,2.413022532817634e+23,2.9e-26,sigv_hi,5332788.8850821955,1.206511266408817e+23,0.5752746420183347,6215448659.590733,4.780921640867441e+22
Higgsino,350.0,2.0175091336055602e+23,9.6e-27,sigv_lo,10136562.616588209,1.0087545668027801e+23,0.6125312523676036,12980407647.33088,1.1692693670977641e+22
Higgsino,350.0,2.0175091336055602e+23,2.9e-26,sigv_hi,5832131.733435248,1.0087545668027801e+23,0.6125312523676036,7468354926.25847,3.0356387072960344e+22
Higgsino,360.0,1.6660353830772116e+23,9.6e-27,sigv_lo,11154660.375590388,8.330176915386058e+22,0.6497878627168725,15606984190.666836,6.845614894430141e+21
Higgsino,360.0,1.6660353830772116e+23,2.9e-26,sigv_hi,6417900.348754515,8.330176915386058e+22,0.6497878627168725,8979571399.544779,1.8556313630599977e+22
Higgsino,365.0,1.5067024635904748e+23,9.6e-27,sigv_lo,11729640.807018464,7.533512317952374e+22,0.6721418289264338,17265586841.76993,5.110612274643677e+21
Higgsino,365.0,1.5067024635904748e+23,2.9e-26,sigv_hi,6748718.767884912,7.533512317952374e+22,0.6721418289264338,9933858323.085142,1.4112936997811187e+22
Higgsino,366.0,1.4761431858867325e+23,9.6e-27,sigv_lo,11850432.999730535,7.380715929433662e+22,0.6795931509962876,17734255263.33239,4.75718789710311e+21
Higgsino,366.0,1.4761431858867325e+23,2.9e-26,sigv_hi,6818217.276098577,7.380715929433662e+22,0.6795931509962876,10203509493.530277,1.3194918841973356e+22
Higgsino,370.0,1.35815949844198e+23,9.6e-27,sigv_lo,12354440.28622456,6.7907974922099e+22,0.6944957951359951,19099972925.555836,3.796172678729648e+21
Higgsino,370.0,1.35815949844198e+23,2.9e-26,sigv_hi,7108200.873164714,6.7907974922099e+22,0.6944957951359951,10989283292.602146,1.0647541374995711e+22
Higgsino,380.0,1.0926097316991486e+23,9.6e-27,sigv_lo,13774185.583370348,5.463048658495743e+22,0.7466550496249716,23738385921.070892,2.0036554691647195e+21
Higgsino,380.0,1.0926097316991486e+23,2.9e-26,sigv_hi,7925059.7940901555,5.463048658495743e+22,0.7466550496249716,13658021862.780975,5.763694157533404e+21
dark photon,200.0,2.0850591559222346e+19,4.4e-26,sigv_lo,465745374.0558872,1.0425295671015655e+19,0.28467308129403746,188961531152.99744,6183747647885322.0
dark photon,200.0,2.0850591559222346e+19,1.012e-24,sigv_hi,97114623.77105641,1.0425295779611173e+19,0.28467308129403746,39401202947.69493,1.4099784070956418e+17
dark photon,210.0,3.0594578842265387e+19,4.4e-26,sigv_lo,384490400.15848345,1.5297289418688158e+19,0.29957572543374505,168403330591.83554,1.1422964036403302e+16
dark photon,210.0,3.0594578842265387e+19,1.012e-24,sigv_hi,80171790.49961638,1.5297289421132694e+19,0.29957572543374505,35114521803.61644,2.59876896473621e+17
dark photon,220.0,4.428343848260598e+19,4.4e-26,sigv_lo,319585504.6426136,2.214171924127564e+19,0.31447836957345254,150549212381.98068,2.0685485409480788e+16
dark photon,220.0,4.428343848260598e+19,1.012e-24,sigv_hi,66638184.24168912,2.214171924130299e+19,0.31447836957345254,31391680806.5828,4.693211208851893e+17
dark photon,230.0,6.286875586364252e+19,4.4e-26,sigv_lo,268219474.64116883,3.143437793182111e+19,0.3293810137131601,135438893276.4896,3.627986820132541e+16
dark photon,230.0,6.286875586364252e+19,1.012e-24,sigv_hi,55927626.59349975,3.143437793182126e+19,0.3293810137131601,28240961472.085915,8.205094729067049e+17
dark photon,240.0,8.715566149548876e+19,4.4e-26,sigv_lo,227803262.09877437,4.357783074774438e+19,0.3442836578528677,122924881307.95906,6.1046690366231384e+16
dark photon,240.0,8.715566149548876e+19,1.012e-24,sigv_hi,47500263.716816165,4.357783074774438e+19,0.3442836578528677,25631609598.964546,1.37571378650193e+18
dark photon,250.0,1.1712240452974975e+20,4.4e-26,sigv_lo,196511400.40173835,5.856120226487488e+19,0.35918630199257523,112998491447.0955,9.70658359657439e+16
dark photon,250.0,1.1712240452974975e+20,1.012e-24,sigv_hi,40975459.510303676,5.856120226487488e+19,0.35918630199257523,23561814233.424488,2.1793247765089062e+18
dark photon,260.0,1.530660745303425e+20,4.4e-26,sigv_lo,171896988.48765635,7.653303726517125e+19,0.38154026820213655,108214158169.12096,1.3830538799272456e+17
dark photon,260.0,1.530660745303425e+20,1.012e-24,sigv_hi,35842999.8326794,7.653303726517125e+19,0.38154026820213655,22564211783.313866,3.098543923849978e+18
dark photon,270.0,1.9737258219809377e+20,4.4e-26,sigv_lo,151378545.84184095,9.868629109904689e+19,0.3964429123418441,100934715201.24792,2.049537222887707e+17
dark photon,270.0,1.9737258219809377e+20,1.012e-24,sigv_hi,31564608.787023496,9.868629109904689e+19,0.3964429123418441,21046342998.20593,4.5739235971348726e+18
dark photon,280.0,2.5483144045714568e+20,4.4e-26,sigv_lo,133223621.74236777,1.2741572022857284e+20,0.4187968785514054,96447646858.40506,2.8977610877905075e+17
dark photon,280.0,2.5483144045714568e+20,1.012e-24,sigv_hi,27779045.426171184,1.2741572022857284e+20,0.4187968785514054,20110724571.864,6.448586808034002e+18
dark photon,290.0,3.33194000608807e+20,4.4e-26,sigv_lo,116508913.96520348,1.665970003044035e+20,0.4411508447609668,91189550066.90347,4.2376170863412384e+17
dark photon,290.0,3.33194000608807e+20,1.012e-24,sigv_hi,24293787.92788054,1.665970003044035e+20,0.4411508447609668,19014335600.328663,9.393939848839688e+18
dark photon,300.0,4.491231507847442e+20,4.4e-26,sigv_lo,100351765.96586017,2.245615753923721e+20,0.4635048109705281,84588560629.13623,6.636473746824672e+17
dark photon,300.0,4.491231507847442e+20,1.012e-24,sigv_hi,20924789.67996403,2.245615753923721e+20,0.4635048109705281,17637934155.515682,1.4625498754900302e+19
dark photon,310.0,6.38658246515616e+20,4.4e-26,sigv_lo,84153750.95459802,3.19329123257808e+20,0.4858587771800894,76127891899.13922,1.164595966239153e+18
dark photon,310.0,6.38658246515616e+20,1.012e-24,sigv_hi,17547270.071003,3.19329123257808e+20,0.4858587771800894,15873762772.749346,2.5414527924002677e+19
dark photon,320.0,9.730002842596696e+20,4.4e-26,sigv_lo,68179098.8915052,4.865001421298348e+20,0.5156640654595045,67438329725.78122,2.2594562259334372e+18
dark photon,320.0,9.730002842596696e+20,1.012e-24,sigv_hi,14216324.856301563,4.865001421298348e+20,0.5156640654595045,14061863807.759079,4.8619308344161165e+19
dark photon,330.0,1.6327371515492418e+21,4.4e-26,sigv_lo,52631967.24310016,8.163685757746209e+20,0.5454693537389196,56638322553.297035,5.368316511705419e+18
dark photon,330.0,1.6327371515492418e+21,1.012e-24,sigv_hi,10974523.810366184,8.163685757746209e+20,0.5454693537389196,11809906640.376335,1.1245737916757587e+20
dark photon,340.0,3.113736242054708e+21,4.4e-26,sigv_lo,38112446.67324176,1.556868121027354e+21,0.5752746420183347,44420651312.783516,1.659826938766525e+19
dark photon,340.0,3.113736242054708e+21,1.012e-24,sigv_hi,7946994.4863525145,1.556868121027354e+21,0.5752746420183347,9262346080.518684,3.2903477159313316e+20
dark photon,350.0,7.063790804095287e+21,4.4e-26,sigv_lo,25303979.438927345,3.5318954020476436e+21,0.6125312523676036,32403091722.577293,7.032369668215831e+19
dark photon,350.0,7.063790804095287e+21,1.012e-24,sigv_hi,5276244.446020203,3.5318954020476436e+21,0.6125312523676036,6756511684.170855,1.2392393400668203e+21
dark photon,360.0,2.068764831379611e+22,4.4e-26,sigv_lo,14786050.263223784,1.0343824156898055e+22,0.6497878627168725,20687824185.622055,4.956367146523541e+20
dark photon,360.0,2.068764831379611e+22,1.012e-24,sigv_hi,3083104.6068545636,1.0343824156898055e+22,0.6497878627168725,4313709538.180762,6.428677514343254e+21
dark photon,365.0,4.021570187394803e+22,4.4e-26,sigv_lo,10604981.47361113,2.0107850936974016e+22,0.6721418289264338,15610130915.384472,1.651804106041311e+21
dark photon,365.0,4.021570187394803e+22,1.012e-24,sigv_hi,2211291.498056158,2.0107850936974016e+22,0.6721418289264338,3254937301.1756215,1.5869288907123666e+22
dark photon,366.0,4.699559669332399e+22,4.4e-26,sigv_lo,9810229.253922513,2.3497798346661993e+22,0.6795931509962876,14681076192.306957,2.1665417363776398e+21
dark photon,366.0,4.699559669332399e+22,1.012e-24,sigv_hi,2045574.2046472265,2.3497798346661993e+22,0.6795931509962876,3061215999.9661555,1.927957139145294e+22
dark photon,370.0,8.752386238523251e+22,4.4e-26,sigv_lo,7188603.05671489,4.3761931192616255e+22,0.6944957951359951,11113585122.016161,6.725121205897252e+21
dark photon,370.0,8.752386238523251e+22,1.012e-24,sigv_hi,1498927.3542598016,4.3761931192616255e+22,0.6944957951359951,2317342689.790623,4.058756477021339e+22
dark photon,380.0,7.063371379779954e+23,4.4e-26,sigv_lo,2530473.0705293883,3.531685689889977e+23,0.7466550496249716,4361008928.442632,2.1703924515322085e+23
dark photon,380.0,7.063371379779954e+23,1.012e-24,sigv_hi,527640.1095886424,3.531685689889977e+23,0.7466550496249716,909333221.4118868,3.531119121128703e+23
Z',200.0,2.1334376904588653e+20,2.2e-26,sigv_lo,205912521.4642871,1.0667188452294327e+20,0.28467308129403746,83542526682.82472,3.231754678973525e+17
Z',200.0,2.1334376904588653e+20,5e-26,sigv_hi,136586914.66660857,1.0667188452294327e+20,0.28467308129403746,55415843009.0368,7.326046063094692e+17
Z',210.0,1.935575110465512e+20,2.2e-26,sigv_lo,216181100.78275836,9.67787555232756e+19,0.29957572543374505,94685374115.50381,2.283559436729789e+17
Z',210.0,1.935575110465512e+20,5e-26,sigv_hi,143398319.6124831,9.67787555232756e+19,0.29957572543374505,62807171815.1111,5.179530085126042e+17
Z',220.0,1.7458587118109485e+20,2.2e-26,sigv_lo,227624073.54097763,8.729293559054742e+19,0.31447836957345254,107228345757.0899,1.6066028736401622e+17
Z',220.0,1.7458587118109485e+20,5e-26,sigv_hi,150988729.03753743,8.729293559054742e+19,0.31447836957345254,71127237953.35294,3.6456736037358605e+17
Z',230.0,1.5699724002490027e+20,2.2e-26,sigv_lo,240036192.62859267,7.849862001245014e+19,0.3293810137131601,121207590609.93584,1.1310112348969416e+17
Z',230.0,1.5699724002490027e+20,5e-26,sigv_hi,159221997.41090292,7.849862001245014e+19,0.3293810137131601,80400019959.23233,2.5673400247595782e+17
Z',240.0,1.409595934138739e+20,2.2e-26,sigv_lo,253323464.66174042,7.04797967069369e+19,0.3442836578528677,136695833673.19543,7.985605069517502e+16
Z',240.0,1.409595934138739e+20,5e-26,sigv_hi,168035776.5751697,7.047979670693695e+19,0.3442836578528677,90673758139.7637,1.8131664858535165e+17
Z',250.0,1.2591951113162308e+20,2.2e-26,sigv_lo,268025567.29484454,6.295975556581123e+19,0.35918630199257523,154120751832.47992,5.612605810550316e+16
Z',250.0,1.2591951113162308e+20,5e-26,sigv_hi,177788048.1878302,6.295975556581154e+19,0.35918630199257523,102232141247.16309,1.274627832975321e+17
Z',260.0,1.6484781356061003e+20,2.2e-26,sigv_lo,234250832.34514898,8.242390678030501e+19,0.38154026820213655,147467717995.9233,8.025261715704128e+16
Z',260.0,1.6484781356061003e+20,5e-26,sigv_hi,155384423.54346153,8.242390678030501e+19,0.38154026820213655,97819017856.48367,1.8224170779992365e+17
Z',270.0,2.15587148336076e+20,2.2e-26,sigv_lo,204838366.74566284,1.07793574168038e+20,0.3964429123418441,136580134884.92377,1.2234070619002523e+17
Z',270.0,2.15587148336076e+20,5e-26,sigv_hi,135874401.0329153,1.07793574168038e+20,0.3964429123418441,90597012245.88449,2.7777946102913542e+17
Z',280.0,2.815029224815649e+20,2.2e-26,sigv_lo,179259130.0278848,1.4075146124078245e+20,0.4187968785514054,129775193340.02658,1.76924247226381e+17
Z',280.0,2.815029224815649e+20,5e-26,sigv_hi,118907054.90960495,1.4075146124078245e+20,0.4187968785514054,86083124680.93942,4.016719849775936e+17
Z',290.0,3.859534469432614e+20,2.2e-26,sigv_lo,153092979.85022473,1.929767234716307e+20,0.4411508447609668,119823277685.97128,2.8449679241491117e+17
Z',290.0,3.859534469432614e+20,5e-26,sigv_hi,101550394.44012702,1.929767234716307e+20,0.4411508447609668,79481770646.98628,6.457754399966767e+17
Z',300.0,5.2545073966243375e+20,2.2e-26,sigv_lo,131206918.09026805,2.6272536983121687e+20,0.4635048109705281,110597000850.15459,4.545649486500913e+17
Z',300.0,5.2545073966243375e+20,5e-26,sigv_hi,87032823.44086267,2.6272536983121687e+20,0.4635048109705281,73361750951.71599,1.0315868868310134e+18
Z',310.0,8.166391087168723e+20,2.2e-26,sigv_lo,105246497.33405875,4.083195543584362e+20,0.4858587771800894,95208994024.91216,9.529054455759788e+17
Z',310.0,8.166391087168723e+20,5e-26,sigv_hi,69812628.43124254,4.083195543584362e+20,0.4858587771800894,63154501969.56457,2.1614110486720801e+18
Z',320.0,1.2601252427829637e+21,2.2e-26,sigv_lo,84725839.87849443,6.300626213914819e+20,0.5156640654595045,83805289581.66621,1.8969242108585846e+18
Z',320.0,1.2601252427829637e+21,5e-26,sigv_hi,56200764.18493936,6.300626213914819e+20,0.5156640654595045,55590140197.893456,4.3001955940863355e+18
Z',330.0,2.464601895836193e+21,2.2e-26,sigv_lo,60582801.071593024,1.2323009479180964e+21,0.5454693537389196,65194375357.97117,6.122613683297314e+18
Z',330.0,2.464601895836193e+21,5e-26,sigv_hi,40186083.98064301,1.2323009479180964e+21,0.5454693537389196,43245056300.79647,1.3856521798174534e+19
Z',340.0,4.766308444173809e+21,2.2e-26,sigv_lo,43564392.93395375,2.3831542220869043e+21,0.5752746420183347,50774979753.029045,1.947868741417677e+19
Z',340.0,4.766308444173809e+21,5e-26,sigv_hi,28897349.116306927,2.3831542220869043e+21,0.5752746420183347,33680311315.737923,4.396403262837691e+19
Z',350.0,1.2246792310891206e+22,2.2e-26,sigv_lo,27177628.75662151,6.123396155445603e+21,0.6125312523676036,34802399343.0929,1.0587947337696559e+20
Z',350.0,1.2246792310891206e+22,5e-26,sigv_hi,18027599.455457345,6.123396155445603e+21,0.6125312523676036,23085300085.03008,2.3713633350941655e+20
Z',360.0,4.2549455617707615e+22,2.2e-26,sigv_lo,14580611.365196425,2.1274727808853808e+22,0.6497878627168725,20400385435.745163,1.0473740750333462e+21
Z',360.0,4.2549455617707615e+22,5e-26,sigv_hi,9671683.42246963,2.1274727808853808e+22,0.6497878627168725,13532084813.799532,2.2834551914656443e+21
Z',365.0,9.473512923277584e+22,2.2e-26,sigv_lo,9771634.460311545,4.736756461638792e+22,0.6721418289264338,14383475686.620407,4.5380842561168694e+21
Z',365.0,9.473512923277584e+22,5e-26,sigv_hi,6481769.018672076,4.736756461638792e+22,0.6721418289264338,9540918406.743881,9.515444941443901e+21
Z',366.0,1.1113921076042601e+23,2.2e-26,sigv_lo,9021714.600068871,5.556960538021301e+22,0.6795931509962876,13501058538.046001,5.989814617140802e+21
Z',366.0,1.1113921076042601e+23,5e-26,sigv_hi,5984328.458819933,5.556960538021301e+22,0.6795931509962876,8955589088.66456,1.2434685774527468e+22
Z',370.0,2.3150724653107327e+23,2.2e-26,sigv_lo,6250869.663288577,1.1575362326553664e+23,0.6944957951359951,9663848670.110449,2.2745726963895427e+22
Z',370.0,2.3150724653107327e+23,5e-26,sigv_hi,4146357.8573086816,1.1575362326553664e+23,0.6944957951359951,6410272013.906276,4.388206955701931e+22
Z',380.0,2.568659554222703e+24,2.2e-26,sigv_lo,1876590.2891814199,1.2843297771113514e+24,0.7466550496249716,3234109503.657674,1.0179541745102374e+24
Z',380.0,2.568659554222703e+24,5e-26,sigv_hi,1244789.1748878611,1.2843297771113514e+24,0.7466550496249716,2145265550.9110081,1.215901366321633e+24
