model,delta_keV,C_total,sigv,sigv_case,t_eq_thermal_yr,Gamma_A_thermal,r_apo_Rsun,t_eq_orbit_yr,Gamma_A_orbit
Higgsino,0.0,4.0964030528604055e+24,9.6e-27,sigv_lo,2249557.620292959,2.0482015264302028e+24,0.0051943335725144965,2249557.6202929555,2.0482015264302028e+24
Higgsino,0.0,4.0964030528604055e+24,2.9e-26,sigv_hi,1294296.3882087194,2.0482015264302028e+24,0.0051943335725144965,1294296.3882087176,2.0482015264302028e+24
Higgsino,200.0,1.3377738533693e+24,9.6e-27,sigv_lo,3936471.4910666607,6.6888692668465e+23,0.28467308129403746,1597099449.0281756,6.605437519643297e+23
Higgsino,200.0,1.3377738533693e+24,2.9e-26,sigv_hi,2264872.3407718968,6.6888692668465e+23,0.28467308129403746,918900689.5578446,6.687676933140039e+23
Higgsino,210.0,1.219995852459671e+24,9.6e-27,sigv_lo,4122107.2306600665,6.099979262298355e+23,0.29957572543374505,1805445822.3500752,5.9528739060154075e+23
Higgsino,210.0,1.219995852459671e+24,2.9e-26,sigv_hi,2371678.970266859,6.099979262298355e+23,0.29957572543374505,1038774017.564354,6.09652474928731e+23
Higgsino,220.0,1.1061690024436093e+24,9.6e-27,sigv_lo,4329001.338502928,5.5308450122180465e+23,0.31447836957345254,2039290682.6014235,5.2937899728919036e+23
Higgsino,220.0,1.1061690024436093e+24,2.9e-26,sigv_hi,2490716.728671913,5.5308450122180465e+23,0.31447836957345254,1173318052.0421534,5.522195672733843e+23
Higgsino,230.0,9.99599275877098e+23,9.6e-27,sigv_lo,4553921.036576752,4.99799637938549e+23,0.3293810137131601,2299527378.045989,4.646050023268943e+23
Higgsino,230.0,9.99599275877098e+23,2.9e-26,sigv_hi,2620125.6178809986,4.99799637938549e+23,0.3293810137131601,1323046786.2407508,4.979023619584847e+23
