model,m_chi_GeV,delta_keV,rho,C_total
Higgsino,300.0,310.0,0.4,2.0016609366352457e+24
Higgsino,1000.0,366.0,0.4,1.4761431858867325e+23
Higgsino,3000.0,377.0,0.4,1.674417621917886e+22
Higgsino,1000.0,300.0,0.3,3.3207110659475045e+23
Higgsino,1000.0,366.0,0.3,1.1071073894150493e+23
