model,delta_keV,sigma_ref_cm2,C_total,C_1H,C_4He,C_3He,C_12C,C_13C,C_14N,C_15N,C_16O,C_17O,C_18O,C_20Ne,C_23Na,C_24Mg,C_27Al,C_28Si,C_32S,C_40Ar,C_40Ca,C_56Fe,C_58Ni,C_elastic_same_coupling,C_inel_over_C_el
Higgsino,0.0,7.4e-39,4.0964030528604055e+24,8.517223620145863e+19,5.0174323407683657e+23,1.3734792177332062e+20,1.3894384915245156e+23,1.0231999792136847e+22,2.7081891777538945e+23,6.013520643473253e+20,1.3056522028234826e+24,3.403877691122701e+21,6.268593118304198e+21,4.688509938810744e+23,1.440127258356283e+22,3.284285303181357e+23,2.9759112874354264e+22,3.2785007475657094e+23,1.468604766388592e+23,3.3737054450512745e+22,2.6025850512065948e+22,4.5994703455018964e+23,2.265610564303381e+22,4.0964030528604055e+24,1.0
Higgsino,200.0,7.4e-39,1.3377738533693e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.984253247296128e+20,4.030633746913365e+22,9.79575968346414e+21,1.3319725083071727e+23,1.0616227078147078e+23,4.2306355449484475e+22,3.263672860236005e+22,9.249160342725255e+23,4.745469095541441e+22,4.0964030528604055e+24,0.32657280939070904
Higgsino,210.0,7.4e-39,1.219995852459671e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7441967859832586e+20,2.1353427803904764e+22,7.279144267424172e+21,1.037807848997863e+23,9.160830164779385e+22,3.904285290516544e+22,3.011914193077645e+22,8.81158039560295e+23,4.52797397659266e+22,4.0964030528604055e+24,0.29782124383678055
Higgsino,220.0,7.4e-39,1.1061690024436093e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.80598414682778e+19,7.857440882504532e+21,5.027372181563756e+21,7.664117269204645e+22,7.723150753094207e+22,3.5627755427218485e+22,2.7484622563261637e+22,8.3335462734832e+23,4.289644397628407e+22,4.0964030528604055e+24,0.27003421981906833
Higgsino,230.0,7.4e-39,9.99599275877098e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85225973902704e+20,3.1098144125185813e+21,5.255444225197188e+22,6.3385083490947165e+22,3.212491387880075e+22,2.478242390540358e+22,7.823114412243665e+23,4.034593073918685e+22,4.0964030528604055e+24,0.2440187801293394
Higgsino,240.0,7.4e-39,9.013474913954926e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.597766016521731e+21,3.2255805771053806e+22,5.028111814754193e+22,2.8602925479795295e+22,2.2065455319475804e+22,7.288746394324933e+23,3.766978122861067e+22,4.0964030528604055e+24,0.22003388820982994
Higgsino,250.0,7.4e-39,8.084616862653159e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.600366145615851e+20,1.63854713465197e+22,3.826100371328362e+22,2.5109762610971344e+22,1.9370727463293255e+22,6.738650404582985e+23,3.4909644058387963e+22,4.0964030528604055e+24,0.19735892094426338
Higgsino,260.0,7.4e-39,7.219343783671988e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.988306958436211e+19,5.636372208996579e+21,2.755609659175972e+22,2.171154206667589e+22,1.6749236094135876e+22,6.181046790723774e+23,3.210656926366898e+22,4.0964030528604055e+24,0.1762361684266132
Higgsino,270.0,7.4e-39,6.43434393303915e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6267972368594407.0,7.079468853963657e+20,1.8366493965098338e+22,1.8462305965198237e+22,1.424266215177011e+22,5.6235666424711656e+23,2.929831382136293e+22,4.0964030528604055e+24,0.157073018694931
Higgsino,280.0,7.4e-39,5.72043044826926e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646216203072427e+17,1.087665332171459e+22,1.540324909184913e+22,1.188278110284501e+22,5.073581786431234e+23,2.6522018045773587e+22,4.0964030528604055e+24,0.13964520518250373
Higgsino,290.0,7.4e-39,5.051198384127786e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.277907109229526e+21,1.2573053276367945e+22,9.699461976958507e+21,4.537589805408593e+23,2.3810435509363315e+22,4.0964030528604055e+24,0.1233081393345968
Higgsino,300.0,7.4e-39,4.427614754596673e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7049648187237555e+21,1.0003286972845034e+22,7.717053255829351e+21,4.021431225580976e+23,2.1193047854171566e+22,4.0964030528604055e+24,0.10808542756809518
Higgsino,310.0,7.4e-39,3.856298333851823e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3433147236027302e+20,7.721011024154935e+21,5.956414830183714e+21,3.5302268247772253e+23,1.8695393580760863e+22,4.0964030528604055e+24,0.09413864515014156
Higgsino,320.0,7.4e-39,3.333268566614589e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.113017430119725e+17,5.741333520464621e+21,4.4292187029614373e+21,3.0681644788552346e+23,1.6338945250766365e+22,4.0964030528604055e+24,0.08137062011725284
Higgsino,330.0,7.4e-39,2.852097542743818e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.071566985618667e+21,3.1410947545642807e+21,2.638564013515177e+23,1.414069118268116e+22,4.0964030528604055e+24,0.06962443651027642
Higgsino,340.0,7.4e-39,2.413022532817634e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7112164384622054e+21,2.091658217479784e+21,2.2438608028940887e+23,1.2113298336412535e+22,4.0964030528604055e+24,0.058905886497977455
Higgsino,350.0,7.4e-39,2.0175091336055602e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650220426956671e+21,1.2731477331809972e+21,1.8856248114504598e+23,1.0265064055372383e+22,4.0964030528604055e+24,0.04925074773090966
Higgsino,360.0,7.4e-39,1.6660353830772116e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78716962146672e+20,6.779531822655401e+20,1.5644682348462388e+23,8.600044678685075e+21,4.0964030528604055e+24,0.040670689909623636
Higgsino,365.0,7.4e-39,1.5067024635904748e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.943884021343508e+20,4.585979184490946e+20,1.41780820695873e+23,7.836439342591037e+21,4.0964030528604055e+24,0.0367811087958834
Higgsino,366.0,7.4e-39,1.4761431858867325e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.452379577659187e+20,4.2067879065993563e+20,1.3895917065036803e+23,7.689231189879364e+21,4.0964030528604055e+24,0.03603510608791247
Higgsino,370.0,7.4e-39,1.35815949844198e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.741226639123634e+20,2.8866167857689965e+20,1.28034717513574e+23,7.118447988134736e+21,4.0964030528604055e+24,0.033154928382684766
Higgsino,380.0,7.4e-39,1.0926097316991486e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1089114380321522e+20,8.556737418044555e+19,1.032473814348678e+23,5.817133217063395e+21,4.0964030528604055e+24,0.026672417669843528
dark photon,200.0,1.2284564020024955e-43,2.0850591559222346e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6092732393399306e+16,7.84341697525316e+17,1.6249355839951222e+17,2.594200106563553e+18,2.0680765825172495e+18,5.3568878507286675e+17,6.359483366478886e+17,1.325642310811642e+19,7.973266519861407e+17,7.701709491628602e+19,0.2707267987955916
dark photon,210.0,1.997089141133576e-43,3.0594578842265387e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9810938869310968.0,6.755185358884124e+17,1.9629808204757286e+17,3.2859644829435817e+18,2.901141767629631e+18,8.03685600490885e+17,9.541035528423348e+17,2.0531257932408308e+19,1.236797949145351e+18,1.2520591181603553e+20,0.24435410755378595
dark photon,220.0,3.2216596328616157e-43,4.428343848260598e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031498203613172.2,4.009894963472738e+17,2.1870513112358717e+17,3.914625857767879e+18,3.9455798527734605e+18,1.1830832623388529e+18,1.4045102097706401e+18,3.1323754206925308e+19,1.89015896735537e+18,2.019793826851384e+20,0.21924732066162686
dark photon,230.0,5.111562273802706e-43,6.286875586364252e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.977406597674117e+16,2.1464778303513056e+17,4.259038355945162e+18,5.137802343560389e+18,1.692555118961484e+18,2.0093375729204436e+18,4.665494037030316e+19,2.820660252940014e+18,3.2046532231037216e+20,0.1961795910097063
dark photon,240.0,7.927404037980226e-43,8.715566149548876e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7103399988334602e+17,4.0540336819704274e+18,6.320807878720211e+18,2.3371610533571087e+18,2.774593438130574e+18,6.741369531946908e+19,4.0843361239580047e+18,4.970022771973245e+20,0.17536270052317166
dark photon,250.0,1.1976092885491158e-42,1.1712240452974975e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.056697379590291e+16,3.1111615173726643e+18,7.266213998071215e+18,3.099595023794692e+18,3.6797350906539064e+18,9.415695010633253e+19,5.71818181972884e+18,7.50831597266776e+20,0.1559902446249013
dark photon,260.0,1.766001447762688e-42,1.530660745303425e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6664846102461618e+16,1.5781169478934226e+18,7.716945326166005e+18,3.9521090370127836e+18,4.691822000589648e+18,1.2735540675221088e+20,7.755009620367292e+18,1.1071805308102516e+21,0.13824852431095985
dark photon,270.0,2.5697892598849564e-42,1.9737258219809377e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2175018033582.6267,2.8843413021125766e+17,7.484459450475109e+18,4.890245319812565e+18,5.805560430809214e+18,1.686062450747602e+20,1.0297635617007383e+19,1.6111088925971508e+21,0.12250728867862176
dark photon,280.0,3.7464772510776535e-42,2.5483144045714568e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97781891844495.03,6.461822969202668e+18,5.948159846105568e+18,7.061495139763845e+18,2.2176962710665042e+20,1.3590237613531333e+19,2.3488240492507753e+21,0.10849320132703488
dark photon,290.0,5.5654121858402013e-42,3.33194000608807e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.657959913287299e+18,7.212490976446968e+18,8.562497294286944e+18,2.946367183944929e+20,1.8124334030292877e+19,3.489190807800755e+21,0.09549320142191363
dark photon,300.0,8.580432285508911e-42,4.491231507847442e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.319857239533306e+18,8.847062364254953e+18,1.0503066940735916e+19,4.025817791948116e+20,2.487138504540841e+19,5.379433626448408e+21,0.08348892875573274
dark photon,310.0,1.4029525762212864e-41,6.38658246515616e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.213270766195289e+17,1.1165144698705957e+19,1.3255111793415367e+19,5.778430607985826e+20,3.5873602148292534e+19,8.795699346737038e+21,0.07261028615678418
dark photon,320.0,2.474197778226889e-41,9.730002842596696e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3575471191389777.0,1.464179699703127e+19,1.7382690814819901e+19,8.85681046640208e+20,5.529117433641906e+19,1.5511785751349538e+22,0.06272651646023526
dark photon,330.0,4.854071259037511e-41,1.6327371515492418e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0371120804253557e+19,2.4184808501355926e+19,1.4943009869456728e+21,9.388023529795956e+19,3.0432212838673338e+22,0.05365160792626802
dark photon,340.0,1.0945582445472826e-40,3.113736242054708e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.058794199744866e+19,3.631491779908396e+19,2.8654912683286415e+21,1.8134211392953405e+20,6.862245666536094e+22,0.045374887367249435
dark photon,350.0,2.9709931756012326e-40,7.063790804095287e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053482955927624e+19,5.999788249803598e+19,6.536138391559101e+21,4.17119700478874e+20,1.862640489543831e+23,0.037923532983142876
dark photon,360.0,1.0540284538161633e-39,2.068764831379611e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.546595846068527e+19,1.133463413563241e+20,1.9239039455695125e+22,1.2397965582839757e+21,6.608147374192344e+23,0.03130627563572548
dark photon,365.0,2.2659826985773214e-39,4.021570187394803e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3882705431933608e+20,1.648329899591437e+20,3.748334810951237e+22,2.428693720157182e+21,1.4206397906389596e+24,0.028308162377924287
dark photon,366.0,2.70289149819057e-39,4.699559669332399e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5190143865283137e+20,1.8035770349004754e+20,4.3820782298603884e+22,2.8425552525772246e+21,1.694556279939862e+24,0.027733275813649465
dark photon,370.0,5.471629757588452e-39,8.752386238523251e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1099779328073757e+20,2.5053090274144554e+20,8.173512876977712e+22,5.3272049194332e+21,3.430394661951616e+24,0.025514225332731406
dark photon,380.0,5.489679371924582e-38,7.063371379779954e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.274672099153215e+20,7.450932905438807e+20,6.612875198727058e+23,4.367705760483039e+22,3.4417107237854915e+25,0.02052285025282731
Z',200.0,2.8342962511883838e-43,2.1334376904588653e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62181121695946e+17,7.229491504274251e+18,1.6149798911766108e+18,2.390188083891906e+19,1.9052609723414344e+19,6.091947662348285e+18,5.858073425948076e+18,1.41556849228363e+20,7.875755649746966e+18,7.200309073783933e+20,0.29629807117956025
Z',210.0,2.8342962511883838e-43,1.935575110465512e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081957454009582e+16,3.830028590756529e+18,1.200077584253915e+18,1.862317681914295e+19,1.6440654536421839e+19,5.622016218604073e+18,5.406183539617419e+18,1.3485976145986444e+20,7.514792723349947e+18,7.200309073783933e+20,0.26881833691179613
