model,delta_keV,C_first_step_heavy,failed_upscatter_rate,two_step_extra,failed_over_C,extra_over_C
Higgsino,300.0,4.677027970784176e+23,5.752374603650193e+23,2.5859007594660254e+21,1.2299209326057803,0.0055289401209898245
Higgsino,350.0,2.1277688930838954e+23,2.3324056656629895e+23,1.217875723914338e+21,1.096174341698596,0.005723721819004517
Higgsino,366.0,1.5555638133431218e+23,1.6747476225597957e+23,9.14023735696799e+20,1.0766177563365475,0.005875835680006181
dark photon,250.0,1.2326128856216758e+20,1.798750377359066e+20,146678700610891.22,1.459298696566729,1.1899818858125349e-06
dark photon,300.0,4.7436412853234945e+20,5.8613403509640036e+20,3826013044053354.5,1.235620486122885,8.06556148309692e-06
dark photon,350.0,7.450245846635711e+21,8.173669842702348e+21,2.1547547153384566e+18,1.0971006878106326,0.0002892192767452733
Z',250.0,1.3261159283317455e+20,1.930107698815006e+20,142353200442410.1,1.455459253281938,1.0734596983650628e-06
Z',300.0,5.550193304006139e+20,6.841596783827983e+20,4349348555896349.5,1.2326772076370216,7.836391126696402e-06
Z',350.0,1.2916469753186137e+22,1.4164255529902331e+22,5.360816949129581e+18,1.0966042425337155,0.00041503731681849173
