isotope,A,Z,mass_fraction,dmax_surface_utyp,dmax_centre_utyp,dmax_surface_umax,dmax_centre_umax
1H,1.0078,1,0.6821030561418867,2.422756852172133,10.271794213526155,5.291478117974096,13.140515479328117
4He,4.0026,2,0.3019252847445084,9.59552989358368,40.6822947784722,20.957338916095612,52.044103800984125
3He,3.016,2,0.0008078918052695235,7.236955970420225,30.68261777646375,15.806041008154734,39.251702814198254
12C,12.0,6,0.0019609385533796635,28.55595229271275,121.06904795627251,62.36828782852457,154.8813834920843
13C,13.0034,6,6.747606331816644e-05,30.915130082717965,131.07128518050274,67.5209046258028,167.67705972358758
14N,14.0031,7,0.0015207306419937558,33.261279261581464,141.01828483006022,72.64506598369091,180.40207155216964
15N,15.0001,7,3.0214800609530928e-06,35.59680005407858,150.92022316961487,77.74601416860354,193.06943728413978
16O,15.9949,8,0.006437890879901733,37.922907066361844,160.7822497809078,82.82640196919016,205.6857446837361
17O,16.9991,8,9.124933039675957e-06,40.26668966219479,170.71921579714495,87.94539453669418,218.3979206716443
18O,17.9992,8,1.8316807549206527e-05,42.59661684059742,180.59743881717137,93.0341258594174,231.03494783599132
20Ne,19.9924,10,0.0014272558927943355,47.227452717246734,200.2308548237794,103.14821002236181,256.15161212889444
23Na,22.9898,11,3.2810873323327113e-05,54.159669242603776,229.62146475156993,118.28867779984353,293.75047330880966
24Mg,23.985,12,0.0007946435968460205,56.452938362857665,239.34426811847112,123.29734524311984,306.1886749987333
27Al,26.9815,13,6.245287765115186e-05,63.33281817074789,268.5129853742221,138.3235058027749,343.503673006249
28Si,27.9769,14,0.0007463921647832513,65.60994630092142,278.167355572372,143.29692014348086,355.85432941493144
32S,31.9721,16,0.00034714148627691785,74.7083121353561,316.74181732527194,163.1684164015848,405.2019215915006
40Ar,39.9624,18,7.488329001888855e-05,92.70895354479316,393.05937436920027,202.48313345300406,502.83355427741105
40Ca,39.9626,20,7.200822126573502e-05,92.7094008739096,393.0612709163613,202.48411045250322,502.83598049495487
56Fe,55.9349,26,0.001450312427646151,127.928579735482,542.3804885304197,279.4053723248793,693.857281119817
58Ni,57.9353,28,7.999480281063197e-05,132.26942991030407,560.784448328344,288.8861065111769,717.4011249292167
