Rd_sigma,Rd_mm,hitzone_cm2,p_V,p_G,p_strip,p_below,p_empty,p_none,pV_over_pVpE
1.742497377318659835e+00,5.356302025841595871e+00,9.788977554985351048e+00,1.195648841558412390e-02,9.871767358507919574e-03,5.267543847425173315e-02,0.000000000000000000e+00,6.254720583275964751e-02,9.254963057516562008e-01,1.604818195421218174e-01
2.000000000000000000e+00,6.147845150945165926e+00,1.068656723415718091e+01,1.454845443574572308e-02,1.138792812729061237e-02,5.615926377016787485e-02,1.588624334937750737e-02,8.343343524683599632e-02,9.020181103174182979e-01,1.484810558652861767e-01
3.000000000000000000e+00,9.221767726417748889e+00,1.454560540204727381e+01,2.012257490921150888e-02,1.427532253254590149e-02,6.510015300960701745e-02,7.770323940011315822e-02,1.570787149422660789e-01,8.227987101485223498e-01,1.135577225542623026e-01
5.000000000000000000e+00,1.536961287736291482e+01,2.404477627685365704e+01,2.341130598855633085e-02,1.630430238488743064e-02,6.891285141345764031e-02,1.171568641113040626e-01,2.023740179096491509e-01,7.742146761017945078e-01,1.036883424677825100e-01
1.000000000000000000e+01,3.073922575472582963e+01,5.818242160818909525e+01,2.210138767729186854e-02,1.352839038910151268e-02,5.852826497139076989e-02,1.190520650722824286e-01,1.911087204327747147e-01,7.867898918899334237e-01,1.036601307189542465e-01
2.000000000000000000e+01,6.147845150945165926e+01,1.709850757465148945e+02,1.610363404784273186e-02,8.127067650313093278e-03,4.138784451548359333e-02,8.746352434915175000e-02,1.369784365149484540e-01,8.469179294372087830e-01,1.051960820012383113e-01
