drift_us,survival_tau566us,logS2c_70keV_ER
9.380526315789473983e+02,1.905459788939491972e-01,3.906309353511610460e+00
9.402882205513784584e+02,1.897946066024376044e-01,3.904593432166330036e+00
9.425238095238095184e+02,1.890461971670499286e-01,3.902877510821049167e+00
9.447593984962406921e+02,1.883007389044747681e-01,3.901161589475768743e+00
9.469949874686717521e+02,1.875582201774712021e-01,3.899445668130487874e+00
9.492305764411028122e+02,1.868186293946868803e-01,3.897729746785207006e+00
9.514661654135338722e+02,1.860819550104771125e-01,3.896013825439926137e+00
9.537017543859649322e+02,1.853481855247248178e-01,3.894297904094645713e+00
9.559373433583959923e+02,1.846173094826607797e-01,3.892581982749364844e+00
9.581729323308270523e+02,1.838893154746849001e-01,3.890866061404084419e+00
9.604085213032582260e+02,1.831641921361880920e-01,3.889150140058803551e+00
9.626441102756892860e+02,1.824419281473750321e-01,3.887434218713522682e+00
9.648796992481203461e+02,1.817225122330870524e-01,3.885718297368241814e+00
9.671152882205514061e+02,1.810059331626265311e-01,3.884002376022961389e+00
9.693508771929824661e+02,1.802921797495813105e-01,3.882286454677680965e+00
9.715864661654135261e+02,1.795812408516501979e-01,3.880570533332400096e+00
9.738220551378446999e+02,1.788731053704689933e-01,3.878854611987119227e+00
9.760576441102757599e+02,1.781677622514373227e-01,3.877138690641838359e+00
9.782932330827068199e+02,1.774652004835457764e-01,3.875422769296557490e+00
9.805288220551378799e+02,1.767654090992043792e-01,3.873706847951277066e+00
9.827644110275689400e+02,1.760683771740710890e-01,3.871990926605996197e+00
9.850000000000000000e+02,1.753740938268815164e-01,3.870275005260715773e+00
