Rd_sigma,target_NV(-1=ML),area_fraction,n_hitzones,N_empty_expected,N_allenergy_affected
1.742497377318659835e+00,1.000000000000000056e-01,1.589689500071043201e-03,2.703881188537113456e+00,5.231235431235431443e-01,6.492528194708006595e+01
1.742497377318659835e+00,1.000000000000000021e-03,1.589689500071043011e-05,2.703881188537112998e-02,5.231235431235430923e-03,6.492528194708004907e-01
1.742497377318659835e+00,-1.000000000000000000e+00,2.551162634784069974e-03,4.339237729621508777e+00,8.395181804578781826e-01,1.041932738115268222e+02
2.000000000000000000e+00,1.000000000000000056e-01,1.306468956954937250e-03,2.035511234824395110e+00,5.734865900383141479e-01,7.017277268425353043e+01
2.000000000000000000e+00,1.000000000000000021e-03,1.306468956954937223e-05,2.035511234824395263e-02,5.734865900383140890e-03,7.017277268425352599e-01
2.000000000000000000e+00,-1.000000000000000000e+00,1.939858901838881818e-03,3.022348573723786291e+00,8.515189441347138510e-01,1.041932738115267512e+02
3.000000000000000000e+00,1.000000000000000056e-01,9.445661987956753243e-04,1.081217907310194404e+00,7.806094182825489280e-01,9.175357824012296248e+01
3.000000000000000000e+00,1.000000000000000021e-03,9.445661987956752837e-06,1.081217907310194279e-02,7.806094182825487789e-03,9.175357824012294605e-01
3.000000000000000000e+00,-1.000000000000000000e+00,1.072627863369734471e-03,1.227806431390311204e+00,8.864422774457376697e-01,1.041932738115268080e+02
5.000000000000000000e+00,1.000000000000000056e-01,8.118771375362826212e-04,5.621888172372140335e-01,8.644285714285717681e-01,1.004869702145167878e+02
5.000000000000000000e+00,1.000000000000000021e-03,8.118771375362826686e-06,5.621888172372141099e-03,8.644285714285718930e-03,1.004869702145167798e+00
5.000000000000000000e+00,-1.000000000000000000e+00,8.418219467862503953e-04,5.829242661324984809e-01,8.963116575322175317e-01,1.041932738115267654e+02
1.000000000000000000e+01,1.000000000000000056e-01,8.599959590548265573e-04,2.461031932780454456e-01,8.646910466582599097e-01,1.005143183679924164e+02
1.000000000000000000e+01,1.000000000000000021e-03,8.599959590548265776e-06,2.461031932780454682e-03,8.646910466582597918e-03,1.005143183679924279e+00
1.000000000000000000e+01,-1.000000000000000000e+00,8.914729353339573455e-04,2.551108918555425320e-01,8.963398692810458090e-01,1.041932738115267654e+02
2.000000000000000000e+01,1.000000000000000056e-01,1.180299057685141925e-03,1.149334614678879790e-01,8.506057459328461023e-01,9.904672477279170550e+01
2.000000000000000000e+01,1.000000000000000021e-03,1.180299057685141891e-05,1.149334614678879747e-03,8.506057459328461579e-03,9.904672477279170550e-01
2.000000000000000000e+01,-1.000000000000000000e+00,1.241628364582305147e-03,1.209054983726211008e-01,8.948039179987617997e-01,1.041932738115267938e+02
