delta_keV,E_lo_keVee,E_hi_keVee,S0,Sm_fixed_phase,A1,t_peak,A2,A3,A4,A2_over_A1,frac_variance_fundamental,mod_fraction,max_over_min,zero_fraction,S0_smeared,Sm_smeared
300,1,2,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.03311e-17,6.95491e-17
300,2,3,0,0,0,0,0,0,0,nan,nan,nan,inf,1,1.91588e-15,2.13479e-15
300,3,4,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.11473e-14,4.34619e-14
300,4,5,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.10341e-13,6.01243e-13
300,5,6,0,0,0,0,0,0,0,nan,nan,nan,inf,1,6.4021e-12,5.82391e-12
300,6,7,0,0,0,0,0,0,0,nan,nan,nan,inf,1,4.85645e-11,4.07273e-11
300,7,8,0,0,0,0,0,0,0,nan,nan,nan,inf,1,2.71618e-10,2.1094e-10
300,8,9,1.4905e-11,2.6728e-11,2.67294e-11,151.901,1.89536e-11,9.93625e-12,3.00248e-12,0.709092,0.604128,1.79322,inf,0.589041,1.14013e-09,8.24915e-10
300,9,10,5.06481e-11,8.14444e-11,8.14487e-11,151.901,4.71125e-11,2.16831e-11,6.35219e-12,0.578431,0.708031,1.60805,390.722,0,3.66221e-09,2.47829e-09
300,10,11,1.09105e-09,1.09273e-09,1.09279e-09,151.9,1.62311e-10,1.43927e-12,1.5134e-13,0.148529,0.978414,1.00154,14.4565,0,9.21392e-09,5.83946e-09
300,11,12,8.05909e-09,6.45256e-09,6.4529e-09,151.9,6.89786e-10,5.49965e-12,1.11483e-12,0.106895,0.988702,0.800656,6.59854,0,1.86553e-08,1.10772e-08
300,12,13,2.43109e-08,1.59116e-08,1.59124e-08,151.899,1.32629e-09,8.95408e-12,2.70972e-12,0.0833493,0.9931,0.654504,4.26607,0,3.12863e-08,1.74308e-08
300,13,14,4.54659e-08,2.57645e-08,2.57659e-08,151.899,1.81477e-09,1.08129e-11,4.38425e-12,0.0704331,0.995063,0.566677,3.39201,0,4.47044e-08,2.34507e-08
300,14,15,6.43088e-08,3.27428e-08,3.27445e-08,151.899,2.04794e-09,1.1236e-11,5.58483e-12,0.062543,0.996103,0.50915,2.94639,0,5.5828e-08,2.77206e-08
300,15,16,7.4725e-08,3.5281e-08,3.52829e-08,151.899,2.03203e-09,1.06238e-11,6.03375e-12,0.0575926,0.996694,0.472145,2.69997,0,6.22548e-08,2.94463e-08
300,16,17,7.60371e-08,3.38468e-08,3.38486e-08,151.899,1.82982e-09,9.30509e-12,5.80303e-12,0.0540591,0.997086,0.445135,2.53675,0,6.30439e-08,2.85951e-08
300,17,18,6.96312e-08,2.95647e-08,2.95662e-08,151.899,1.51988e-09,7.61877e-12,5.08031e-12,0.0514061,0.997364,0.424589,2.42097,0,5.86987e-08,2.56951e-08
300,18,19,5.76397e-08,2.3611e-08,2.36122e-08,151.899,1.16859e-09,5.82578e-12,4.06471e-12,0.049491,0.997556,0.40963,2.34086,0,5.06652e-08,2.15319e-08
