variant,n,p10,p50,p90,sd,sd_1684,halfwidth_1090,sigma_eq_1090,skew,offset,nsig,nsig_1090,P_below,P_below_gauss,mean_E,sd_E
"baseline (paper scale, LZ widths)",19695.0,3.9762160668718445,4.0151787093172056,4.0560331021247045,0.03127913241537988,0.03081603333026095,0.039908517626429996,0.03113960488953651,0.09343229468550028,0.0481926841992677,1.540729568815389,1.5476331305494933,0.05651180502665651,0.061691308601990166,248.96601097449445,10.651011821860678
Table S5 as printed,21553.0,3.9866194715269185,4.025042231462467,4.0660550298607605,0.031219858121715446,0.030886799965472278,0.039717779166920986,0.03099077650352761,0.1113295213609046,0.05805620634452913,1.8595922543333805,1.8733382281634898,0.02718879042360692,0.03147161800938425,266.7450125518305,11.571480294286468
no p(E) break,22066.0,4.092487294703526,4.133600162793639,4.177373773644773,0.03317996557458648,0.03323027808344081,0.042443239470623784,0.03311738410629196,0.10673548039199568,0.16661413767570155,5.021528346711615,5.031017460224057,0.0,2.563096826977151e-07,270.8112037763617,11.822105096343954
NEST default yields,22473.0,4.132552305665754,4.172138020875639,4.214646887164474,0.03204701665060934,0.03171691827550527,0.04104729074936042,0.032028160697066495,0.1247533461483541,0.2051519957577015,6.4015941950028825,6.405363008450612,0.0,7.68814513534812e-11,277.06722044093453,11.883086335816328
field 90 V/cm,20049.0,3.974952672113942,4.013916450744444,4.054466252488609,0.031069247556224724,0.03067562866032958,0.03975679018733369,0.031021215814086834,0.08105734650070194,0.046930425626505734,1.5105105310831135,1.5128493321397956,0.05890568108135069,0.0654566021297243,249.0725330308983,10.628282841276597
field 100 V/cm,20129.0,3.9769635748039445,4.016233865340278,4.057601402069592,0.0313684433579221,0.031190568666095375,0.040318913632823694,0.03145982649252785,0.09806217826507392,0.04924784022234041,1.5699803672247852,1.5654199565924964,0.05186546773312137,0.05820983940779205,249.16713966617746,10.688536540863051
width[0] x0.7,10024.0,3.9776863723587925,4.01587505295986,4.056382052112147,0.03083065793019065,0.030468051143473174,0.039347839876677115,0.030702122250840444,0.10725479784425965,0.04888902784192206,1.5857276854947655,1.5923663987294483,0.0487829209896249,0.05640054800970335,249.28388059801034,10.708477319867653
width[0] x1.3,9877.0,3.9756964252334765,4.015258149192406,4.0560153519837145,0.03147938853124112,0.031293474389344045,0.040159463375119,0.031335411497439916,0.08641853297619943,0.04827212407446835,1.5334517704040407,1.5404975319507819,0.057001113698491444,0.06258229065984655,249.0370022461051,10.599109731024683
width[1] x0.7,9848.0,3.975729357956027,4.0148613721067266,4.056443233858156,0.03167909437243189,0.031219165561788387,0.04035693795106443,0.0314894959043886,0.12130535374257813,0.0478753469887887,1.5112599629884396,1.5203592694577386,0.05848903330625508,0.06536111515556875,249.0809340602181,10.661256051707412
width[1] x1.3,9991.0,3.975511954744087,4.015144771326963,4.056601239182462,0.031591024235647774,0.03144104547489901,0.04054464221918752,0.031635956787755555,0.09642999286912372,0.048158746209024716,1.5244439638864788,1.522278795995327,0.05735161645480933,0.06369892241346417,249.0005163342724,10.681007505617252
width[2] x0.7,10093.0,3.9773447466284346,4.01499093845685,4.055864519901092,0.030766639283434375,0.0304197593424953,0.03925988663632851,0.030633494566423617,0.10075064157415103,0.048004913338912214,1.560291096361617,1.5670727097367745,0.05122362033092242,0.05934555324500461,249.1737095358683,10.523236734535164
width[2] x1.3,9960.0,3.975900273279807,4.0150682072927175,4.0577622076564275,0.0320599527502095,0.031313692511558466,0.04093096718831024,0.03193739637040437,0.12886488759289494,0.048082182174779664,1.499758360513038,1.505513524556945,0.05923694779116466,0.0668385035064725,249.2194178191074,10.64099076551056
width[3] x0.7,9907.0,3.955414302121587,4.013576837970214,4.077292688615604,0.04773795556720915,0.046871028651250146,0.06093919324700825,0.0475493080891138,0.1558575449041571,0.04659081285227584,0.9759700074855893,0.9798420781425125,0.15171091147673363,0.16453966372787082,249.0923285138935,10.778262512110823
width[3] x1.3,9909.0,3.977335726996376,4.015542972478465,4.054315550207234,0.030246398092411354,0.02957714502953812,0.03848991160542914,0.030032702563537093,0.08854577933933722,0.04855694736052696,1.6053794971610063,1.6168024591792907,0.0512665253809668,0.05420515684147697,249.15483594631544,10.631816640769523
width[4] x0.7,9914.0,3.977152890774581,4.015509174823853,4.055722888310679,0.03048085496516663,0.029898698004316993,0.03928499876804881,0.03065308892638015,0.10436731061472869,0.04852314970591509,1.5919222003899534,1.582977487928008,0.05164413960056486,0.055701093304103194,248.98810509117305,10.66547727485781
width[4] x1.3,10045.0,3.966721997158662,4.01365856672452,4.0645298643277945,0.03828761003428118,0.038290641591317565,0.04890393358456624,0.03815849998795742,0.16133645826913512,0.046672541606582296,1.21899856284562,1.223123068813288,0.1006470881035341,0.1114223689780835,249.14069308716614,10.764270509999054
width[5] x0.7,9873.0,3.975881141872656,4.016281077211777,4.056780384867516,0.03168124739397408,0.0314345810556238,0.040449621497430144,0.03156181452670891,0.006307860295951506,0.04929505209383889,1.5559694187803677,1.5618573530404398,0.05844221614504203,0.05985768225347113,249.1067164402795,10.657251031258378
width[5] x1.3,9741.0,3.9768304790935867,4.014721131929011,4.0563735911881995,0.03133104472588197,0.030920807901243297,0.03977155604730642,0.031032737240407633,0.17847379969517005,0.047735106811072736,1.5235721383921708,1.5382177357180404,0.05235602094240838,0.06380781375532733,249.25059561981712,10.583061018431524
width[6] x0.7,10085.0,3.976224933368442,4.0153413482704545,4.056632399075631,0.03148999029836086,0.031126360708308987,0.040203732853594465,0.03136995384955873,0.13523546875804884,0.04835532315251667,1.5355775817763175,1.5414534361260106,0.05770946950917204,0.06232100797444248,249.08067463510312,10.675984004421773
width[6] x1.3,9894.0,3.975646591729384,4.0148864988028645,4.055594524859903,0.031363075823754215,0.03125000273137113,0.039973966565259644,0.031190673037811832,0.08692683829315503,0.04790047368492667,1.5272887759512135,1.5357306854795303,0.05700424499696786,0.06334460962311378,249.07879447993284,10.585341815522014
width[7] x0.7,9813.0,3.9761693575929407,4.015033942116699,4.055292344413523,0.031064564178382006,0.030542693416909072,0.03956149341029125,0.0308688306884295,0.12317312946498524,0.04804791699876132,1.5467114466134413,1.5565188550135467,0.05594619382451849,0.060966420836520784,249.05901710129226,10.564735260394698
width[7] x1.3,10067.0,3.976057129836241,4.015413282545885,4.056480038336944,0.03164100047348655,0.031209703384507348,0.04021145425035155,0.031375978659762445,0.11265013313456133,0.04842725742794718,1.5305223192460873,1.5434501008904573,0.05811065858746399,0.06294374660307113,248.80834258685056,10.608894775382138
width[8] x0.7,9868.0,3.976170288164247,4.015478203557782,4.056469739549257,0.03143920841927516,0.030926848405951946,0.04014972569250519,0.03132781343048158,0.09217475873495065,0.048492178439844214,1.5424109218384137,1.5478954044287663,0.05786380218889339,0.061486884587858635,249.01955262557493,10.609203435536612
width[8] x1.3,10069.0,3.976375984168827,4.015354077711236,4.0563366001387795,0.031063154608418866,0.030929008874649888,0.039980307984976315,0.031195621086904116,0.09261324023865539,0.04836805259329813,1.5570875914897973,1.5504757048611215,0.05402721223557454,0.05972484533887682,249.01820568662043,10.544221283258368
width[9] x0.7,9981.0,3.9763967200695847,4.015188186899328,4.056993154350417,0.03139078222493099,0.0311632767545571,0.04029821714041626,0.03144367754402017,0.07946796027381937,0.04820216178139036,1.535551469727554,1.5329683276998638,0.05510469892796313,0.06232421222781683,248.85635350148013,10.752811323915223
width[9] x1.3,9940.0,3.9762120957497347,4.015163802985134,4.055177813466543,0.030901866023573785,0.03078359111518636,0.03948285885840397,0.030807474140452533,0.10409923364649279,0.0481777778671959,1.5590572372051261,1.5638340763527527,0.05221327967806841,0.05949141683452538,249.15019816834717,10.772451653400692
width[10] x0.7,10101.0,3.976681811085959,4.015080408215184,4.056519400767265,0.0313624799990921,0.0310258870274005,0.03991879484065319,0.031147623939336136,0.14692080460454557,0.048094383097245785,1.53350063829895,1.5440787133848657,0.05425205425205425,0.06257627475080375,249.1087384798923,10.571593458865298
width[10] x1.3,9913.0,3.9761075630605407,4.0149898576104865,4.055711737835771,0.031145352889908797,0.030658073536149688,0.03980208738761504,0.03105656007148489,0.10960837090085188,0.04800383249254869,1.5412839489162475,1.5456905845996842,0.05386865731867245,0.06162384682821069,249.07354787209124,10.66438659538646
