r_min_cm,betagamma,P_higgsino,P_wino,ratio_H_over_W
12.0,0.5,2.2654921836211063e-15,0.029674567923408595,7.634457187273777e-14
12.0,1.0,4.759718671960672e-08,0.1722630776556851,2.763052150661253e-07
12.0,2.0,0.00021816779487267757,0.4150458741581286,0.0005256474246737306
12.0,3.0,0.0036240464991408056,0.5564131696537767,0.0065132291915301664
30.0,0.5,2.4429041106614636e-37,0.00015169141772501094,1.6104431926992772e-33
30.0,1.0,4.942574340019039e-19,0.012316306984035878,4.0130327592723156e-17
30.0,2.0,7.030344472370496e-10,0.11097885827506011,6.334850242328003e-09
30.0,3.0,7.906502332335973e-07,0.23093699039204685,3.4236621508376e-06
