M_GeV,dm_higgsino_MeV,dm_wino_MeV,ctau_higgsino_cm,ctau_wino_cm
100.0,257.99522972021396,147.2031801138303,1.8717976787311925,13.564076993146442
106.85530832138033,262.26083395544936,148.32892863434296,1.7673192880701714,12.462536314443645
114.18056916457242,266.41743868513066,149.382201322522,1.6729849536883938,11.599025795807249
122.00799922391079,270.46159731196946,150.36540326431776,1.5876304814048698,10.90341396972718
130.37202374745706,274.39041183875565,151.28113099208207,1.5102484593156618,10.33158344906168
139.30942794016843,278.20152731690774,152.13213559156478,1.4399638514222892,9.85414928498908
148.859518746218,281.8931213553341,152.92128697318688,1.3760139348282023,9.450645201480349
159.0642977219942,285.46388913613345,153.65153980398034,1.3177317040790801,9.106295487473329
169.96864576007508,288.9130244311017,154.32590150969548,1.2645320646933622,8.810113241422266
181.62052047660296,292.24019714528146,154.9474026686306,1.2159002865984143,8.553724657580156
194.0711671301696,295.4455279314959,155.5190700321796,1.1713823007178925,8.330612458295109
207.37534399984406,298.52956042388536,156.04390232487904,1.1305765079620422,8.135612290238042
221.59156321355627,301.4932316302415,156.52484890102906,1.0931268362027806,7.964567651893162
236.78234808601195,304.337841004026,156.96479126677073,1.0587168324024125,7.814087441209488
253.01450809791208,307.065018689018,157.3665274176854,1.027064617503033,7.6813718256133185
270.3594327258475,309.6766933944141,157.73275889209097,0.9979185636153781,7.564084734576954
288.89340541513917,312.17506031764987,158.06608040010005,0.9710535784346818,7.460258866838817
308.69793907648193,314.56254948790894,158.3689718575726,0.9462679021281721,7.368223816147525
329.8601345819216,316.8417948568715,158.64379263169616,0.9233803382951301,7.286550921304183
352.47306383683207,319.01560441605193,158.89277779069445,0.9022278538437091,7.214010404130857
376.63617911266266,321.0869315734235,159.1180361427073,0.8826634934076871,7.149537663334825
402.45575044070154,323.0588479768359,159.32154984769585,0.8645545627445288,7.092206477940586
430.0453329905367,324.93451792894325,159.50517539001805,0.847781042803341,7.041207486044924
459.5262664887442,326.71717449850274,159.67064570715337,0.8322342021347182,6.995830734448866
491.0282088742755,328.41009739654703,159.81957328114416,0.8178153802742284,6.955451400932816
524.6897065375585,330.01659265321126,159.95345401279167,0.8044349188599158,6.9195180120455
560.6588036512533,331.5399741022568,160.07367171331268,0.7920112206922696,6.887542641005728
599.0936932725084,332.98354665535743,160.18150306427313,0.7804699198366474,6.859092689757692
640.1634130802835,334.35059132714986,160.27812291281353,0.7697431482994552,6.833783948494476
684.0485888076086,335.644351954537,160.36460978468207,0.7597688868614564,6.811274693430048
730.9422286384206,336.86802353980903,160.4419515138869,0.7504903893869596,6.791260634606672
781.0505720627531,338.0247421359954,160.51105090241887,0.7418556714030785,6.773470564816573
834.5939969235588,339.1175761851781,160.57273133675525,0.7338170549943381,6.757662591159404
891.8079886444003,340.14951921472357,160.62774230142657,0.7263307631296559,6.743620854077898
952.9441759006735,341.1234837932911,160.67676474104866,0.7193565574520794,6.731152657222932
1018.2714372893017,342.0422966471333,160.72041623269553,0.7128574143456455,6.720085945921108
1088.0770838640344,342.90869483752437,160.7592559397556,0.7067992347668298,6.710267083402411
1162.6681227371969,343.72532290185035,160.79378932626432,0.701150583907198,6.701558883037596
1242.372607305235,344.49473086369346,160.82447261825038,0.6958824572532805,6.693838861887611
1327.5410800363807,345.21937302086724,160.85171700315246,0.6909680700413642,6.686997686985268
1418.5481141658572,345.90160742489036,160.87589256492495,0.6863826674768579,6.6809377900020115
1515.7939610790513,346.54369596977216,160.8973319559605,0.6821033534143525,6.6755721298500195
1619.7063106278827,347.14780501373565,160.9163338094149,0.6781089354711943,6.670823086029608
1730.7421721222781,347.71600646232633,160.9331658994549,0.6743797847950275,6.666621467692761
1849.3898842694155,348.25027924701897,160.9480680582056,0.6708977089165459,6.662905625632792
1976.171262900501,348.75251113878073,160.96125485971044,0.6676458363043042,6.6596206560949875
2111.6438959308457,349.22450084128604,160.97291808234775,0.664608511400504,6.656717686696194
2256.403595646513,349.6679603136365,160.98322896229138,0.6617711990578697,6.654153235811567
2411.087019102791,350.0845172772909,160.99234025159637,0.6591203974218972,6.651888637634907
2576.3744681590633,350.47571786677423,161.00038806496164,0.6566435584099939,6.649889533336104
2752.99288146469,350.843029388228,161.00749370273113,0.6543290150336502,6.648125378908108
2941.719031554747,351.1878431462673,161.01376504392042,0.6521659149417306,6.646569068348249
3143.382941116545,351.511477357364,161.01929795099412,0.6501441592987698,6.645196560609078
3358.8715334517547,351.8151800076619,161.0241776550779,0.648254347203613,6.643986516782221
3589.132533188948,352.10013178913414,161.02847990509426,0.6464877242003261,6.642920000096105
3835.178634402019,352.3674489782786,161.03227170173653,0.6448361351945208,6.641980282126824
4098.091954465977,352.61818632764073,161.0356125715248,0.6432919808608031,6.641152517735854
4379.028793238296,352.85333978171366,161.03855538319706,0.6418481782815814,6.640423535568399
4679.224718496807,353.0738493581326,161.04114678065818,0.6404981233440112,6.6397817251226865
4999.999999999999,353.2806017518745,161.04342812465535,0.6392356572893381,6.639216799052764
