mu_GeV,delta_keV,ee_channel_open,tau_nunu_s,mu12_GeV_inv,tau_gamma_s
300,310,False,1047950.0886851883,2.810124414810102e-06,0.00878978335401059
500,342,False,641236.9468763451,1.6860746488860612e-06,0.01818370736278051
1000,366,False,456818.4553183681,8.430373244430306e-07,0.05934409166644626
2000,375,False,404569.11856906017,4.215186622215153e-07,0.22069217313655423
4000,376,False,399217.75060532894,2.1075933111075766e-07,0.875744041071401
