m_GeV,betagamma,N_tracklets_HL_LHC_upper
200,1.0,0.004649149853243703
200,2.0,21.309973160598428
300,1.0,0.001083368517344718
300,2.0,4.965758204491045
500,1.0,0.00012367272392594108
500,2.0,0.5668697526970756
1000,1.0,3.5802880654359633e-06
1000,2.0,0.016410708406918693
