model,M_GeV,dm_MeV,Gamma_pi_GeV,Gamma_e_GeV,Gamma_mu_GeV,Gamma_tot_GeV,BR_pi,BR_e,BR_mu,tau_s,tau_ns,ctau_cm,delta_keV,ctau_cm_dm_minus10MeV,ctau_cm_dm_plus10MeV
wino,200.0,155.76288873556396,2.337012770039548e-15,5.3639007849508603e-17,4.4062186482628256e-18,2.3950579965373194e-15,0.9757645841638528,0.02239570312161867,0.0018397127145284846,2.7482006738526336e-10,0.2748200673852634,8.238898350915374,,,
wino,500.0,159.85756623219334,2.774228864824952e-15,6.107000240539867e-17,5.8842404511854645e-18,2.8411831076815362e-15,0.9764343795105764,0.021494567611741518,0.0020710528776820463,2.3166757475800737e-10,0.23166757475800737,6.945219167560179,,,
wino,660.0,160.31912437848095,2.824008090609558e-15,6.195676621147723e-17,6.071242115363727e-18,2.8920360989363984e-15,0.9764774691602711,0.021423234044091983,0.0020992967956370056,2.2759397790438e-10,0.22759397790438002,6.823095806195178,,,
wino,1000.0,160.70899612208248,2.8661575589480004e-15,6.271380181345484e-17,6.232601397498901e-18,2.9351039621589545e-15,0.9765097236418707,0.021366807657240486,0.002123468700888683,2.2425440750515868e-10,0.22425440750515868,6.722978004330517,,,
wino,2000.0,160.96347076194814,2.893721495474173e-15,6.321190763951797e-17,6.339623623699155e-18,2.9632730267373904e-15,0.9765288143766507,0.021331786531028924,0.0021393990923202844,2.2212263063883095e-10,0.22212263063883095,6.659068941664124,,,
wino,2900.0,161.0124796034069,2.8990348609703916e-15,6.330819942218638e-17,6.360390305423012e-18,2.968703450698001e-15,0.9765323175976943,0.02132520154793547,0.002142480854370132,2.2171631856500917e-10,0.22171631856500917,6.646888012131513,,,
higgsino,300.0,313.89166623845017,1.9292591837624616e-14,8.913480467950908e-16,5.186723326965196e-16,2.0702612217116227e-14,0.9318916683216502,0.04305485884810971,0.025053472830240172,3.179357238096814e-11,0.03179357238096814,0.9531473212691352,310.0,1.0640179459782408,0.8570534788312739
higgsino,500.0,329.2376316651725,2.251116216459098e-14,1.1316086509274702e-15,6.918753528547318e-16,2.4334646168373183e-14,0.9250663440443972,0.04650195622725672,0.028431699728345996,2.7048266715932388e-11,0.027048266715932388,0.8108866363408959,342.0,0.9001035331002044,0.7329409262165474
higgsino,1000.0,342.2037985000754,2.5481923917522106e-14,1.3726930430054146e-15,8.705506997670809e-16,2.77251676602946e-14,0.9190899845851949,0.04951072108289745,0.03139929433190777,2.3740523702679967e-11,0.023740523702679966,0.7117229955033688,366.0,0.7866763363994154,0.6458465769714431
higgsino,2000.0,349.25712341860043,2.719813377762814e-14,1.5201129541792843e-15,9.817257737256852e-16,2.969997250553311e-14,0.9157629278128497,0.051182301730955705,0.03305477045619451,2.2161973378169805e-11,0.022161973378169806,0.6643992473172089,375.0,0.7327988105733771,0.604102515669108
higgsino,4000.0,352.9466440146908,2.8124644456250555e-14,1.6021193915018795e-15,1.0441128105472527e-15,3.0770876658299684e-14,0.9140020535835018,0.05206609513576362,0.03393185128073461,2.1390680782650503e-11,0.021390680782650502,0.6412764770124157,376.0,0.7065354225300776,0.5836617501505716
