l_deg,b_deg,Dsr_NFW,Dsr_Einasto,Dsr_Burkert
0,0,1.469510010673443e+23,1.917350731192303e+23,3.864718718753933e+22
0,5,8.348904136751398e+22,1.0590510913771281e+23,3.801211777546487e+22
0,10,6.304460460257297e+22,7.505765195221991e+22,3.6576548647007766e+22
10,0,6.304460460257297e+22,7.505765195221991e+22,3.6576548647007766e+22
30,0,3.3103158018622674e+22,3.476806080405012e+22,2.8092049761515575e+22
0,30,3.3103158018622674e+22,3.476806080405012e+22,2.8092049761515575e+22
60,0,1.8404617125733224e+22,1.8203196699221944e+22,1.7372511902075959e+22
90,0,1.244100999687414e+22,1.2087188159139678e+22,1.1625690405964245e+22
0,90,1.244100999687414e+22,1.2087188159139678e+22,1.1625690405964245e+22
180,0,7.893921834128504e+21,7.614077122688511e+21,7.06802864626648e+21
