ROI,Omega_sr,Phi_NFW_at_1e-22,Phi_Einasto_at_1e-22,Phi_Burkert_at_1e-22
cone_5,0.02390453394455124,1.873020183239153e-05,2.436813559284844e-05,7.2887582405881175e-06
cone_10,0.09625729443982398,5.952452343309643e-05,7.430075681082892e-05,2.8738837871566353e-05
cone_16,0.2430081231475503,0.00012404389383413998,0.00014890771280716785,7.005040242655559e-05
cone_30,0.8420276208168931,0.00031262361634251673,0.00035320902995475835,0.00021740479130655317
box_10,0.12207930436923227,7.17786402990812e-05,8.870870891687706e-05,3.616010124368297e-05
box_30,1.043746094423855,0.0003617324367885158,0.00040425118231298454,0.0002601303744621125
box_47.5,2.4530909432937875,0.0006397757476645014,0.0006866973594992733,0.0005133318319781462
all_sky,12.566370614359172,0.0016130525490240073,0.0016354634719408128,0.0014170814127804471
anticentre_cone_30,0.8420276208168931,5.418263269296345e-05,5.226909654959377e-05,4.863916600444641e-05
anticentre_cone_10,0.09625729443982398,6.062976467539836e-06,5.8481210277723874e-06,5.430212747486605e-06
high_lat_|b|>30,6.315910230654479,0.000702854305445443,0.0006911451896074581,0.0006519993374799234
