case,H,central,median,p16,p84
"i-a LZ counts, (S1c,d) only",WALL,0.4784802776203182,0.4643544037803983,0.39084669621671997,0.5391144768047328
"i-a LZ counts, (S1c,d) only",RFR,0.009968339117089966,0.009388408965050991,0.005676427362931055,0.015467761788861686
"i-a LZ counts, (S1c,d) only",ER,0.0,0.0,0.0,0.0
"i-a LZ counts, (S1c,d) only",ACC,0.42041454002275885,0.43068732876171334,0.3641105155917844,0.49738205398524193
"i-a LZ counts, (S1c,d) only",NEU,0.0,0.0,0.0,0.0
"i-a LZ counts, (S1c,d) only",ART,0.0,0.0,0.0,0.0
"i-a LZ counts, (S1c,d) only",NU,0.09113684323983297,0.09309700795585601,0.08039386161528808,0.10728051002673382
i-b LZ counts + topological handles,WALL,0.19212135389523682,0.084095403663455,0.0235810359947928,0.25451431223551507
i-b LZ counts + topological handles,RFR,0.0004168150062957007,3.502896083047995e-05,4.611136896988095e-06,0.00025126756573215855
i-b LZ counts + topological handles,ER,0.0,0.0,0.0,0.0
i-b LZ counts + topological handles,ACC,0.2548979085459145,0.4784493649537245,0.15725299445092028,0.8225562910313218
i-b LZ counts + topological handles,NEU,0.0,0.0,0.0,0.0
i-b LZ counts + topological handles,ART,0.0,0.0,0.0,0.0
i-b LZ counts + topological handles,NU,0.5525639225525529,0.3647068150870383,0.13231824747473428,0.6384076479513012
ii corpus counts + handles,WALL,0.009905648280671555,0.0033557885744287287,0.0007522622377633844,0.01511074603831372
ii corpus counts + handles,RFR,3.466242330323982e-05,2.596564309915794e-06,3.3013741049519335e-07,2.0492073698302818e-05
ii corpus counts + handles,ER,0.06226328250940143,0.07457754321447986,0.004470490359859562,0.5809724685538882
ii corpus counts + handles,ACC,0.021197363510614405,0.03042248823057373,0.004517915453237237,0.17847386870364912
ii corpus counts + handles,NEU,0.007062603828929638,0.018148702731806528,0.002784757224751146,0.10850467282460562
ii corpus counts + handles,ART,0.8535851078099761,0.5205630115948413,0.1625181973264901,0.8574302980451676
ii corpus counts + handles,NU,0.04595133163710371,0.05135632389340822,0.010965992351289254,0.20913074442436624
