H,median,p16,p84,p05,p95,central,weight_central,case,s
NU,0.0012917623423312542,0.000897727278713007,0.0018715728746055583,0.0007965572167184077,0.002107517779852308,0.0015990564398653962,3.23e-05,"i-a LZ counts, (S1c,d) only",0.105
NR,0.9985149422040535,0.9978253684711669,0.9989891078333318,0.9974081824516364,0.9991509678245446,0.9981283134833275,0.189,"i-a LZ counts, (S1c,d) only",1.0
WALL,0.0006844968233449939,0.00044066603920338954,0.001048806069694855,0.000345661113617076,0.0013397835976781318,0.0008955650841156183,0.00016957919999999996,"i-a LZ counts, (S1c,d) only",1.0
RFR,1.3982095645864278e-05,7.850264182336568e-06,2.4996214387875402e-05,5.593734339779061e-06,3.507906500647268e-05,1.8657605919075386e-05,3.5329e-06,"i-a LZ counts, (S1c,d) only",1.0
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",1.0
ACC,0.0006307792217930372,0.00042619579331563804,0.0009327046228300324,0.0003536026996573138,0.0011271458172764485,0.0007868842259736285,0.000149,"i-a LZ counts, (S1c,d) only",1.0
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",1.0
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",1.0
NU,0.00013733594096653178,9.48142291805187e-05,0.00020038112712607062,8.415502865675589e-05,0.00022617698738005673,0.0001705796006640819,3.23e-05,"i-a LZ counts, (S1c,d) only",1.0
NR,0.9993816551639688,0.9990935305859067,0.999575328350287,0.9989187605169079,0.9996420284953463,0.9992192782126283,0.4536,"i-a LZ counts, (S1c,d) only",2.4
WALL,0.00028371563486287834,0.00018572943463521547,0.00043753347359740943,0.00014581425798054719,0.0005580729321096996,0.00037355997756586173,0.00016957919999999996,"i-a LZ counts, (S1c,d) only",2.4
RFR,5.791925066627435e-06,3.237232562109678e-06,1.039692960589255e-05,2.3103811257406142e-06,1.4641123495856491e-05,7.782499532622123e-06,3.5329e-06,"i-a LZ counts, (S1c,d) only",2.4
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",2.4
