case,s,central,median,p16,p84
"i-a LZ counts, (S1c,d) only",0.00031622776601683794,0.1443024065744022,0.17443487258057894,0.12597381330994675,0.236844614954373
"i-a LZ counts, (S1c,d) only",0.00042169650342858224,0.1835943338231079,0.2198237838861994,0.16121532350208811,0.29271500537523704
"i-a LZ counts, (S1c,d) only",0.0005623413251903491,0.2307005726735734,0.27311597201079274,0.204014482212685,0.3556233857030003
"i-a LZ counts, (S1c,d) only",0.0007498942093324559,0.2856641352839162,0.333800137551319,0.254725355601097,0.42394779739260396
"i-a LZ counts, (S1c,d) only",0.001,0.3478023400656703,0.4005379480220531,0.31308330163056775,0.4953089323483699
"i-a LZ counts, (S1c,d) only",0.001333521432163324,0.4155932509537059,0.47118171924955493,0.3780294599164383,0.5668617081806128
"i-a LZ counts, (S1c,d) only",0.0017782794100389228,0.4867363445048619,0.542999053253538,0.44766799148709496,0.6357306618552213
"i-a LZ counts, (S1c,d) only",0.0023713737056616554,0.5584209619924537,0.6130723547488293,0.5194216417739805,0.6994551306386143
"i-a LZ counts, (S1c,d) only",0.0031622776601683794,0.6277506717647989,0.6787576647933957,0.5903829778083323,0.756305080112954
"i-a LZ counts, (S1c,d) only",0.004216965034285823,0.6921952334251271,0.7380564952395349,0.6577699204036704,0.8053934145875818
"i-a LZ counts, (S1c,d) only",0.005623413251903491,0.7499274653196899,0.7897990653058872,0.719340995498169,0.8465992934277027
"i-a LZ counts, (S1c,d) only",0.007498942093324558,0.7999606770929973,0.8336247798432397,0.7736466936388676,0.8803761618089864
"i-a LZ counts, (S1c,d) only",0.01,0.8420913432074262,0.8698191788257379,0.8200728833066774,0.9075281466987487
"i-a LZ counts, (S1c,d) only",0.01333521432163324,0.8767162607638038,0.8990927181444242,0.8587157927898688,0.9290141499750838
"i-a LZ counts, (S1c,d) only",0.01778279410038923,0.904608952468892,0.9223710534668421,0.8901708691558546,0.9458059626927793
"i-a LZ counts, (S1c,d) only",0.023713737056616554,0.9267184657353904,0.9406338826919858,0.9153135263514455,0.9588017947766637
"i-a LZ counts, (S1c,d) only",0.03162277660168379,0.9440206038136305,0.9548107307290314,0.9351199059448165,0.9687840582230824
"i-a LZ counts, (S1c,d) only",0.042169650342858224,0.957425296274518,0.9657254543788486,0.9505442807888154,0.9764071498514836
"i-a LZ counts, (S1c,d) only",0.05623413251903491,0.9677298579328703,0.9740754849674474,0.9624489677531087,0.9822028424542172
"i-a LZ counts, (S1c,d) only",0.07498942093324558,0.9756039077031194,0.9804324830350604,0.9715737264602115,0.9865943437298603
"i-a LZ counts, (S1c,d) only",0.1,0.9815932006565914,0.9852542674695361,0.9785306642133136,0.9899133571692293
"i-a LZ counts, (S1c,d) only",0.1333521432163324,0.986133009027208,0.9889013287400763,0.9838133535141615,0.9924169549912942
"i-a LZ counts, (S1c,d) only",0.1778279410038923,0.9895650330624788,0.9916540035237528,0.9878123875180416,0.9943027131928399
"i-a LZ counts, (S1c,d) only",0.23713737056616552,0.9921544029215194,0.9937282941250989,0.9908326360846571,0.9957215411338786
"i-a LZ counts, (S1c,d) only",0.31622776601683794,0.9941050649680829,0.9952894952313024,0.9931096486129598,0.996788171598762
"i-a LZ counts, (S1c,d) only",0.4216965034285822,0.9955728952205393,0.9964634532584888,0.9948240455854876,0.9975895321592416
"i-a LZ counts, (S1c,d) only",0.5623413251903491,0.9966764597900193,0.9973456162463586,0.996113550607471,0.9981913137181799
"i-a LZ counts, (S1c,d) only",0.7498942093324559,0.9975056230244859,0.9980081706646172,0.99708273845891,0.9986430628027012
