,NR,WALL,RFR,ER,ACC,NEU,ART,NU
NR,1.0,16829.304537348926,7757083.415890628,inf,12684.563758389262,inf,inf,5851.393188854489
WALL,5.9420161883738026e-05,1.0,460.92715231788065,inf,0.7537188319480864,inf,inf,0.34769073052713584
RFR,1.2891443167305237e-07,0.002169540229885058,1.0,inf,0.0016352233279333488,inf,inf,0.0007543290274367461
ER,0.0,0.0,0.0,inf,0.0,inf,inf,0.0
ACC,7.883597883597884e-05,1.3267546963306824,611.537264004076,inf,1.0,inf,inf,0.4613003095975232
NEU,0.0,0.0,0.0,inf,0.0,inf,inf,0.0
ART,0.0,0.0,0.0,inf,0.0,inf,inf,0.0
NU,0.00017089947089947088,2.876119241038996,1325.6814514987686,inf,2.1677852348993287,inf,inf,1.0
