S1c_low,S1c_high,S3a_model,S3a_data,S3b_model,S3b_data
0.0,15.0,341.1,299,2.078,3
15.0,30.0,77.72,90,0.2408,0
30.0,45.0,35.87,31,0.07887,0
45.0,60.0,16.56,11,0.03653,0
60.0,75.0,10,7,0.02584,0
75.0,90.0,6.909,5,0.01974,0
90.0,105.0,5.647,3,0.01692,0
105.0,120.0,4.937,13,0.01197,0
120.0,135.0,4.316,6,0.01244,0
135.0,150.0,3.902,2,0.01066,0
150.0,165.0,3.411,4,0.008796,0
165.0,180.0,3.084,5,0.006983,0
180.0,195.0,2.883,2,0.005986,0
195.0,210.0,2.356,3,0.004938,0
210.0,225.0,2.203,1,0.00576,0
225.0,240.0,2.06,1,0.004573,0
240.0,255.0,1.926,3,0.0044,0
255.0,270.0,1.862,3,0.003772,0
270.0,285.0,1.522,0,0.001961,0
285.0,300.0,1.522,1,0.002201,0
300.0,315.0,1.423,4,0.001747,0
315.0,330.0,1.376,0,0.001498,0
330.0,345.0,1.244,3,0.001236,0
345.0,360.0,1.287,1,0.001747,0
360.0,375.0,1.287,3,0.001441,0
375.0,390.0,1.125,3,0.001335,0
390.0,405.0,1.203,3,0.001101,0
405.0,420.0,1.244,1,0.001236,0
420.0,435.0,1.331,1,0.001498,0
435.0,450.0,1.376,0,0.002118,0
450.0,465.0,1.376,1,0.001618,0
465.0,480.0,1.472,2,0.001498,0
480.0,495.0,1.684,3,0.003361,0
495.0,510.0,1.801,6,0.002201,0
510.0,525.0,1.741,2,0.003112,0
525.0,540.0,2.06,1,0.002773,0
540.0,555.0,2.06,2,0.002994,0
555.0,570.0,2.279,3,0.001747,0
570.0,585.0,2.356,2,0.002118,0
585.0,600.0,2.279,6,0.002881,0

logS2c_low,logS2c_high,S3a_model,S3a_data,S3b_model,S3b_data
2.779,2.929,7.385,12,0.2047,1
2.929,3.079,37.72,39,0.644,0
3.079,3.229,52.1,59,0.5467,0
3.229,3.379,56.49,66,0.4105,1
3.379,3.529,64.47,56,0.284,0
3.529,3.679,74.05,70,0.1965,0
3.679,3.829,81.24,78,0.1537,0
3.829,3.979,86.03,71,0.1108,1
3.979,4.129,78.04,85,0.06778,0
