logS2c,counts_per_2Dbin_UDTnorm
3.6569,1.5765e-05
3.6555,1.6351e-05
3.6541,1.5765e-05
3.6526,1.6351e-05
3.6512,1.5765e-05
3.6498,1.6351e-05
3.6484,1.6959e-05
3.6469,1.7589e-05
3.6455,1.6959e-05
3.6441,1.7589e-05
3.6427,1.6959e-05
3.6412,1.7589e-05
3.6398,1.6959e-05
3.6384,1.7589e-05
3.6369,1.6959e-05
3.6355,1.7589e-05
3.6341,1.6959e-05
3.6327,1.7589e-05
3.6312,1.6959e-05
3.6298,1.7589e-05
3.6284,1.6959e-05
3.6270,1.7589e-05
3.6255,1.6959e-05
3.6241,1.7589e-05
3.6227,1.6959e-05
3.6213,1.7589e-05
3.6198,1.6959e-05
3.6184,1.8921e-05
3.6170,1.8243e-05
3.6155,1.8921e-05
3.6141,1.8243e-05
3.6127,1.8921e-05
3.6113,1.8243e-05
3.6098,1.8921e-05
3.6084,1.8243e-05
3.6070,1.8921e-05
3.6056,1.8243e-05
3.6041,1.8921e-05
3.6027,1.8243e-05
3.6013,1.8243e-05
3.5999,1.8243e-05
3.5984,1.8921e-05
3.5970,1.8243e-05
3.5956,1.8921e-05
3.5942,1.8243e-05
3.5927,1.8921e-05
3.5913,1.8243e-05
3.5899,1.8921e-05
3.5884,1.9624e-05
3.5870,1.9624e-05
3.5856,1.9624e-05
3.5842,1.9624e-05
3.5827,1.9624e-05
3.5813,1.9624e-05
3.5799,1.9624e-05
3.5785,1.9624e-05
3.5770,1.9624e-05
3.5756,1.9624e-05
3.5742,1.9624e-05
3.5728,1.9624e-05
3.5713,1.9624e-05
3.5699,1.9624e-05
3.5685,1.9624e-05
3.5670,1.9624e-05
3.5656,1.9624e-05
3.5642,1.9624e-05
3.5628,1.9624e-05
3.5613,1.9624e-05
3.5599,1.9624e-05
3.5585,2.1110e-05
3.5571,2.1110e-05
3.5556,2.1110e-05
3.5542,2.1110e-05
3.5528,2.1110e-05
3.5514,2.1110e-05
3.5499,2.1110e-05
3.5485,2.1110e-05
3.5471,2.1110e-05
3.5456,2.1110e-05
3.5442,2.1110e-05
3.5428,2.1110e-05
3.5414,2.1110e-05
3.5399,2.1110e-05
3.5385,2.1110e-05
3.5371,2.1110e-05
3.5357,2.1110e-05
3.5342,2.1110e-05
3.5328,2.1110e-05
3.5314,2.1110e-05
3.5300,2.1110e-05
3.5285,2.2708e-05
3.5271,2.2708e-05
3.5257,2.2708e-05
3.5243,2.2708e-05
3.5228,2.2708e-05
3.5214,2.2708e-05
3.5200,2.2708e-05
3.5185,2.2708e-05
3.5171,2.2708e-05
3.5157,2.2708e-05
3.5143,2.2708e-05
3.5128,2.2708e-05
3.5114,2.2708e-05
3.5100,2.2708e-05
3.5086,2.2708e-05
3.5071,2.2708e-05
3.5057,2.2708e-05
3.5043,2.2708e-05
3.5029,2.2708e-05
3.5014,2.2708e-05
3.5000,2.2708e-05
3.4986,2.4428e-05
3.4971,2.4428e-05
3.4957,2.4428e-05
3.4943,2.4428e-05
3.4929,2.4428e-05
3.4914,2.4428e-05
3.4900,2.4428e-05
3.4886,2.4428e-05
3.4872,2.4428e-05
3.4857,2.4428e-05
3.4843,2.4428e-05
3.4829,2.4428e-05
3.4815,2.4428e-05
3.4800,2.4428e-05
3.4786,2.4428e-05
3.4772,2.4428e-05
3.4757,2.4428e-05
3.4743,2.4428e-05
3.4729,2.4428e-05
3.4715,2.4428e-05
3.4700,2.4428e-05
3.4686,2.5336e-05
3.4672,2.6278e-05
3.4658,2.6278e-05
3.4643,2.6278e-05
3.4629,2.6278e-05
3.4615,2.6278e-05
3.4601,2.6278e-05
3.4586,2.6278e-05
3.4572,2.6278e-05
3.4558,2.6278e-05
3.4544,2.6278e-05
3.4529,2.6278e-05
3.4515,2.6278e-05
3.4501,2.6278e-05
3.4486,2.6278e-05
3.4472,2.6278e-05
3.4458,2.6278e-05
3.4444,2.6278e-05
3.4429,2.6278e-05
3.4415,2.6278e-05
3.4401,2.6278e-05
3.4387,2.7254e-05
3.4372,2.8267e-05
3.4358,2.8267e-05
3.4344,2.8267e-05
3.4330,2.8267e-05
3.4315,2.8267e-05
3.4301,2.8267e-05
3.4287,2.8267e-05
3.4272,2.8267e-05
3.4258,2.8267e-05
3.4244,2.8267e-05
3.4230,2.8267e-05
3.4215,2.8267e-05
3.4201,2.8267e-05
3.4187,2.8267e-05
3.4173,2.8267e-05
3.4158,2.8267e-05
3.4144,2.8267e-05
3.4130,2.8267e-05
3.4116,2.8267e-05
3.4101,2.8267e-05
3.4087,3.0408e-05
3.4073,3.0408e-05
3.4058,3.0408e-05
3.4044,3.0408e-05
3.4030,3.0408e-05
3.4016,3.0408e-05
3.4001,3.0408e-05
3.3987,3.0408e-05
3.3973,3.0408e-05
3.3959,3.0408e-05
3.3944,3.0408e-05
3.3930,3.0408e-05
3.3916,3.0408e-05
3.3902,3.0408e-05
3.3887,3.0408e-05
3.3873,3.0408e-05
3.3859,3.0408e-05
3.3845,3.0408e-05
3.3830,3.0408e-05
3.3816,3.0408e-05
3.3802,3.0408e-05
3.3787,3.1538e-05
3.3773,3.2710e-05
3.3759,3.1538e-05
3.3745,3.2710e-05
3.3730,3.1538e-05
3.3716,3.2710e-05
3.3702,3.1538e-05
3.3688,3.2710e-05
3.3673,3.1538e-05
3.3659,3.2710e-05
3.3645,3.1538e-05
3.3631,3.2710e-05
3.3616,3.1538e-05
3.3602,3.2710e-05
3.3588,3.1538e-05
3.3573,3.2710e-05
3.3559,3.1538e-05
3.3545,3.2710e-05
3.3531,3.1538e-05
3.3516,3.2710e-05
3.3502,3.1538e-05
3.3488,3.3926e-05
3.3474,3.3926e-05
3.3459,3.5187e-05
3.3445,3.3926e-05
3.3431,3.5187e-05
3.3417,3.3926e-05
3.3402,3.5187e-05
3.3388,3.3926e-05
3.3374,3.5187e-05
3.3359,3.3926e-05
3.3345,3.5187e-05
3.3331,3.3926e-05
3.3317,3.5187e-05
3.3302,3.3926e-05
3.3288,3.5187e-05
3.3274,3.3926e-05
3.3260,3.5187e-05
3.3245,3.3926e-05
3.3231,3.5187e-05
3.3217,3.3926e-05
3.3203,3.5187e-05
3.3188,3.5187e-05
3.3174,3.6495e-05
3.3160,3.6495e-05
3.3146,3.6495e-05
3.3131,3.6495e-05
3.3117,3.6495e-05
3.3103,3.6495e-05
3.3088,3.6495e-05
3.3074,3.6495e-05
3.3060,3.6495e-05
3.3046,3.6495e-05
3.3031,3.6495e-05
3.3017,3.6495e-05
3.3003,3.6495e-05
3.2989,3.6495e-05
3.2974,3.6495e-05
3.2960,3.6495e-05
3.2946,3.6495e-05
3.2932,3.6495e-05
3.2917,3.6495e-05
3.2903,3.6495e-05
3.2889,3.6495e-05
3.2874,3.9259e-05
3.2860,3.9259e-05
3.2846,3.9259e-05
3.2832,3.9259e-05
3.2817,3.9259e-05
3.2803,3.9259e-05
3.2789,3.9259e-05
3.2775,3.9259e-05
3.2760,3.9259e-05
3.2746,3.9259e-05
3.2732,3.9259e-05
3.2718,3.9259e-05
3.2703,3.9259e-05
3.2689,3.9259e-05
3.2675,3.9259e-05
3.2660,3.9259e-05
3.2646,3.9259e-05
3.2632,3.9259e-05
3.2618,3.9259e-05
3.2603,3.9259e-05
3.2589,4.0718e-05
3.2575,4.2231e-05
3.2561,4.0718e-05
3.2546,4.2231e-05
3.2532,4.0718e-05
3.2518,4.2231e-05
3.2504,4.0718e-05
3.2489,4.2231e-05
3.2475,4.0718e-05
3.2461,4.2231e-05
3.2447,4.0718e-05
3.2432,4.2231e-05
3.2418,4.0718e-05
3.2404,4.2231e-05
3.2389,4.0718e-05
3.2375,4.2231e-05
3.2361,4.0718e-05
3.2347,4.2231e-05
3.2332,4.0718e-05
3.2318,4.2231e-05
3.2304,4.0718e-05
3.2290,4.2231e-05
3.2275,4.3801e-05
3.2261,4.3801e-05
3.2247,4.3801e-05
3.2233,4.3801e-05
3.2218,4.3801e-05
3.2204,4.3801e-05
3.2190,4.3801e-05
3.2175,4.3801e-05
3.2161,4.3801e-05
3.2147,4.3801e-05
3.2133,4.3801e-05
3.2118,4.3801e-05
3.2104,4.3801e-05
3.2090,4.3801e-05
3.2076,4.3801e-05
3.2061,4.3801e-05
3.2047,4.3801e-05
3.2033,4.3801e-05
3.2019,4.3801e-05
3.2004,4.3801e-05
3.1990,4.5429e-05
3.1976,4.8869e-05
3.1961,4.8869e-05
3.1947,4.8869e-05
3.1933,4.8869e-05
3.1919,4.8869e-05
3.1904,4.8869e-05
3.1890,4.8869e-05
3.1876,4.8869e-05
3.1862,4.8869e-05
3.1847,4.8869e-05
3.1833,4.8869e-05
3.1819,4.8869e-05
3.1805,4.8869e-05
3.1790,4.8869e-05
3.1776,4.8869e-05
3.1762,4.8869e-05
3.1748,4.8869e-05
3.1733,4.8869e-05
3.1719,4.8869e-05
3.1705,4.8869e-05
3.1690,4.8869e-05
3.1676,5.0685e-05
3.1662,5.0685e-05
3.1648,5.0685e-05
3.1633,5.0685e-05
3.1619,5.0685e-05
3.1605,5.0685e-05
3.1591,5.0685e-05
3.1576,5.0685e-05
3.1562,5.0685e-05
3.1548,5.0685e-05
3.1534,5.0685e-05
3.1519,5.0685e-05
3.1505,5.0685e-05
3.1491,5.0685e-05
3.1476,5.0685e-05
3.1462,5.0685e-05
3.1448,5.0685e-05
3.1434,5.0685e-05
3.1419,5.0685e-05
3.1405,5.0685e-05
3.1391,5.0685e-05
3.1377,5.2569e-05
3.1362,5.2569e-05
3.1348,5.2569e-05
3.1334,5.2569e-05
3.1320,5.2569e-05
3.1305,5.2569e-05
3.1291,5.2569e-05
3.1277,5.2569e-05
3.1262,5.2569e-05
3.1248,5.2569e-05
3.1234,5.2569e-05
3.1220,5.2569e-05
3.1205,5.2569e-05
3.1191,5.2569e-05
3.1177,5.2569e-05
3.1163,5.2569e-05
3.1148,5.2569e-05
3.1134,5.2569e-05
3.1120,5.2569e-05
3.1106,5.2569e-05
3.1091,5.2569e-05
3.1077,5.2569e-05
3.1063,5.2569e-05
3.1049,5.2569e-05
3.1034,5.2569e-05
3.1020,5.2569e-05
3.1006,5.2569e-05
3.0991,5.2569e-05
3.0977,5.2569e-05
3.0963,5.2569e-05
3.0949,5.2569e-05
3.0934,5.2569e-05
3.0920,5.2569e-05
3.0906,5.2569e-05
3.0892,5.2569e-05
3.0877,5.2569e-05
3.0863,5.2569e-05
3.0849,5.2569e-05
3.0835,5.2569e-05
3.0820,5.2569e-05
3.0806,5.2569e-05
3.0792,5.2569e-05
3.0777,5.0685e-05
3.0763,5.0685e-05
3.0749,5.0685e-05
3.0735,5.0685e-05
3.0720,5.0685e-05
3.0706,5.0685e-05
3.0692,5.0685e-05
3.0678,5.0685e-05
3.0663,5.0685e-05
3.0649,5.0685e-05
3.0635,5.0685e-05
3.0621,5.0685e-05
3.0606,5.0685e-05
3.0592,5.0685e-05
3.0578,5.0685e-05
3.0563,5.0685e-05
3.0549,5.0685e-05
3.0535,5.0685e-05
3.0521,5.0685e-05
3.0506,5.0685e-05
3.0492,5.0685e-05
3.0478,4.7118e-05
3.0464,4.5429e-05
3.0449,4.7118e-05
3.0435,4.5429e-05
3.0421,4.7118e-05
3.0407,4.5429e-05
3.0392,4.7118e-05
3.0378,4.5429e-05
3.0364,4.7118e-05
3.0350,4.5429e-05
3.0335,4.7118e-05
3.0321,4.5429e-05
3.0307,4.7118e-05
3.0292,4.5429e-05
3.0278,4.7118e-05
3.0264,4.5429e-05
3.0250,4.7118e-05
3.0235,4.5429e-05
3.0221,4.7118e-05
3.0207,4.5429e-05
3.0193,4.7118e-05
3.0178,4.5429e-05
3.0164,4.3801e-05
3.0150,4.3801e-05
3.0136,4.3801e-05
3.0121,4.3801e-05
3.0107,4.3801e-05
3.0093,4.3801e-05
3.0078,4.3801e-05
3.0064,4.3801e-05
3.0050,4.3801e-05
3.0036,4.3801e-05
3.0021,4.3801e-05
3.0007,4.3801e-05
2.9993,4.3801e-05
2.9979,4.3801e-05
2.9964,4.3801e-05
2.9950,4.3801e-05
2.9936,4.3801e-05
2.9922,4.3801e-05
2.9907,4.3801e-05
2.9893,4.3801e-05
2.9879,4.2231e-05
2.9864,4.0718e-05
2.9850,4.2231e-05
2.9836,4.0718e-05
2.9822,4.2231e-05
2.9807,4.0718e-05
2.9793,4.2231e-05
2.9779,4.0718e-05
2.9765,4.2231e-05
2.9750,4.0718e-05
2.9736,4.2231e-05
2.9722,4.0718e-05
2.9708,4.2231e-05
2.9693,4.0718e-05
2.9679,4.2231e-05
2.9665,4.0718e-05
2.9650,4.2231e-05
2.9636,4.0718e-05
2.9622,4.2231e-05
2.9608,4.0718e-05
2.9593,4.2231e-05
