d_centre,map_wall12_equal,map_wall12_wall,map_wall12_top,map_wall12_bottom,map_wall12_bulk214Pb,map_rfr12_equal,map_rfr12_bottom,map_wall_roi_equal,uniform,neutron_surf_l14.2,rfr_pb214_E2_l2.7
8.5,0.046742336805380966,0.05154712142858791,0.055845869707082586,1.4042938496773923e-08,0.0016090894157102427,2.6027152904439504e-08,6.316426838549643e-10,0.04130912979032313,0.0003390414239848888,0.0007877775958251137,5.406345444387504e-23
9.5,0.15114288188947886,0.15436253668750838,0.1833285903219106,9.825911563026854e-06,0.09362761578702823,6.284863880657925e-06,6.726605528963702e-06,0.1487415600198664,0.004556222678117709,0.009906215514131555,7.040171237095219e-14
10.5,0.15910377508597032,0.1749886563424471,0.19016084276334985,0.0004916436480344892,0.12491427314854635,0.000176014103338246,0.0001747139075610239,0.11511125518072775,0.024171282803675857,0.04971184475326773,7.234856943872004e-10
11.5,0.11276811813015179,0.13746274342449247,0.13147833230198822,0.0026879712934108234,0.3601289063806526,0.0019459320729761892,0.001828474869898117,0.11899134356949935,0.029526836475081353,0.05664354578411772,2.6222546567695027e-07
12.5,0.08683653715185854,0.1050661235571955,0.0994460482453698,0.016049291601110738,0.14869499514943513,0.00999506596240366,0.009416477009969032,0.10273207698617148,0.032943076591060876,0.058917697211229254,2.1931540383665363e-05
13.5,0.06906371532522189,0.08607498348681787,0.07477550275052705,0.03624621999424677,0.05736110701766883,0.03370519715219485,0.0356220194697931,0.05780657309026341,0.034948533202494324,0.05827721209607504,0.00042146205618346803
14.5,0.06341334559140761,0.07154453310680853,0.05864493187510418,0.10121667517819798,0.06287751120011999,0.08089588854419627,0.08413953239826104,0.05393527805282311,0.036150697016852855,0.0562332586806671,0.004091458958162512
15.5,0.05759246286266095,0.04926784765726848,0.04380319037537094,0.15294690709703587,0.026688561294724533,0.1440117684878066,0.1429649246634664,0.08359684166262564,0.03690282534234785,0.053924814234279875,0.02550763276734717
16.5,0.05200395693889361,0.0323094554485662,0.032282935620803144,0.1534376249704594,0.04021051072509467,0.14877505580399814,0.15307997365310383,0.07192670708516358,0.036737573632851746,0.05061302024466956,0.04451666525828498
17.5,0.04182998279069118,0.036620941670000705,0.026364123999278302,0.1151035483073986,0.026275199188805998,0.11856645928823663,0.1217919716160434,0.041914869879948635,0.03608504124150542,0.04671235856748252,0.04372596072439028
18.5,0.03568648725951802,0.020489722082787726,0.02206608228922023,0.07828064260153346,0.03316406545631223,0.08398422223613398,0.0834079888007428,0.04457062362213502,0.03543250885015909,0.04316989346666567,0.0429352561904954
19.5,0.023716467981093305,0.014250752633659177,0.015857849889755356,0.07010264167814775,0.00442048452114966,0.0755312738577394,0.06790276819743092,0.02166349372482761,0.03477997645885558,0.03995188521587628,0.04214455165659964
20.5,0.019793968706942906,0.012207306757892724,0.013053593453319861,0.07569860250260443,0.007153506436960023,0.05622843330865293,0.0561482291528555,0.012169423615494543,0.03412744406753066,0.03702764127170878,0.04135384712270414
21.5,0.015113575718231645,0.011657037241859625,0.009076665947567765,0.03616723824002886,0.005693906350958579,0.04472761361005641,0.044803001423557524,0.030044865542841307,0.03347491167616293,0.03436925005728054,0.04056314258880968
22.5,0.012542503231245145,0.00828053634847981,0.008446610612680079,0.026292977405373084,0.0004391433212421734,0.035408108546265867,0.033846194033279826,0.007657561312289675,0.03282237928483801,0.03195133739248363,0.03977243805491454
23.5,0.010322892219797021,0.007061054073264465,0.0067579045693973725,0.02405032985664145,0.0021307392952723703,0.03015193567522463,0.028955159259153162,0.00591552694308746,0.03216984689347027,0.02975084368535841,0.038981733521018344
24.5,0.0071965429862978925,0.0031524414732654596,0.005859771815150219,0.021985836459669113,0.0009892390506476406,0.027444841316447297,0.028783573447141872,0.009357846918879446,0.03151731450214536,0.027746820154135876,0.038191028987124905
25.5,0.0070713140808736615,0.003942502024141258,0.004341774356385433,0.017734299634993414,0.0013569969136673378,0.020378145416552633,0.020151615522895627,0.010931127116496995,0.03086478211077762,0.02592024249065772,0.037400324453230126
26.5,0.005978915097208947,0.0031694180194127637,0.00391626513768897,0.01198181220240401,0.0005958545182860683,0.015378763059855974,0.012661451176557996,0.004512916457520587,0.0302122497194527,0.02425384050563346,0.036609619919333744
27.5,0.0041001024435105195,0.004153845843854749,0.002341842722861327,0.013198863888946739,0.0005323120331792917,0.014714867062724245,0.014904057348128136,0.004211468613588355,0.029559717328084965,0.022731942416935953,0.03581891538543962
28.5,0.0034084432099060935,0.0026148266921612855,0.0020707697227697933,0.010703086542984186,0.00032211871995829473,0.011189663134455753,0.01206553166473979,0.0013659651568323772,0.028907184936675524,0.021340332552237645,0.035028210851543826
29.5,0.003005108793881121,0.0019192652209115415,0.0020739657740549864,0.007544836320131233,0.0002657831318121452,0.006792623064203922,0.007197212860527827,0.0030584510336859254,0.028254652545306676,0.020066121336739205,0.03423750631764904
30.5,0.0019205277910877936,0.0014977802565268783,0.0014537701764158768,0.004758202060144002,0.00013097142348111415,0.006003863640092632,0.006073323496856562,0.0008942155174768784,0.02760212015397133,0.018897626533114723,0.03344680178375578
31.5,0.0019205277910886824,0.0014977802565334316,0.0014537701764176538,0.004758202060144558,0.00013097142346823557,0.006003863640093077,0.00607332349685723,0.00089421551748643,0.026949587762656838,0.017824264781238823,0.032656097249861
32.5,0.0015329877640157784,0.001207905789283929,0.0011734946490052232,0.004259695644165033,0.0001119210693561485,0.005428026514452691,0.005518869884886665,0.0009753641292093465,0.02629705537131051,0.016836452569929,0.03186539271596593
33.5,0.0009516777234062556,0.0007730940884100637,0.0007530813578867999,0.003511936020195745,8.334553818774037e-05,0.004564270825993281,0.004687189466929983,0.0010970870467939433,0.025644522979964182,0.015925515839277073,0.03107468818207086
34.5,0.0009516777234062556,0.0007730940884100637,0.0007530813578867999,0.003511936020195634,8.334553818785139e-05,0.004564270825993169,0.004687189466930094,0.0010970870467937213,0.024991990588617858,0.015083607482178935,0.03028398364817608
35.5,0.0008187979690480356,0.00030593648519586746,0.00045761773711097605,0.0012400626883236944,8.049783728574772e-07,0.00234831850201671,0.002391583480975539,0.0007448597072682972,0.02433945819727153,0.014303632073044076,0.029493279114280575
36.5,0.0008187979690480356,0.0003059364851957564,0.0004576177371110871,0.0012400626883236944,8.049783728574772e-07,0.00234831850201671,0.00239158348097565,0.0007448597072682972,0.023686925805925203,0.013579177207674953,0.028702574580385505
37.5,0.0006666313765172386,0.00029823717462779196,0.0003753071998913153,0.0010614320877457301,8.786335937198624e-07,0.002011315798979219,0.0019945764826305866,0.0006002928651727252,0.023034393414578875,0.012904450889897117,0.02791187004649087
38.5,0.0004383814877209875,0.00028668820877551207,0.00025184139406143554,0.0007934861868788949,9.89116425235485e-07,0.001505811744424206,0.0013990659851123236,0.0003834426020294228,0.022381861023232547,0.012274224447562819,0.027121165512596232
39.5,0.0004383814877209875,0.00028668820877551207,0.00025184139406143554,0.0007934861868787838,9.89116425235485e-07,0.0015058117444240945,0.0013990659851123236,0.0003834426020294228,0.02172932863188622,0.011683780503509955,0.02633046097870087
40.5,0.0002800170048954083,0.00014468614529257733,0.00015975276359385886,0.0005430564217837852,1.012224666862347e-06,0.0010301932049173249,0.0010306689058006038,0.00014919498570672624,0.021076796240539892,0.011128865567302828,0.025539756444805366
