scenario,R_pos,bayes_boost,b_eff_anchor,Z_anchor,Z_with_pos,dZ,Zglob_N12,Zglob_with_pos_N12,dZ_nb,exp_dZ_median,exp_dZ_mean,frac_FV_negative
"central (P033 detector-gamma maps, equal mix; RFR map; uniform acc/nu; neutron surf 14.2)",0.5587165491783135,1.7898163236271916,0.0006355781925801907,3.399999999999999,3.5669625767752096,0.16696257677521054,2.6434915950613047,2.8478553568063436,0.15324004418303128,0.18246871545942023,0.12168147064124418,0.0975289724836825
wall = 50% 214Pb bulk map + 50% detector-gamma,0.5582007665045529,1.7914701304729286,0.0006349914546000197,3.399999999999999,3.5672213298138753,0.16722132981387627,2.6434915950613047,2.8481691715691566,0.15347837700458244,0.18245788254365314,0.11070367043254398,0.12347816397077767
"flattest: analytic exp lambda 6 cm from true wall, RFR exp-z 10 cm",0.7280426888513015,1.3735458309152035,0.0008281982285684068,3.399999999999999,3.492015528023081,0.0920155280230821,2.6434915950613047,2.7565919679533226,0.08431587207725766,0.11483857680900789,0.04577501745389433,0.30612852006933455
"steepest: analytic exp lambda 3 cm, RFR 214Pb 2.7 cm",0.538584270881394,1.8567196519933609,0.0006126763525124575,3.399999999999999,3.577229769212569,0.17722976921257017,2.6434915950613047,2.8603008274491155,0.16269891158030303,0.17583918149313016,0.07593863084871737,0.2166123615366386
reconstructed-wall reference (lambda 4.3 from the dashed wall),0.6190043679753124,1.6154974855361321,0.0007041596995392222,3.399999999999999,3.538137798700052,0.13813779870005316,2.6434915950613047,2.8128427801337663,0.1267059994002686,0.158455835202862,0.06078297856975701,0.26306266314676796
FV-edge reference (lambda 4.3 from the digitised contour),0.6647089945860278,1.5044177348958352,0.0007561518304623391,3.399999999999999,3.517960920713801,0.11796092071380215,2.6434915950613047,2.7882699610268724,0.10815159247572259,0.1581210455921176,0.060233047172745004,0.26525243670914667
adverse: accidentals = cathode-emission slab (drift > 850 us),3.277866417511314,0.30507649569174317,0.0037287966791480355,3.399999999999999,3.031632728475085,-0.3683672715249142,2.6434915950613047,2.177096120383747,-0.33379892924195254,0.576202780963579,0.3763591361990532,0.17935819183696217
top-source wall map (flattest P033 source),0.5280061878864003,1.8939171982112233,0.0006006430614262906,3.399999999999999,3.5827671849284686,0.18276718492846955,2.6434915950613047,2.8670075078974815,0.16780201873091372,0.18367787573730787,0.1343450277035525,0.07384046531533427
"pessimistic: bottom-source wall map (12 keV scatters concentrate at low z), RFR map",0.7329500565628062,1.3643494410649661,0.0008337806941406035,3.399999999999999,3.4900928146812302,0.0900928146812312,2.6434915950613047,2.754240807397257,0.08255055373867393,0.18381280569974034,0.13098004601577692,0.07949244682852277
"pessimistic: cathode-source wall map, RFR map",0.7198328499537721,1.3892113982631111,0.0008188589767142416,3.399999999999999,3.4952589424871947,0.09525894248719569,2.6434915950613047,2.760556986235086,0.0872941092970736,0.18410822566550955,0.13351879427543134,0.0783677897118932
"optimistic: wall-source map, RFR = 214Pb E2 (2.2 cm)",0.5290806515746788,1.890071007177725,0.0006018653371759411,3.399999999999999,3.5822000768841136,0.18220007688411455,2.6434915950613047,2.866320828873493,0.16727933704067777,0.18121803353343058,0.12075364847435349,0.09327490237377267
no MSSI at all (cap: only uniform backgrounds + neutrons remain),0.5195886023588119,1.9245995686976807,0.0005910674836071228,3.399999999999999,3.5872472535636577,0.18724725356365868,2.6434915950613047,2.8724307461839342,0.17193154897376184,0.1844370411000491,0.13485808531145688,0.07611564987703218
