z,r_min47,r_max47,r_mean47,r_wall_reco,r_min54,r_max54
0.0,54.641685267683926,59.211297136692,56.92649120218796,66.58332618847848,54.419843623092824,60.64726327154201
0.25,54.641685267683926,59.211297136692,56.92649120218796,66.62900625033478,54.419843623092824,60.64726327154201
0.5,54.641685267683926,59.211297136692,56.92649120218796,66.67468778151648,54.419843623092824,60.64726327154201
0.75,54.641685267683926,59.211297136692,56.92649120218796,66.72036931269818,54.419843623092824,60.64726327154201
1.0,54.641685267683926,59.211297136692,56.92649120218796,66.76605084387988,54.419843623092824,60.64726327154201
1.25,54.641685267683926,59.211297136692,56.92649120218796,66.81173237506158,54.419843623092824,60.64726327154201
1.5,54.641685267683926,59.211297136692,56.92649120218796,66.85692767342533,54.419843623092824,60.64726327154201
1.75,54.641685267683926,59.211297136692,56.92649120218796,66.89845935230406,54.419843623092824,60.64726327154201
2.0,54.641685267683926,59.211297136692,56.92649120218796,66.93999103118279,54.419843623092824,60.64726327154201
2.25,54.641685267683926,59.211297136692,56.92649120218796,66.98152271006153,54.419843623092824,60.64726327154201
2.5,54.641685267683926,59.211297136692,56.92649120218796,67.02305438894025,54.510470724605064,60.68615207175304
2.75,54.641685267683926,59.211297136692,56.92649120218796,67.064586067819,54.617892884937426,60.732247763457785
3.0,54.641685267683926,59.211297136692,56.92649120218796,67.10521080863666,54.72531504526979,60.778343455162535
3.25,54.641685267683926,59.211297136692,56.92649120218796,67.14287279552491,54.83273720560215,60.82443914686728
3.5,54.641685267683926,59.211297136692,56.92649120218796,67.18053478241316,54.94015936593451,60.86922405680906
3.75,54.641685267683926,59.211297136692,56.92649120218796,67.21819676930141,55.04758152626688,60.91207664165209
4.0,54.641685267683926,59.211297136692,56.92649120218796,67.25585875618967,55.15361413140464,60.954929226495125
4.25,54.641685267683926,59.211297136692,56.92649120218796,67.29352074307792,55.25350431972451,60.99778181133816
4.5,54.641685267683926,59.211297136692,56.92649120218796,67.32991711955832,55.35339450804438,61.0406343961812
4.75,54.641685267683926,59.211297136692,56.92649120218796,67.36397869315569,55.45328469636426,61.08348698102423
5.0,54.641685267683926,59.211297136692,56.92649120218796,67.39804026675304,55.55317488468413,61.12633956586726
5.25,54.641685267683926,59.211297136692,56.92649120218796,67.43210184035041,55.653065073004,61.169192150710295
5.5,54.641685267683926,59.211297136692,56.92649120218796,67.46616341394778,55.752955261323876,61.21173234474904
5.75,54.641685267683926,59.211297136692,56.92649120218796,67.50022498754514,55.85284544964375,61.25069188104403
6.0,54.641685267683926,59.211297136692,56.92649120218796,67.53271988751247,55.94559701639843,61.289651417339016
