sample,r2,r,z,d_true_wall,d_reco_wall,d_edge47_mean
science,29.11901427238797,5.396203690780026,113.73711731277211,67.40379630921997,64.2564109802559,57.38551694222568
science,2722.5656246121753,52.17821024730702,111.79500231248073,20.621789752692976,17.430117567156145,10.606687505989584
science,3588.852669423036,59.90703355552698,78.10376377300861,12.892966444473018,9.315013594862464,3.077684927027491
science,1884.4513490648626,43.41026778384191,16.478816158526115,29.389732216158087,25.05233508479933,15.04473131558705
science,2397.5444766706014,48.96472686200344,112.41097203737209,23.83527313799656,20.657222839371293,13.817748117538642
science,3162.487630483047,56.2359994174821,109.9970230106506,16.5640005825179,13.33740024528327,6.561948326082522
science,3190.475749182626,56.484296483028146,116.9780503081233,16.31570351697185,13.258585858594742,6.333968376362961
science,409.88962160404844,20.245730947635565,89.45902093327591,52.55426905236443,49.089842498163335,42.84504434870182
science,2468.360980899185,49.682602396605446,87.7234965077789,23.11739760339455,19.63621910917172,13.410370982596532
science,1064.5619550550757,32.62762564231537,133.67869626160993,40.172374357684625,38.191778571578034,31.959725813002244
science,1003.1286263382306,31.67220589630963,98.51688063730063,41.12779410369036,37.750404976413876,31.312073514196545
science,2906.3536251080677,53.91060772341625,118.68169290655669,18.88939227658375,15.889888720653943,8.95225831358458
science,421.11585938832263,20.521107655005434,23.744103448982457,52.27889234499456,48.23906673989413,39.11865090223711
science,1180.0124604673317,34.351309443270594,82.13949134714424,38.4486905567294,34.91204450821631,28.702312828438735
science,544.3797953081289,23.331947953570634,82.44636047652047,49.468052046429364,45.93452026682755,39.72573468951208
science,670.8258329049208,25.900305652731607,15.027525550456858,46.899694347268394,42.475086743137624,32.26680046892787
science,1629.6624089868644,40.36907738587624,93.55440914315434,32.43092261412376,29.00543833791859,22.69462105588154
science,1547.6760521112558,39.34051413125222,79.39812537967958,33.45948586874778,29.89484350963751,23.670515166949826
science,2340.5933359441915,48.37967895660523,78.42559877646005,24.420321043394765,20.845677764876257,14.611581547437751
science,2353.9953513528617,48.517989976428964,88.36719269023767,24.282010023571033,20.807079804529863,14.57422458877388
science,3047.056063590172,55.2001455033424,125.29646201030263,17.5998544966576,14.915236977076503,8.078471440162787
science,1486.1641715810672,38.55079988250655,60.174208190332564,34.249200117493444,30.505895806390328,23.79640782377828
science,107.69950440820514,10.377837173910812,15.938997669582903,62.422162826089185,58.05373434414687,47.975172200867185
science,3793.68437789803,61.592892267679964,87.05061458051232,11.207107732320033,7.719383647901687,1.4985492902861992
science,237.1311565433997,15.399063495661016,90.53143345773907,57.40093650433898,53.94675436412685,47.68775114221999
science,445.8591425654647,21.115376922173677,60.47220380626497,51.684623077826316,47.943459555842466,41.24528008617439
science,299.8736104124903,17.316859138206624,88.13135093174579,55.48314086179337,52.005929851033144,45.775666318111504
science,1782.5201487551738,42.219902282634116,131.14404520283009,30.58009771736588,28.34101041754227,21.887887161199366
science,599.3463728927611,24.481551684743373,63.443862314374655,48.318448315256624,44.60008025207576,38.01158667695085
science,2121.7454014433133,46.06240768178877,128.2445265267297,26.737592318211227,24.253915540219538,17.567560309200225
science,234.74748562670197,15.321471392353345,114.09102391606731,57.47852860764665,54.33993080434169,47.462443505740445
science,116.44218672682757,10.790838091956878,44.98407504009698,62.00916190804312,58.19240505501714,50.744385398994915
science,3733.3002001128307,61.10073813067098,115.20364863825336,11.699261869329014,8.58980495181212,1.690075179493391
science,1206.5739491103209,34.735773333989854,103.38931149115918,38.06422666601014,34.740165333924054,28.16397791666254
science,3131.1839796290215,55.95698329635919,131.5089193640396,16.843016703640806,14.639181867098834,8.215062972095346
science,1102.2478869406632,33.20011877901438,18.333524433840353,39.599881220985615,35.35836461306135,25.59297142874886
science,1592.6001569781808,39.907394765609304,107.13357425055483,32.89260523439069,29.618620470503565,22.929851081548627
science,2836.937064840581,53.26290514833547,92.05331954002062,19.537094851664527,16.097376840939482,9.813460275243266
science,1846.3547956454129,42.96923080118392,87.88855956316735,29.83076919881608,26.351196387660686,20.123614707358378
science,3022.118768194593,54.97380074357778,107.56641651455504,17.826199256422214,14.558783467244552,7.856528356016618
science,1741.10526544546,41.72655348151174,82.80122248760533,31.073446518488254,27.543491873071176,21.335824555839658
science,2011.789218756165,44.852973354685915,119.1700208051366,27.947026645314082,24.96499559397479,18.026284948411373
science,1668.1228832730656,40.84266009056053,129.32109114874453,31.95733990943947,29.55799160480285,22.947918506449305
science,804.7547377618771,28.368199409935716,102.4624350573969,44.431800590064285,41.09680207588438,34.547631526957005
science,939.287092713671,30.64779099239733,105.55340174921426,42.152209007602664,38.85576342605488,32.21509335099978
science,3006.030495980016,54.82727875774992,126.20654682496696,17.972721242250074,15.345418566760586,8.545001806635504
science,821.7092320277097,28.665471076326476,79.73385305941511,44.13452892367352,40.57332628461398,34.35132723652338
science,1316.838528368761,36.28826984534756,48.29147431572014,36.51173015465244,32.70640879884432,25.459410923636078
science,3095.400508099484,55.63632363932293,124.0894842249974,17.163676360677066,14.409195142256387,7.532373208281328
science,521.5061528937904,22.83650920989875,114.76664773281249,49.96349079010125,46.841828404555415,39.95159464013874
science,2336.565672418912,48.33803546296552,70.3000387541818,24.461964537034476,20.80520417023584,14.424990964028169
science,1731.2419554253108,41.6081957722912,99.41587356016018,31.1918042277088,27.8236503510781,21.3604876821573
science,3149.2569225906,56.11824055145172,62.97354647018567,16.681759448548277,12.959615399601432,6.355127996966871
science,2159.649126301788,46.47202520120882,114.5960060120768,26.327974798791175,23.201915736173035,16.315020648873606
science,552.0759361217824,23.49629622135758,24.75267379265074,49.303703778642415,45.29055219699414,36.27824582144456
science,505.24269937493455,22.477604395818844,111.46897267619929,50.32239560418115,47.12423527273843,40.308575719279105
