z_centre,map_wall12_equal,map_wall12_wall,map_wall12_top,map_wall12_bottom,map_wall12_bulk214Pb,map_rfr12_equal,map_rfr12_bottom,map_wall_roi_equal,uniform,neutron_surf_l14.2,rfr_pb214_E2_l2.7
11.0,0.02883407858351535,0.004927551210150841,0.0,0.0874601153475964,0.0011670073683951636,0.09069021202215777,0.0913001603585103,0.02987125443435272,0.006110165248379621,0.013723938775086866,0.18998586121551125
15.0,0.023577474691731146,0.004187012180678953,4.769253455311862e-13,0.07413706639633494,0.0008868994353613877,0.07548476378242328,0.07542208104768111,0.03148304980843548,0.00739822108363266,0.012837267646683758,0.04840057952802179
19.0,0.011944550790029854,0.0024066855490696088,3.0415473451944087e-10,0.04362307204762186,0.0004021385213873433,0.0410374629464801,0.04081877829005725,0.016038913534860373,0.0075876424745951595,0.010271812747949008,0.009306611652519578
23.0,0.004811346025449953,0.0012951478588191971,1.2443795097952102e-09,0.01969354842392856,0.0013317271202240037,0.019909799173287925,0.019517320025335703,0.0031022138442883588,0.0077508053995973235,0.00868340264060225,0.001840595773436329
27.0,0.0024507216045480808,0.0010237839911054793,1.549025626984105e-09,0.009887340845295902,0.0010028284370324758,0.01008576335821551,0.01024993364133766,0.0028616689884820618,0.007881524706070505,0.007721357732065409,0.00037081332283972213
31.0,0.0015261360038090832,0.0009888056106594168,6.927180051379555e-09,0.006626991812038981,0.0021872102364645526,0.006055887215991146,0.00610671811864595,0.0015280306316709255,0.007992183821823737,0.007173747205581857,7.57692214641055e-05
35.0,0.0008603957493409478,0.0009373338964596016,1.2419600910090794e-08,0.004046972976661562,0.0023577641168496468,0.0032477974683995173,0.00318208226606444,0.0006054654318147334,0.008079672673677788,0.006874887525041578,1.5639581993965818e-05
39.0,0.0004856685317492195,0.0009246440049959747,2.0216551077857986e-08,0.0023051265911417746,0.004444980970515103,0.0016441338393291846,0.0015849424201560232,0.0002734489381284274,0.008164970039366153,0.006763371787079027,3.260541565963891e-06
43.0,0.0002746023483512693,0.0009560543024760553,3.19560289058312e-08,0.0008857396902191616,0.01746905220757228,0.0008069412849878121,0.0007852863211393788,0.00023986953305742774,0.008245350777411764,0.006764347496312395,6.851244580552882e-07
47.0,0.0002236130306340376,0.0009026028372353734,1.3032312982421471e-07,0.0004583321075526917,0.008625071744616238,0.0003756112954680381,0.0003888302022291282,0.00025850211943525224,0.00831801975875437,0.006825799028940757,1.4490369532050723e-07
