sample,r2,r,z,d_true_wall,d_reco_wall,d_cathode,d_edge47,inside_47_mean,nearest_dead_cm
science,2108.520934653845,45.918633850037885,26.382658376833717,26.881366149962112,22.905919533796457,26.382658376833717,14.052588186920701,True,26.382658376833717
prompt,2946.943176351554,54.285754819764215,3.4794068944549963,18.514245180235783,12.891677653564848,3.4794068944549963,2.6407363824237464,False,3.4794068944549963
prompt,2217.9470540087586,47.0950852426106,2.935583545461924,25.704914757389396,20.000331210069596,2.935583545461924,9.83140595957736,False,2.935583545461924
prompt,3784.9253126840904,61.52174666476961,51.59608589464192,11.278253335230389,7.486072830167487,51.59608589464192,0.40315836474410105,True,11.278253335230389
star,2108.520934653845,45.918633850037885,26.587423206605365,26.881366149962112,22.910138483141502,26.587423206605365,14.076982236351029,True,26.587423206605365
