P_DM,BF_DM_B,BF_DM_Usteady,BF_DM_Umix,L_dm,L_b,L_us,exposure_tyr,N
0.01567843880661669,0.8860344542133543,1.197777993733987,1.0184699108396775,0.8858566411990946,0.9997993159143935,0.7395833333333334,1.0,0
0.01866439342115943,480.295292543019,0.5004051718747827,1.0008103437495655,0.09637794922718528,0.00020066394720817072,0.19259982638888892,1.0,1
0.011063868395488938,732863.9629793551,0.2942351617358278,0.5884703234716556,0.014757719028079973,2.0137051040256568e-08,0.05015620478877317,1.0,2
0.0071613853287880785,1839231691.6166391,0.18970297022219115,0.3794059404443823,0.002477807558203843,1.3471970766368817e-12,0.013061511663743012,1.0,3
0.0149379053339708,0.7496105002205015,1.4878267543653207,0.9965632033956393,0.7491893585811189,0.9994381860456081,0.5035460992907801,2.8,0
0.024950528327806684,299.79364755055514,0.6735576118525457,1.3471152237050914,0.16838093309728647,0.0005616561073692926,0.24998742517981992,2.8,1
0.016056055313480932,337494.3507953204,0.4291651556726408,0.8583303113452816,0.05326249969535464,1.5781745552137154e-07,0.12410723235877585,2.8,2
0.01127202677002007,624897270.2219537,0.2998340414466413,0.5996680828932826,0.018473830592639996,2.9562988146961146e-11,0.061613519610739784,2.8,3
0.01359935407678391,0.6211795706133814,1.84396701559492,0.928522397923683,0.6204817919774375,0.9988766877261355,0.33649289099526064,5.6,0
0.03257704201364576,176.45524498190946,0.8872980319035882,1.7745960638071765,0.19810297246516625,0.0011226811222612065,0.22326542530491228,5.6,1
0.022338061123137663,141094.24383117413,0.6009152273007152,1.2018304546014305,0.08901849825293322,6.309151658904528e-07,0.14813819688477592,5.6,2
0.01668403230752144,185559015.24131444,0.44623505007589914,0.8924701001517983,0.043860776297177224,2.363710339814936e-10,0.09829074674819255,5.6,3
0.011881679653169339,0.5056122599940021,2.281353747789368,0.8264087555767609,0.5045984925016983,0.9979949705089909,0.22118380062305298,10.0,0
0.04163626585862862,98.69404724131579,1.1475920593763702,2.2951841187527404,0.19768596048107623,0.0020030180746131157,0.17226152696499455,10.0,1
0.02996665256603958,54227.75663663529,0.8124745345107135,1.624949069021427,0.10900163857865161,2.0100709551575306e-06,0.13416006772974653,10.0,2
0.02342020773854174,49006124.17000638,0.6307231333052192,1.2614462666104385,0.06590175878734127,1.3447657798589112e-09,0.10448603405743502,10.0,3
